SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority,Area sqkm,latitude,longitude,dist_to_0,dist_to_1,dist_to_2,dist_to_3,dist_to_4,dist_to_5,dist_to_6,dist_to_7,dist_to_8,dist_to_9,dist_to_10,dist_to_11,dist_to_12,dist_to_13,dist_to_14,dist_to_15,nearest_employment_center_km,nearest_center_name,employment_accessibility_score,accessibility_category,estimated_pt_quality,state_code,pt_multiplier,public_transport_score,estimated_weekly_transport_cost,transport_to_income_ratio,housing_transport_burden,severe_combined_burden,optimal_location_score
31305138048,370,602,481,69,1.7,0.6146179401993356,1,1,Severe Stress (50%+),144,134,107.46268656716418,1,10,28,14,71.42857142857143,144,134,0.0694444444444444,1,5.1,26.7,0.0,0.0,0.6358873608382449,0.051,0.7619047619047619,20.84679483581252,16.258095238095237,Low (0-25),Low (0-25),27.92533875947236,Moderate Priority,0.119,-26.67,153.83,839.001393766092,1491.8485630720195,119.41723598331284,1717.0478053673187,3709.0469692172073,1896.465400868647,2871.348906355877,1056.7623759900016,839.5722005384628,723.3600563547277,907.1773661900147,1553.4229619790863,155.65220936144388,75.88406099327106,1092.4415336097093,1365.3600477568377,75.88406099327106,13,7.4115939006728935,Poor (>60km),50.0,3,1.0,50.0,200.0,0.33222591362126247,0.9468438538205981,1,26.18614754993805
12202142120,625,872,557,73,1.7,0.716743119266055,1,1,Severe Stress (50%+),303,380,79.73684210526316,1,0,47,26,0.0,303,303,0.0,1,3.9,25.7,0.0,0.0,0.7465618860510805,0.039,1.0,25.32123772102161,20.78,Moderate (25-50),Low (0-25),32.91535166994106,Moderate Priority,0.6251,-38.35,142.15,953.546840430961,253.3262590581778,1576.8277124552253,494.9157666221984,2484.1364658927523,666.7449828247082,3088.171206482918,708.6089446838923,941.0606825689468,1057.8284102701389,895.351624641559,194.4055879613762,1551.9214759631689,1652.7718082061212,2170.1281962936523,2409.146440822458,194.4055879613762,11,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.22935779816513763,0.9461009174311927,1,28.45767583497053
12502147721,650,900,262,45,3.0,0.7222222222222222,1,1,Severe Stress (50%+),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,25.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority,0.259,-32.84,142.66,802.0081006032707,591.1315964738345,1160.8544258634095,440.7804244335589,2511.412689148201,1188.9044320631492,2564.968865336957,654.7131547401317,782.2406652747773,851.5584855975741,782.1511908076973,610.1657719320746,1160.1483513287255,1216.7806915496385,1565.746864774172,1797.8102698864454,440.7804244335589,3,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2222222222222222,0.9444444444444444,1,31.414538310412574
50402105402,394,630,575,60,1.7,0.6253968253968254,1,1,Severe Stress (50%+),119,121,98.34710743801654,1,0,131,66,0.0,119,119,0.0,1,4.8,35.8,0.0,0.0,0.6260641781270465,0.048,1.0,23.00128356254093,20.96,Low (0-25),Low (0-25),28.46243876882777,Moderate Priority,0.1444,-37.03,111.47,3590.754215285459,2943.1076402965687,4015.7342449404086,2444.1412915202213,693.2883534023282,3100.183190299137,3344.691935818282,3364.6769077210033,3574.1229755286004,3673.5196174752473,3544.9855104771104,2885.567131669922,4022.6157178741614,4060.152114064669,3955.6958691702794,4034.0496000097914,693.2883534023282,4,0.0,Poor (>60km),50.0,5,0.85,42.5,200.0,0.31746031746031744,0.9428571428571428,1,22.731219384413883
50502108910,308,539,416,72,1.2,0.5714285714285714,1,1,Severe Stress (50%+),98,78,125.64102564102564,1,0,4,4,0.0,98,98,0.0,1,33.3,2.6,0.0,0.0,0.6123117223313687,0.3329999999999999,1.0,25.57623444662737,26.66,Moderate (25-50),Moderate (25-50),31.92984544859201,Moderate Priority,0.7589,-31.75,111.75,3672.7338476710074,3090.117008383305,3994.94088609592,2511.571771013879,388.86231338039744,3350.5155217498827,2899.842379133794,3467.143873954799,3654.412456397586,3740.419494617558,3636.2812889411243,3039.468434500421,4012.785958995733,4026.4221712735325,3762.633113634618,3799.5408449236943,388.86231338039744,4,0.0,Poor (>60km),50.0,5,0.85,42.5,200.0,0.37105751391465674,0.9424860853432282,1,24.464922724296002
50702116702,389,625,1124,48,1.3,0.6224,1,1,Severe Stress (50%+),0,0,0.0,0,0,3,3,0.0,0,0,0.0,0,0.0,75.0,0.0,0.0,0.5481335952848723,0.0,1.0,20.962671905697448,20.0,Low (0-25),Low (0-25),24.82907662082515,Low Priority,0.69,-31.93,111.57,3684.2282380119927,3098.5199319688286,4010.521787652131,2522.738642362216,404.831692495933,3354.4573896887246,2925.947340760775,3477.6835476547967,3665.9646890970535,3752.553326085728,3647.3783111377847,3047.5340008939957,4027.9759631804304,4042.4804144415943,3783.7431765180177,3821.8095145744587,404.831692495933,4,0.0,Poor (>60km),50.0,5,0.85,42.5,200.0,0.32,0.9423999999999999,1,20.914538310412574
11901135826,450,691,539,77,1.6,0.6512301013024602,1,1,Severe Stress (50%+),172,165,104.24242424242424,1,0,16,8,0.0,172,172,0.0,1,6.1,24.2,0.0,0.0,0.6607727570399476,0.061,1.0,23.825455140798955,21.22,Low (0-25),Low (0-25),29.96336476751801,Moderate Priority,0.3294,-32.99,147.51,356.90488141257185,583.8555400801096,810.5720465095187,849.1577066847619,2960.156928045551,1100.0673331319072,2842.463126178734,295.151136163846,336.749637279046,398.5773002931519,351.38003031171456,640.4162087547508,789.7865683797327,885.2785968445809,1528.371775350229,1795.475087798034,295.151136163846,7,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2894356005788712,0.9406657018813314,1,26.981682383759004
20803118857,501,746,532,69,1.9,0.6715817694369973,1,1,Severe Stress (50%+),124,134,92.53731343283582,1,0,17,11,0.0,124,124,0.0,1,5.3,29.9,0.0,0.0,0.6293385723641126,0.053,1.0,23.11677144728225,21.06,Low (0-25),Low (0-25),28.65686574983628,Moderate Priority,0.1334,-42.18,145.32,1057.7246014896068,486.47102421709025,1778.550894906884,995.0283744913355,2832.205100783137,182.05313589380194,3588.5023915955485,835.0644426083976,1054.3372086538327,1175.0268063432918,989.1572657444402,455.4556325092472,1735.9350146281695,1865.2865107921652,2552.601427000378,2809.2778024445574,182.05313589380194,5,0.0,Poor (>60km),50.0,2,1.15,57.49999999999999,200.0,0.2680965147453083,0.9396782841823057,1,25.828432874918143
50701115906,393,603,489,75,1.6,0.6517412935323383,1,1,Severe Stress (50%+),347,301,115.28239202657808,1,0,28,16,0.0,347,347,0.0,1,6.7,21.4,0.0,0.0,0.7753765553372626,0.067,1.0,26.177531106745256,21.34,Moderate (25-50),Low (0-25),34.40230910281598,Moderate Priority,0.1801,-31.99,116.51,3229.943944063684,2663.0686003453075,3544.7176669272117,2070.821976829377,61.423975628312824,2956.6262686199348,2618.836819986729,3028.3433194539057,3211.41894277709,3295.4350709347073,3195.0291288080766,2614.6198714644493,3562.5492830180992,3576.450519310407,3336.2879457170543,3386.581241267137,61.423975628312824,4,8.857602437168717,Poor (>60km),50.0,5,0.85,42.5,172.84795125662566,0.28664668533437093,0.9383879788667093,1,28.358435282558602
12003139634,480,725,725,21,1.0,0.6620689655172414,1,1,Severe Stress (50%+),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,100.0,0.0,0.0,0.5481335952848723,0.0,1.0,20.962671905697448,20.0,Low (0-25),Low (0-25),24.82907662082515,Low Priority,0.0925,-37.61,147.89,512.5603490178141,258.45040544413104,1225.4226683752559,884.0703563839166,2976.935841182439,588.1692394376214,3268.67277771534,281.72736853543233,506.82160711139164,629.0004032574994,445.0844740952946,315.4093291566724,1183.8909484652825,1311.9487923651172,2043.1906021805512,2310.043139528483,258.45040544413104,1,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.27586206896551724,0.9379310344827586,1,24.414538310412574
