SA1_CODE_2021,Tot_P_P,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Year12_Total,High_Income_Total,Families_with_children,latitude,longitude,beach_min_km,beach_avg_km,beachs_within_5km,beachs_within_10km,park_min_km,park_avg_km,parks_within_5km,parks_within_10km,school_min_km,school_avg_km,schools_within_5km,schools_within_10km,hospital_min_km,hospital_avg_km,hospitals_within_5km,hospitals_within_10km,beach_score,park_score,school_score,hospital_score,education_score,income_score,age_score,lifestyle_premium_index,school_demand_index,lifestyle_preference_index,value_score,state,state_name,is_coastal,is_highly_coastal,is_metro,income_bracket,age_bracket
11703164113,845,47,1856,1100,4146,4281,604.0,292,0,-37.2288,149.3733,331.3484972952808,403.8505073903102,0,0,28.795790322845384,84.32857390784454,0,0,114.7894427528546,124.78555570996816,0,0,149.5317494985343,165.0929054268865,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9559974818330998,24.7799874091655,60.0,98.679924454993,1.335128631959348,1,NSW,False,False,False,>$1600,40-50
20606151507,673,38,1713,582,2070,2458,542.0,336,0,-41.3036,146.1141,22.075956992838236,108.02606782475316,0,0,106.40742638409918,123.36760718685017,0,0,78.40244437377531,95.05020851074512,0,0,140.09990920958148,144.7294512889972,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9559974818330998,24.7799874091655,60.0,98.679924454993,1.4465842036874197,2,VIC,False,False,False,>$1600,30-40
11703133345,587,41,1651,610,2015,2395,491.0,250,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,0.995943204868154,0.9844961240310076,0.9950124791926824,24.779455684955032,59.75659229208925,98.99404467469394,1.5008755714691115,1,NSW,False,False,False,>$1600,40-50
11703132914,711,37,2175,762,3500,3461,549.0,355,0,-37.5488,149.34130000000002,325.2592223192765,401.4775054278286,0,0,55.3851729040675,85.22546741130384,0,0,147.03557476397856,156.57535933609464,0,0,183.03867670665105,198.17586791304075,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9349874032704532,24.674937016352267,60.0,98.0496220981136,1.134479862820794,1,NSW,False,False,False,>$1600,30-40
11703133143,587,37,1900,625,2817,2886,497.0,279,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9349874032704532,24.674937016352267,60.0,98.0496220981136,1.2986808955974878,1,NSW,False,False,False,>$1600,30-40
20607114202,580,37,1787,514,2600,3261,502.0,295,0,-41.6736,147.0771,84.67419821379839,95.12240090824014,0,0,45.07312808264685,54.587224769005466,0,0,63.22012316730845,69.3483810904303,0,0,53.0501971266282,55.22490119666901,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9349874032704532,24.674937016352267,60.0,98.0496220981136,1.3808022952631374,2,VIC,False,False,False,>$1600,30-40
51003127124,794,37,2440,520,5250,3749,496.0,522,0,-35.6805,113.9875,112.42971909374602,185.7913853438403,0,0,112.74291636499194,235.7268313259912,0,0,185.5974292270817,230.56747350617533,0,0,255.74482496600555,269.59402974414905,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9349874032704532,24.674937016352267,60.0,98.0496220981136,1.0112679105062403,5,WA,False,False,False,>$1600,30-40
12201141924,648,38,1727,755,3424,3031,487.0,308,0,-37.4588,147.3503,105.00079149141762,242.30228552331863,0,0,26.812815438053075,133.02773620983217,0,0,70.52018969658839,115.98194091926514,0,0,146.45488989326347,149.98929208730829,0,0,0.0,0.0,0.0,0.0,0.9878296146044624,1.0,0.9559974818330998,24.65828355521013,59.26977687626774,98.43651674708224,1.4278102811355025,1,NSW,False,False,False,>$1600,30-40
80105105301,705,38,1654,551,2167,2392,623.0,261,0,-39.230900000000005,149.235,280.85478510005794,327.6181767087812,0,0,52.13211955391002,127.71726849127852,0,0,124.85917950697294,157.9705246180151,0,0,188.2729145163276,190.8069438381636,0,0,0.0,0.0,0.0,0.0,1.0,0.9862850327966608,0.9559974818330998,24.642837737132105,60.0,97.99417609482605,1.4898934544819895,8,ACT,False,False,False,>$1600,30-40
11801165019,742,40,1627,650,3473,2852,498.0,244,0,-37.2188,147.3743,114.61501613001803,252.03972792972252,0,0,10.695409676343331,126.78908800628832,0,0,65.5693994686013,113.67368674455004,0,0,127.94726266282268,141.79365332110842,0,0,0.0,0.0,0.0,0.0,1.0,0.970184853905784,0.9862071167439164,24.632884122777423,60.0,98.0954561976067,1.5140063996790056,1,NSW,False,False,False,>$1600,30-40
11703133031,771,36,1792,600,2409,3107,668.0,390,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9103839103891423,24.55191955194572,60.0,97.31151731167428,1.3700847964255425,1,NSW,False,False,False,>$1600,30-40
12003139517,887,36,1724,700,3033,3451,612.0,366,0,-37.4788,149.34830000000002,326.2662148512882,403.944184127572,0,0,55.01995269459362,85.11163537808505,0,0,140.9927297723785,149.47326313154244,0,0,175.6331300000511,190.9105064559781,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9103839103891423,24.55191955194572,60.0,97.31151731167428,1.4241252640339743,1,NSW,False,False,False,>$1600,30-40
80106112903,886,36,1811,500,1954,2338,663.0,494,0,-39.160900000000005,150.242,373.4056592734702,389.0474560194209,0,0,46.371772381085904,91.39041934106108,0,0,12.64342082343415,81.27711307813344,0,0,87.05457967840819,113.0641690173658,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9103839103891423,24.55191955194572,60.0,97.31151731167428,1.3557106323548158,8,ACT,False,False,False,>$1600,30-40
80106113106,765,36,1920,550,2000,2454,523.0,377,0,-39.1509,150.243,374.1086745970715,389.38423588045725,0,0,46.52269975636822,91.1337733449983,0,0,12.426447421446746,80.58286879927722,0,0,86.3709641266706,113.25926903388088,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.9103839103891423,24.55191955194572,60.0,97.31151731167428,1.278745809997173,8,ACT,False,False,False,>$1600,30-40
11703133305,556,42,1677,450,2563,2037,467.0,253,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,0.947261663286004,1.0,0.999444598736858,24.46983962654433,56.835699797160245,98.92857122782584,1.4591436867349037,1,NSW,False,False,False,>$1600,40-50
20604111915,635,42,1709,650,3700,3544,467.0,254,0,-41.7036,144.0741,231.17682836464837,286.34587230003893,0,0,62.81903546314108,105.25025362668585,0,0,35.66527060036503,67.29146409802121,0,0,128.79640681967655,175.8253277762953,0,0,0.0,0.0,0.0,0.0,0.947261663286004,1.0,0.999444598736858,24.46983962654433,56.835699797160245,98.92857122782584,1.4318220963454844,2,VIC,False,False,False,>$1600,40-50
50702116524,700,47,1618,610,2600,3185,510.0,247,0,-35.7905,112.9765,214.41830359661648,283.4313220125461,0,0,225.4309175512968,339.9008576420936,0,0,297.9072099518808,331.2448941951823,0,0,336.67174416645105,341.9702131848644,0,0,0.0,0.0,0.0,0.0,1.0,0.9648181276088252,0.9559974818330998,24.428168685253755,60.0,96.92083083543426,1.5097755676918267,5,WA,False,False,False,>$1600,40-50
