SA1_CODE_2021,Tot_P_P,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Year12_Total,High_Income_Total,Families_with_children,latitude,longitude,beach_min_km,beach_avg_km,beachs_within_5km,beachs_within_10km,park_min_km,park_avg_km,parks_within_5km,parks_within_10km,school_min_km,school_avg_km,schools_within_5km,schools_within_10km,hospital_min_km,hospital_avg_km,hospitals_within_5km,hospitals_within_10km,beach_score,park_score,school_score,hospital_score,education_score,income_score,age_score,lifestyle_premium_index,school_demand_index,lifestyle_preference_index,value_score,state,state_name,is_coastal,is_highly_coastal,is_metro,income_bracket
31605154301,481,47,764,500,2000,1652,263.0,76,0,-30.9298,153.1791,31.889977235237914,37.46327068756824,0,0,105.08398025675044,164.60311347216253,0,0,103.27887486001374,175.7970378241971,0,0,104.20033405794211,195.3493588082935,0,0,0.2507345862486352,0.0,0.0,0.0,0.5334685598377282,0.4555754323196184,0.9559974818330998,19.68511905571167,32.00811359026369,62.12806726772847,2.576586263836606,3,QLD,True,False,False,$500-800
31305137910,1155,61,702,375,1733,1193,445.0,139,0,-31.0998,153.1621,24.72269298937169,39.76104784227574,0,0,116.01198348455092,156.27880915407235,0,0,119.59463701264532,181.18742619617728,0,0,98.09942726108169,188.9126882497398,0,0,0.2047790431544852,0.0,0.0,0.0,0.9026369168356998,0.4186046511627907,0.4674066844856189,19.645029965502708,54.15821501014199,53.00517142942209,2.7984373170231778,3,QLD,True,False,False,$500-800
50402105108,1449,40,779,450,2167,1600,597.0,258,0,-35.9005,112.9655,220.8053872394704,290.71064443028405,0,0,227.58170076051255,341.78964306956624,0,0,299.5775703348252,335.26687121665213,0,0,328.7204062252895,342.1641123770157,0,0,0.0,0.0,0.0,0.0,1.0,0.4645199761478831,0.9862071167439164,19.576235345198416,60.0,72.81221230971164,2.512995551373353,5,WA,False,False,False,$500-800
30305107332,563,36,684,585,2342,2216,330.0,70,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.6693711967545639,0.407871198568873,0.9103839103891423,19.53964821254674,40.16227180527384,61.0925011752092,2.856673715284612,3,QLD,True,False,False,$500-800
30305107215,594,38,775,400,1786,1644,291.0,75,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.59026369168357,0.4621347644603458,0.9559974818330998,19.51927667797132,35.41582150101419,63.59193651168169,2.518616345544686,3,QLD,True,False,False,$500-800
30305107622,636,32,797,365,1343,1620,327.0,30,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.6632860040567952,0.4752534287418008,0.7827045382418681,19.51422172656196,39.79716024340771,60.50952766548199,2.448459438715428,3,QLD,True,False,False,$500-800
30305107323,498,38,772,405,1733,1862,290.0,51,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.5882352941176471,0.4603458556946929,0.9559974818330998,19.48110361465556,35.294117647058826,63.46192312208059,2.52345901744243,3,QLD,True,False,False,$500-800
31605154402,581,41,765,550,2100,1759,242.0,66,0,-30.9298,153.1791,31.889977235237914,37.46327068756824,0,0,105.08398025675044,164.60311347216253,0,0,103.27887486001374,175.7970378241971,0,0,104.20033405794211,195.3493588082935,0,0,0.2507345862486352,0.0,0.0,0.0,0.4908722109533469,0.4561717352415027,0.9950124791926824,19.46019358288461,29.452332657200813,62.47640535692254,2.543816154625439,3,QLD,True,False,False,$500-800
31605154403,562,40,784,593,2100,1937,238.0,68,0,-30.9298,153.1791,31.889977235237914,37.46327068756824,0,0,105.08398025675044,164.60311347216253,0,0,103.27887486001374,175.7970378241971,0,0,104.20033405794211,195.3493588082935,0,0,0.2507345862486352,0.0,0.0,0.0,0.4827586206896552,0.4675014907573047,0.9862071167439164,19.44832842316188,28.965517241379317,62.61646045397582,2.480654135607383,3,QLD,True,False,False,$500-800
30905124423,625,49,756,245,2825,1773,304.0,83,0,-31.2298,153.1491,23.747590483998952,39.58299141369727,0,0,101.64925300259463,147.99285859180932,0,0,132.55431566329673,176.79900815608934,0,0,95.742982507,180.864497743672,0,0,0.2083401717260545,0.0,0.0,0.0,0.6166328600405679,0.4508050089445438,0.9103839103891423,19.39310167631792,36.99797160243408,62.18442495971283,2.565225089460043,3,QLD,True,False,False,$500-800
