rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
8517,50601130803,WA,55.66391828026528,0.8605472808552365,55.03549242608838,LL (Coldspot),232,1114,78.10650887573965,44.396551724137936,-1.684495808798914
8518,11801134524,NSW,55.6635748405232,0.6502874552779054,56.8401196747007,LL (Coldspot),508,1406,88.9423076923077,38.77952755905512,1.0069710170330382
8519,20904143309,VIC,55.66096212664189,0.45169404013931774,58.54575962333601,LL (Coldspot),402,592,65.51724137931035,28.60696517412935,45.26467918917543
8520,11801134716,NSW,55.660932554127,0.7264577718695966,56.18893456305369,LL (Coldspot),478,1689,89.66565349544074,34.51882845188285,-1.4255589114513327
8521,30504113606,QLD,55.66090725946957,0.07420996700669245,61.78372567047047,LH (Low-High Outlier),552,1141,86.40552995391705,38.40579710144928,7.264821344189599
8522,30203104030,QLD,55.65983168099848,0.42345920318236785,58.788558140100996,LL (Coldspot),364,1080,76.03833865814697,44.78021978021978,-2.57332495409905
8523,30910126725,QLD,55.6587462780331,0.5559243670768372,57.65326153002727,LL (Coldspot),8,649,100.0,0.0,76.48288818100139
8524,21005124726,VIC,55.65779344364396,0.6538303845874904,56.814514181746624,LL (Coldspot),497,428,61.60220994475139,26.961770623742453,50.70295997422317
8525,21003153606,VIC,55.65530711772259,-0.17471582212649062,63.9176888541392,LH (Low-High Outlier),654,928,72.95081967213115,40.825688073394495,7.2379042338794335
8526,12703173210,NSW,55.6552263849637,0.009583648420568925,62.33813807048025,LH (Low-High Outlier),514,458,58.87323943661972,28.793774319066145,43.27551700058358
8527,31105132608,QLD,55.65512203552211,0.33020453331339883,59.59031034166161,LL (Coldspot),787,498,57.4,31.2579415501906,36.22334097480831
8528,12101168726,NSW,55.65077092978063,0.5042012756097364,58.10187708317521,LL (Coldspot),580,1456,83.87799564270153,37.06896551724138,-4.472788479968628
8529,20703116437,VIC,55.65040827927122,-0.09711893994146603,63.25203691883454,LH (Low-High Outlier),280,687,69.66824644549763,27.500000000000004,41.13288842757433
8530,50502108437,WA,55.65034500156984,0.46013130838328803,58.479576728755404,LL (Coldspot),550,963,71.26696832579185,43.45454545454545,-0.0753279509890063
8531,60104102203,TAS,55.64923910313052,0.2282088286894535,60.46614718736467,LL (Coldspot),404,659,61.66134185303515,34.15841584158416,28.297435824330712
8532,50604113331,WA,55.647644928396005,0.5885905868487389,57.38142394833829,LL (Coldspot),668,803,72.00811359026369,35.92814371257485,25.005866231470332
8533,12502171118,NSW,55.64726431039576,0.2212780724566126,60.52604695223114,LL (Coldspot),697,706,79.182156133829,22.094691535150645,54.08786126160498
8534,20703116418,VIC,55.64667891918681,-0.09719224459597024,63.25220643520201,LH (Low-High Outlier),399,773,74.84662576687117,25.81453634085213,34.94489576545432
8535,12103141054,NSW,55.64607541377215,0.5151376415325563,58.01126719702792,LL (Coldspot),334,1261,90.33613445378153,33.83233532934132,5.159451411790116
8536,70201105011,NT,55.645931969916,0.05013524530358781,61.99118138882018,LH (Low-High Outlier),193,1153,76.59574468085107,51.29533678756477,-6.317430064648164
8537,12101168420,NSW,55.6449629808704,-0.5513898354020836,67.13878541093887,LH (Low-High Outlier),232,939,80.54054054054053,33.62068965517241,17.874085357280748
8538,21005144544,VIC,55.64393381958247,0.5382895785714251,57.814568324638444,LL (Coldspot),330,846,72.0,46.96969696969697,17.587425619476953
8539,21201154640,VIC,55.64182958836805,0.7779720004194403,55.76586715328068,LL (Coldspot),406,802,70.73170731707317,35.714285714285715,22.940573464316792
