rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,cbd_proximity_score,coastal_score,school_access_score,public_transport_score,parks_score,composite_amenity_index,amenity_percentile,amenity_category,premium_opportunity_score,premium_percentile
309,12401145215,NSW,26,81.4352132755866,99.5019727055171,68.5985985985986,65.35452322738386,32.4462268563083,24.151895476742137,19.60635696821516,42.4210009194367,39.89359048965001,Low,61.928107097511656,99.1570371601962
334,70104103811,NT,3,80.64897651192545,99.46154841213377,70.0,45.0,39.89536912902048,30.202051680526395,13.5,41.80458674593569,34.66289799650844,Low,61.22678162893057,98.94421813949621
377,40101100219,SA,294,79.87962957959371,99.3920186275144,70.0,50.0,39.544030388024034,24.630399920644106,15.0,41.31640605776583,30.68916784437609,Low,60.59801781867977,98.76132679358217
446,40303106601,SA,488,78.63421929150093,99.28044757777634,69.92992992992993,50.0,35.002040760779366,28.564163953991518,15.0,41.37393162313624,31.144733560561978,Low,60.00407545731858,98.53686923268768
463,40205105226,SA,460,78.42328233939811,99.25295905827566,70.0,50.0,33.787758986955225,30.244416155537554,15.0,41.56865583627543,32.71261118962507,Low,59.99596908783677,98.5302186382908
480,40101100201,SA,453,78.16646306978274,99.225470538775,70.0,50.0,39.44354393899161,25.23796848909683,15.0,41.44820091007253,31.73996175908222,Low,59.80733198992763,98.46038739712361
528,21401137109,VIC,437,77.60696616639159,99.14785589547894,69.57957957957957,62.373419000282865,30.636775126962526,25.060442913527044,18.712025700084858,41.95017735372432,35.87164352814033,Low,59.77857176005796,98.44209826253221
609,21301133416,VIC,444,76.58521671209276,99.01688118491688,69.64964964964965,62.575463692568796,29.60474959338799,27.16041340164705,18.772639107770637,42.32568110155269,39.015712029262616,Low,59.455448906822724,98.28248399700723
746,21204146005,VIC,549,75.14362959465541,98.79535605717612,69.71971971971972,62.77144704408615,27.813084351246395,24.767889634803186,18.831434113225846,41.424951382476806,31.525480089783027,Low,58.28429048856611,97.6440269349073
768,12503148442,NSW,675,74.94527292196224,98.75978267899876,68.52852852852853,65.14841681989937,28.228226964184955,27.6167571013075,19.54452504596981,42.38590808017637,39.57436195860005,Low,58.6655905010693,97.85684595560728
771,20604112113,VIC,433,74.92528575997379,98.75493176379275,70.0,63.98371519780176,29.196858075812393,26.133822143601105,19.195114559340528,42.34965161463409,39.245157535954775,Low,58.63746868730394,97.84021946961509
790,11902166021,NSW,231,74.74615723581617,98.7242093008214,68.94894894894894,66.36282810321485,27.37011659806818,26.504129420805725,19.908848430964454,42.2780443921792,38.628314905644686,Low,58.512100813997684,97.77038822844791
800,12703173129,NSW,394,74.61916466874594,98.70803958346808,68.38838838838838,64.74428660914546,26.985180353171575,26.528021838691895,19.42328598274364,41.75127451618775,34.23060936071161,Low,58.185219592466844,97.57918363953777
844,21303134718,VIC,252,74.07678815627276,98.6368928271134,69.64964964964965,62.57142279872308,27.888737776745113,25.655131274909074,18.77142683961692,41.60537023223971,33.000249397289885,Low,57.84107919425623,97.31482251226204
858,21204145916,VIC,285,73.98645951100737,98.6142552228187,69.71971971971972,62.77144704408615,28.367233586151958,27.92579959892771,18.831434113225846,42.325258720489046,39.01072408346496,Low,58.15585911574821,97.55091861335107
882,21204131730,VIC,643,73.75279285415604,98.57544790117068,69.71971971971972,62.77144704408615,30.55095913134398,26.30892324533107,18.831434113225846,42.35778474112829,39.33161526311414,Low,58.05528879764216,97.46778618339013
887,40303107017,SA,381,73.72582820243994,98.56736304249402,69.92992992992993,50.0,31.598193987121185,32.335428853887365,15.0,41.63597849337856,33.246321389974234,Low,57.68090334790925,97.1951118131183
943,11902157304,NSW,463,73.2584395549721,98.47681262531532,68.94894894894894,66.36282810321485,30.434215180734892,24.45162227050897,19.908848430964454,42.377737321138355,39.50120542023443,Low,57.81808843805523,97.29653337767063
949,12703173113,NSW,480,73.19362965347506,98.4671107949033,68.38838838838838,64.74428660914546,28.162967437846447,26.247589679715585,19.42328598274364,41.916723893378645,35.57735472607864,Low,57.55517677342685,97.08038905977222
950,21204156331,VIC,468,73.15598435249238,98.46549382316798,69.71971971971972,62.77144704408615,27.110385269027784,26.73298130739399,18.831434113225846,41.775684484180786,34.43012719261784,Low,57.465834418336584,97.00889517000581
952,12501158226,NSW,465,73.12916325893887,98.4622598796973,68.52852852852853,65.1524581220069,30.52898699671391,25.68307713701765,19.54573743660207,42.36342814952067,39.37650677529304,Low,57.74629570422977,97.2400033252972
958,20902152526,VIC,456,73.0800790430947,98.4525580492853,69.92992992992993,63.38162201478967,26.00071145484117,26.42031486245119,19.0144866044369,41.6471197819475,33.339429711530464,Low,57.3635994125211,96.90913625405271
995,40402110221,SA,3,72.7734490493657,98.39192160921029,69.85985985985985,50.0,39.89536912902048,25.04467356903417,15.0,41.455207183027596,31.808130351650178,Low,57.114328116196646,96.64144982957852
1004,20904143217,VIC,61,72.71307529189232,98.37817734945992,69.92992992992993,63.37758112094396,25.628117975570092,24.82865053788558,19.013274336283185,41.17389703065197,29.591819768891845,Low,56.94348616127215,96.49513675284729
1028,11901157209,NSW,532,72.43460599161169,98.33937002781192,68.94894894894894,66.36484875426862,29.241566468616195,25.40988602966383,19.909454626280585,42.379167545458806,39.51783190622662,Low,57.406886768535244,96.95236511763238
1037,20902152505,VIC,276,72.32492595381592,98.3248172821939,69.92992992992993,63.38162201478967,26.986964815613906,27.110752477145255,19.0144866044369,42.01697985777557,36.43528140327542,Low,57.170952905795744,96.71460636794413
1047,12501158231,NSW,413,72.24441563251538,98.30864756484056,68.52852852852853,65.1524581220069,29.960229636206723,24.676042567606043,19.54573743660207,41.99791803506633,36.27067919195278,Low,57.12116683379085,96.65308836977304
1052,11901157117,NSW,291,72.21586027941154,98.3005627061639,68.94894894894894,66.36484875426862,28.10718683406911,26.198278576822723,19.909454626280585,42.34938975533912,39.24016959015712,Low,57.28262501737533,96.81769058109569
1066,11901157136,NSW,351,72.13410677933356,98.27792510186924,68.94894894894894,66.36484875426862,29.147307489959175,25.469402950655116,19.909454626280585,42.37519497997523,39.476265691246155,Low,57.25465087965439,96.78443760911132
1075,21204131725,VIC,299,72.08141172933102,98.2633723562512,69.71971971971972,62.77144704408615,27.377965935871476,29.014463278726673,18.831434113225846,42.399571110382695,39.695735306343,Low,57.24049141985686,96.77279906891678
1084,40105101914,SA,558,72.00133524720358,98.2488196106332,70.0,50.0,31.67152884455804,33.35128209367302,15.0,41.922126292329864,35.63554742705129,Low,56.961730769766724,96.52007648183556
1085,21204156346,VIC,259,71.98811699352638,98.24720263889787,69.71971971971972,62.77144704408615,28.63617916652836,27.895421170505074,18.831434113225846,42.371453229458666,39.451325962257876,Low,57.17978511149252,96.72624490813867
1090,12502147828,NSW,778,71.94191935823295,98.2391177802212,68.52852852852853,65.15043747095314,27.548016878547486,25.910812022199593,19.54513124128594,41.82377382022739,34.834150802227946,Low,56.88284658923017,96.41366697148558
1111,40401109345,SA,304,71.77618713835162,98.20516137377918,69.85985985985985,50.0,29.49410681448535,29.22139749318316,15.0,40.41913570115783,23.804139995012054,Low,56.09766141975472,95.44101754094272
