rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
41,20703116351,VIC,94.35924919553524,5.805247450333197,72.95868812525288,HH (Hotspot),762,413,85.48057259713701,40.0262467191601,92.18425955599952
42,20604111747,VIC,94.1485350545898,8.849708980824719,78.59206852378146,HH (Hotspot),638,568,93.859649122807,46.86520376175549,85.78252310118995
43,21205156710,VIC,94.09891291684912,11.20136549709931,82.92150540304253,HH (Hotspot),241,575,95.92760180995477,49.37759336099585,85.2584920862987
44,20604150416,VIC,94.0920743673016,13.23282843339954,86.6448074804851,HH (Hotspot),379,566,91.76470588235294,47.75725593667546,85.30789113742725
45,12602150046,NSW,93.92844716471204,2.725517931739081,67.43562510220556,HH (Hotspot),273,395,95.7983193277311,24.90842490842491,97.77406949496604
46,40101100161,SA,93.9225941065631,8.709358498583079,78.44974252024655,HH (Hotspot),544,375,84.72505091649694,29.411764705882355,91.73949553560918
47,30504113729,QLD,93.91946588038968,3.5997538521671864,69.04623545869426,HH (Hotspot),367,481,89.50437317784257,36.51226158038147,91.7294832863228
48,11703164501,NSW,93.8689684745648,7.080563315238076,75.47418620823325,HH (Hotspot),109,0,89.28571428571429,11.926605504587156,97.3893775823004
49,20604111733,VIC,93.7905851220363,8.75496549758323,78.60148825884865,HH (Hotspot),420,566,93.43832020997375,45.71428571428572,85.87849622872406
52,80105105308,ACT,93.67021104459609,2.443607312627922,66.95402636100083,HH (Hotspot),577,351,100.0,12.824956672443674,98.4227721963571
53,20703116353,VIC,93.58548779296758,5.675005913565265,72.97803216031707,HH (Hotspot),118,562,90.0,53.38983050847458,84.88336867327725
55,12602150022,NSW,93.44692642105166,2.69000060479179,67.44708988181652,HH (Hotspot),283,339,100.0,14.840989399293289,98.537940047374
57,21205156702,VIC,93.44315495562849,10.984749001343305,82.95001661874778,HH (Hotspot),1166,254,97.83978397839785,10.720411663807887,98.48530525713424
58,30302105817,QLD,93.38925269263686,3.4845338588228225,68.94396404280248,HH (Hotspot),226,537,92.65536723163842,46.017699115044245,88.31017711350484
59,30403109604,QLD,93.34874959733948,9.270786648069993,79.79962547695779,HH (Hotspot),402,490,95.97701149425288,38.80597014925373,92.85231635516992
60,20604111731,VIC,93.33210233462076,8.633442718107588,78.61355359535959,HH (Hotspot),320,545,93.37979094076655,41.5625,87.86389377108748
61,40101100157,SA,93.32882585725795,8.554510864777345,78.46720629228493,HH (Hotspot),189,539,87.00564971751412,48.14814814814815,84.84893851819722
