rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,cbd_proximity_score,coastal_score,school_access_score,public_transport_score,parks_score,composite_amenity_index,amenity_percentile,amenity_category,premium_opportunity_score,premium_percentile
132,20604150605,VIC,510,88.41332197239078,99.78817670267124,70.0,63.98371519780176,39.945018670959605,30.76518921421132,19.195114559340528,45.65712550131609,66.31640202843128,High,67.03522373685342,99.80879541108987
133,50301103524,WA,627,88.39651721975295,99.7865597309359,70.0,69.59591061542814,40.243874987552694,24.604774579661747,20.87877318462844,45.27117121243447,63.395128439604285,High,66.83384421609371,99.78718097930003
134,20604111738,VIC,362,88.31979761487324,99.78494275920056,70.0,63.98371519780176,40.039150280479305,30.55584671086349,19.195114559340528,45.62361619738307,66.07033003574695,High,66.97170690612816,99.80713276249065
135,21205156720,VIC,1077,88.24805303182022,99.78332578746524,69.71971971971972,62.76942659716329,39.572313348491384,30.313502741751787,18.830827979148985,45.162806471512994,62.46570787264112,High,66.7054297516666,99.77221714190706
136,12003167812,NSW,1624,88.21803525811585,99.7817088157299,68.87887887887888,66.15874234678414,39.96131994556378,29.119841641366925,19.847622704035242,45.39289887679712,64.27799484578934,High,66.80546706745648,99.78219303350237
139,20604112402,VIC,356,88.10379221939532,99.7768579005239,70.0,63.98371519780176,39.8839548909616,29.270446542232214,19.195114559340528,45.27122707732171,63.39679108820351,High,66.68750964835851,99.77055449330784
140,20604111735,VIC,302,88.06018810200962,99.77524092878856,70.0,63.98371519780176,39.33361322069904,30.898069006563393,19.195114559340528,45.56806435935199,65.6546678859423,High,66.81412623068081,99.78385568210159
142,30303106525,QLD,404,87.82701997077156,99.7720069853179,69.85985985985985,79.59186972158241,36.991684568659345,27.465235011988856,23.877560916474724,47.25002522740261,78.1278576772799,High,67.53852259908709,99.83539778867735
143,20604150432,VIC,756,87.8012532554071,99.77039001358256,70.0,63.98371519780176,39.946294320709,31.930935572933027,19.195114559340528,45.9488172209464,68.5576523401779,High,66.87503523817675,99.79549422229613
144,11802156508,NSW,544,87.72530283643889,99.76877304184724,69.01901901901901,66.56489320859181,39.43478660337903,30.349102967434177,19.969467962577543,45.70914199296451,66.71044974644609,High,66.7172224147017,99.7755424391055
146,20604150320,VIC,520,87.38279317981562,99.76553909837656,70.0,63.98371519780176,39.817755833637605,31.855712797791263,19.195114559340528,45.904303829746674,68.21015878294122,High,66.64354850478115,99.76556654751019
148,12003157604,NSW,13,87.28172351449663,99.76230515490587,68.87887887887888,66.15874234678414,39.90286912902048,32.71131584243493,19.847622704035242,46.27907726375547,71.0749023193948,High,66.78040038912604,99.78053038490316
149,12003168032,NSW,465,87.27330286052747,99.76068818317056,68.87887887887888,66.15874234678414,39.909940958276636,30.899356247811284,19.847622704035242,45.82750173095077,67.61326793582177,High,66.55040229573912,99.7572533045141
150,20604150505,VIC,592,87.26141235856907,99.75907121143524,70.0,63.98371519780176,40.09945855876789,32.62054656372444,19.195114559340528,46.15185281625603,70.11721672624492,High,66.70663258741256,99.77387979050629
