rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
280,20604150507,82.06498682309363,99.5488648858418,Very High,601,797,1307,351,49.45669749692775,98.92314329328995,93.28214971209214,0.0,50.24651860239323,65.05823627287853,23.294509151414307,73.21131447587355,65.72379367720465,1.6,0,48.94797026872498,99.1944888711182,99.79628998328748,50.24651860239323,98.41176226274035,98.0928325949236,2,VIC,Victoria
281,11903137426,82.0405449369423,99.54724791410646,Very High,348,667,1761,471,26.743095530690127,96.29654211190018,88.05460750853243,0.0,70.55623029723012,43.103448275862064,15.517241379310343,82.18390804597702,88.50574712643679,2.7,0,26.000980151923557,96.55721044915369,94.62538143661293,70.55623029723012,99.94517589400674,42.11419816984802,1,NSW,New South Wales
282,11703163911,82.02097947293876,99.54563094237112,Very High,512,803,1312,545,49.95957570661665,99.14714276232829,94.24778761061948,0.0,49.96338322467305,56.8359375,30.46875,78.90625,72.265625,1.6,100,49.45601568243077,99.41939890710384,99.47367983437128,49.96338322467305,99.43182290152428,98.0928325949236,1,NSW,New South Wales
283,20703116524,81.99827367919289,99.5440139706358,Very High,699,674,1325,390,27.662343962227546,88.99747793190416,81.30217028380635,0.0,62.298801177070615,41.3447782546495,19.170243204577968,64.52074391988555,65.52217453505007,2.1,0,26.929674099485425,89.22847527655604,94.65947168430768,62.298801177070615,97.1790505461644,84.26649000041407,2,VIC,Victoria
284,30303106027,81.95364951697186,99.54239699890046,Very High,399,675,1597,423,27.8030205032016,97.6148204685737,90.06211180124224,0.0,70.80905153253572,48.1203007518797,16.541353383458645,69.67418546365914,71.9298245614035,2.8,0,27.0717961283999,97.8808476609356,96.8229552087404,70.80905153253572,98.70914150434024,34.117013788248926,3,QLD,Queensland
285,11703163908,81.94856747024541,99.54078002716513,Very High,575,796,1363,523,49.28772395058535,99.271586911794,95.05154639175257,0.0,50.76708845172215,49.73913043478261,33.73913043478261,67.82608695652173,62.43478260869565,1.6,100,48.77726047537368,99.54434892709584,98.86837007042548,50.76708845172215,97.22058395979566,98.0928325949236,1,NSW,New South Wales
286,50603112750,81.9048228491643,99.5391630554298,Very High,294,752,1531,350,41.02499838302827,96.48901572974049,88.3248730964467,0.0,56.32083322025268,58.16326530612245,21.7687074829932,61.90476190476191,56.4625850340136,2.1,0,40.42963325982194,96.75046648007462,99.1377661741596,56.32083322025267,94.68870706483364,84.26649000041407,5,WA,Western Australia
287,12503148114,81.90298716032619,99.53754608369448,Very High,376,629,1390,345,21.712696462065843,89.74995022234022,81.87702265372168,0.0,69.06511396911465,40.691489361702125,18.08510638297873,70.47872340425532,75.79787234042553,2.5,0,20.91889242832639,89.98400639744104,93.95105970782166,69.06511396911465,99.1111849482909,58.33712889735414,1,NSW,New South Wales
288,12602172336,81.87384133629652,99.53592911195912,Very High,458,749,1419,368,40.532630489619045,96.81340014601447,88.82978723404256,0.0,57.14396337356587,50.43668122270743,6.550218340611353,73.58078602620087,72.27074235807859,2.1,0,39.932206158621256,97.07616953218712,95.91166468499782,57.14396337356587,99.0746355442954,84.26649000041407,1,NSW,New South Wales
289,40303106602,81.86018650333229,99.5343121402238,Very High,500,595,1413,285,17.496442662182265,87.86752505475542,80.48192771084337,0.0,71.43461356778859,46.8,15.8,64.4,57.2,2.6,0,16.659315527240054,88.09392909502864,96.27335389834457,71.43461356778859,95.45624454873946,50.30019460891887,4,SA,South Australia
