rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
9983,20904153110,VIC,53.71552599017836,0.7351987937264012,57.52334282351205,LL (Coldspot),637,862,71.33620689655173,39.403453689167975,13.844443599673582
9982,30503112105,QLD,53.71703776415616,0.8582565589672068,56.70270015308594,LL (Coldspot),484,1044,76.49769585253456,34.917355371900825,1.0658818233712708
9981,12503148329,NSW,53.718422159765495,0.30772445611563876,60.36993490484877,LL (Coldspot),769,447,59.11949685534591,28.218465539661896,44.55568854709198
9980,12702150905,NSW,53.7202709358238,0.550865391450263,58.749129426214566,LL (Coldspot),486,485,62.46418338108882,25.925925925925924,48.740975389636674
9979,31501140215,QLD,53.72095462571415,0.3379608449718541,60.167817124694096,LL (Coldspot),287,386,55.172413793103445,35.19163763066202,37.6915784368275
9978,40104101514,SA,53.7263454299545,0.3330435347403018,60.199213895532566,LL (Coldspot),332,739,64.36781609195403,31.024096385542173,21.13119127910381
9977,11801134419,NSW,53.72771564030662,0.951587474882757,56.07315663996611,LL (Coldspot),436,1261,86.8421052631579,33.02752293577982,2.7021010186140444
9976,12302144114,NSW,53.7293472905766,-0.0,0.0,LL (Coldspot),747,841,70.31539888682747,35.87684069611781,15.244124313845504
9975,20901120335,VIC,53.73122929254311,0.6730351514244556,57.929293908324034,LL (Coldspot),316,919,74.8971193415638,33.54430379746836,11.734885315660565
9974,11901135626,NSW,53.73786980942318,0.7781139492617389,57.22416058927354,LL (Coldspot),584,593,63.90977443609023,26.1986301369863,41.72865530745962
9973,12302170409,NSW,53.73932108320392,0.7177695856673882,57.626328768085415,LL (Coldspot),624,1162,86.07888631090486,40.5448717948718,5.799335129951942
9972,11802156908,NSW,53.74062261192503,0.700969790396253,57.73783169031222,LL (Coldspot),231,1375,86.66666666666667,36.36363636363637,-0.2620321633659728
9970,30903123820,QLD,53.7415826824596,0.6226276132924854,58.26069337248769,LL (Coldspot),544,577,51.96304849884527,34.19117647058824,18.375589199099416
9969,20605151411,VIC,53.741910147831206,0.3705432354642181,59.94469713716672,LL (Coldspot),433,1370,83.11345646437994,33.25635103926097,-3.958034404469018
9968,11702132742,NSW,53.74216431136915,0.7553276679123803,57.37382745673516,LL (Coldspot),451,1363,82.77634961439588,40.79822616407982,-4.221009750147147
9967,21202145324,VIC,53.74294992478679,1.0817254970147683,55.192464805811056,LL (Coldspot),764,815,70.6176961602671,33.7696335078534,20.176706945254253
9965,21005124625,VIC,53.748180979968765,0.39575699419193056,59.774333606292195,LL (Coldspot),770,664,69.6027633851468,25.71428571428571,44.36265422769877
9963,50603113139,WA,53.750715812946304,0.7725510805750037,57.253664259662195,LL (Coldspot),474,579,70.55555555555556,21.518987341772156,56.896452110979496
9962,50301103607,WA,53.75087667349439,-0.0,0.0,LL (Coldspot),22,1625,100.0,59.09090909090909,1.3689455198889249
9961,40203103826,SA,53.75362939582729,0.23572193077810555,60.84330070459088,LL (Coldspot),416,682,62.53687315634219,29.086538461538463,27.06689614442551
9960,11901165508,NSW,53.754948387995846,0.5792395679361483,58.54458659127688,LL (Coldspot),537,570,69.8005698005698,22.532588454376164,56.53848482660354
9959,50302103925,WA,53.75730213856425,0.630772925550215,58.1986305415941,LL (Coldspot),546,1125,77.90973871733968,38.82783882783883,-2.668210098954773
9958,20607151734,VIC,53.75777895584369,0.7817405322421944,57.18794491099666,LL (Coldspot),442,1441,84.27835051546391,46.38009049773756,-3.840590162693388
9956,21205132545,VIC,53.75932587247405,0.6825915052984692,57.85075111370638,LL (Coldspot),415,1027,84.46601941747572,32.04819277108434,13.62649520768349
9955,21301133816,VIC,53.76020136014608,0.6443112896196181,58.10657717400052,LL (Coldspot),448,545,58.58895705521472,29.24107142857143,35.10666332993062
9952,11901135608,NSW,53.76133298072766,0.7767120076361932,57.21946795501264,LL (Coldspot),624,523,66.10978520286396,23.717948717948715,53.24503237992559
9951,50401104612,WA,53.761339543356655,0.45455260153535687,59.3766213374647,LL (Coldspot),479,1185,79.79002624671917,44.46764091858037,-3.069499717878088
9949,11801134135,NSW,53.762007512401375,0.3902250467135833,59.80715265798642,LL (Coldspot),557,1589,84.14634146341463,38.77917414721723,-5.593668478863449
