rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,estimated_median_price,estimated_median_price_k,price_to_risk_ratio,investment_opportunity_score,opportunity_category,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
1777,40402110203,SA,330,68.08404198097888,97.12825819804672,550152.6253892411,550.1526253892412,8.080493011019252,99.86774017557492,Excellent,596,68.37606837606837,34.24242424242424,50.91321455571982
32,20604150426,VIC,518,94.93194941777872,99.94987387620463,767519.0997420553,767.5190997420553,8.084939837950019,99.8660869277696,Excellent,541,92.22462203023758,42.85714285714285,87.82634691773866
501,50603112443,WA,469,77.94374699639867,99.19151413233296,630245.2688775504,630.2452688775504,8.085899038272697,99.86443367996429,Excellent,639,78.32369942196532,40.08528784648188,62.59802935805176
70,21205156708,VIC,221,91.92880370453338,99.88842895026195,744246.6304354386,744.2466304354386,8.095902485879263,99.86278043215897,Excellent,622,95.91836734693877,42.98642533936652,79.66014239570855
8287,70102102706,NT,190,55.92847447897793,86.60177220102193,452924.26922755386,452.92426922755385,8.098276833883542,99.86112718435366,Excellent,1613,76.5432098765432,57.89473684210527,-16.37220714099395
82,30504113726,QLD,199,91.03198750850127,99.86902528943794,737465.3899376898,737.4653899376898,8.101167623840132,99.85947393654835,Excellent,633,92.3076923076923,47.23618090452261,77.40378283057436
339,40101100134,SA,761,80.52119010964964,99.45346355345708,655682.6608075268,655.6826608075268,8.142982734292074,99.85782068874303,Excellent,740,83.61408882082695,43.62680683311432,53.947118244918
811,40101100151,SA,599,74.49777408338139,98.6902528943794,608143.6163975964,608.1436163975965,8.163245464447485,99.85616744093772,Excellent,818,82.5278810408922,49.08180300500835,38.57310690034204
786,30501110534,QLD,544,74.77492484687235,98.73067718776277,610563.6943544289,610.5636943544289,8.165353500585528,99.8545141931324,Excellent,769,78.62068965517241,58.27205882352941,41.703731845495895
210,21205156722,VIC,365,84.60608608078043,99.6620529073152,690866.2554188031,690.8662554188031,8.165680359675024,99.8528609453271,Excellent,617,94.70198675496688,55.06849315068493,80.14456877544661
315,50302129612,WA,466,81.30295640751496,99.4922708751051,664382.4812498449,664.3824812498449,8.171689082494852,99.85120769752179,Excellent,667,84.93150684931507,51.07296137339056,67.68071383714747
230,20604150518,VIC,1461,83.68506908098826,99.6297134726085,684431.1524043604,684.4311524043603,8.17865313275879,99.84955444971646,Excellent,763,92.23300970873788,56.67351129363449,56.36925255218504
118,40101100154,SA,237,89.26244060072331,99.81081430696592,730247.4824294104,730.2474824294104,8.180904280848143,99.84790120191116,Excellent,630,88.51674641148325,42.616033755274266,75.78460852039156
291,30403109401,QLD,511,81.82542097104002,99.53107819675311,670107.9111326911,670.1079111326911,8.189483209256673,99.84624795410583,Excellent,725,89.17525773195877,41.878669275929546,61.97988210580344
712,50302104314,WA,474,75.45423559878945,98.85033309617748,618151.9451981502,618.1519451981502,8.192408819632487,99.84459470630053,Excellent,836,85.37859007832898,53.58649789029536,38.83424670644689
4068,50603113001,WA,16,61.94883487099133,93.42377595239635,507795.9655901111,507.7959655901111,8.197022052918316,99.84294145849522,Excellent,724,100.0,0.0,65.01184350240953
42,20604111747,VIC,638,94.1485350545898,99.9337041588513,771951.3972910913,771.9513972910913,8.199292711708086,99.8412882106899,Excellent,568,93.859649122807,46.86520376175549,85.78252310118995
930,50603112408,WA,347,73.33645808042611,98.49783325787466,602311.6457166668,602.3116457166668,8.212990666335807,99.83963496288459,Excellent,748,76.45051194539249,46.68587896253602,42.30028004317343
708,30501110501,QLD,783,75.50363984801639,98.85680098311882,620193.9585555736,620.1939585555735,8.214093516603718,99.83798171507928,Excellent,836,89.05982905982906,43.039591315453386,41.93467320251512
224,50603112426,WA,705,84.01741598440258,99.63941530302051,691277.0808128732,691.2770808128732,8.227783165114307,99.83632846727396,Excellent,563,89.4648829431438,48.65248226950354,84.4506170822531
2861,50502109302,WA,682,64.47913745616091,95.37546083694455,530629.0389858015,530.6290389858015,8.22946863001345,99.83467521946865,Excellent,908,76.49122807017544,48.82697947214076,15.834094035341836
