rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
4046,70101100223,61.97210615152387,93.4593493305737,Very High,377,1098,1992,400,85.36074639415303,88.98171500630518,81.29032258064515,0.0,3.991705694590607,51.72413793103448,11.405835543766578,54.64190981432361,48.01061007957559,2.0,0,85.22094257943313,89.21264827402373,97.13725066309688,3.991705694590607,90.19063836856752,88.8973541468262,7,NT,Northern Territory
4070,70102101301,61.94358304879337,93.4205420089257,Very High,457,884,2463,330,63.160532953883965,84.82693966947635,78.43137254901961,0.0,22.24836741771479,39.82494529540481,14.00437636761488,42.88840262582057,43.10722100656455,2.6,0,62.7926161888426,85.04098360655739,91.9355777465515,22.24836741771479,83.86593014079827,50.30019460891887,7,NT,Northern Territory
4087,70102101601,61.89723510966453,93.393053489425,Very High,537,669,827,200,27.00827889528491,55.54523130019248,62.73458445040214,0.0,29.37135555807898,37.61638733705773,6.145251396648044,38.91992551210428,38.17504655493482,2.0,0,26.268888344360043,55.64024390243903,85.53492587449801,29.37135555807898,79.97757195663911,88.8973541468262,7,NT,Northern Territory
4151,70102102301,61.783463066894754,93.28956729836364,Very High,649,977,1820,320,75.01536123148568,84.41046658259773,78.15845824411134,0.0,9.853561638319434,50.38520801232666,7.858243451463791,57.781201848998464,55.1617873651772,2.3,0,74.76925590133138,84.62281753965081,96.124520865726,9.853561638319434,93.25165095319184,72.84998550784645,7,NT,Northern Territory
4385,70101100509,61.38627160745536,92.91119591229544,Very High,595,1046,2013,325,81.33852920250953,85.21935355412491,78.69198312236287,0.0,4.277596606542389,50.7563025210084,9.747899159663866,55.63025210084034,47.56302521008403,2.0,0,81.15739606305642,85.43499266959881,96.59679551671672,4.277596606542389,90.34929600863894,88.8973541468262,7,NT,Northern Territory
4421,70101100219,61.32059269872149,92.85298492982342,Very High,386,1230,2098,423,92.02671237306772,92.8062985332183,84.38438438438438,0.0,1.0973758009660628,59.58549222797927,7.253886010362693,50.25906735751296,38.60103626943005,2.0,0,91.95540308747856,93.05277888844462,98.3545219466363,1.0973758009660628,85.00228433774973,88.8973541468262,7,NT,Northern Territory
4864,70101100222,60.63674621532197,92.13666645107044,Very High,499,1215,2236,460,91.42681585925878,93.50816353620496,84.98789346246973,0.0,2.408154519781561,56.91382765531062,11.22244488977956,54.10821643286573,45.09018036072144,2.3,0,91.34934248141796,93.75749700119952,98.2314644671528,2.408154519781561,88.87402915645637,72.84998550784645,7,NT,Northern Territory
4932,70101100225,60.49418486394338,92.02671237306772,Very High,467,1320,1962,440,94.48127546730484,92.0455299661512,83.67952522255193,0.0,-2.146269687828521,57.81584582441114,12.205567451820128,41.32762312633833,23.12633832976445,1.6,0,94.43518745405537,92.28891776622685,98.46926473156007,0.0,73.31561241018399,98.0928325949236,7,NT,Northern Territory
4979,70101100213,60.42658059548044,91.95071470150702,Very High,478,1067,2358,438,83.04605135502231,89.7997278821265,81.91489361702128,0.0,7.15152295693666,52.09205020920502,8.577405857740587,49.37238493723849,42.67782426778243,2.4,0,82.88246344850117,90.03398640543783,96.82129226982848,7.15152295693666,86.24579474186984,65.88547058092831,7,NT,Northern Territory
4983,70101100228,60.42282763903998,91.94424681456567,Very High,372,1318,2324,440,94.43600025871548,94.0673325811376,85.56701030927834,0.0,-0.0705079399262018,49.193548387096776,8.60215053763441,44.623655913978496,34.13978494623656,1.9,0,94.38944703095646,94.31893909103026,95.80523659463373,0.0,80.71354404618515,92.558486191048,7,NT,Northern Territory
