rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component
23,40101100160,95.60077228602937,99.96442662182265,Very High,414,516,915,450,9.877271845288146,98.69001791995751,92.51336898395722,0.0,89.99856007935793,44.68599033816425,37.19806763285024,79.71014492753623,76.81159420289855,1.7,100,8.961855754308583,98.96041583366652,98.37115133575568,89.99856007935793,99.66939402749512,96.97486646515671
24,20604111743,95.48574529001853,99.96280965008731,Very High,957,523,826,340,10.46423258521441,98.38720382292428,91.72335600907029,0.0,89.10152311696412,52.35109717868338,37.82654127481714,80.98223615464994,73.45872518286312,1.7,100,9.554847668055213,98.65637078501933,99.38055525530271,89.10152311696412,99.59131120986834,96.97486646515671
25,20604150404,95.44200354775808,99.96119267835198,Very High,743,518,928,361,10.034926589483216,98.51994424902104,92.03007518796993,0.0,89.66852036445897,50.74024226110363,35.26244952893675,79.94616419919247,73.62045760430686,1.8,100,9.121130441885159,98.78965080634413,99.06293392312234,89.66852036445897,99.5564231424181,95.18198004223427
26,30501110522,95.4242139803019,99.95957570661665,Very High,727,461,1132,398,4.959252312269582,97.96907148071945,90.76246334310851,0.0,94.2432364226571,39.0646492434663,27.785419532324624,57.22145804676754,44.70426409903714,1.6,100,3.9933022951890877,98.23653871784619,95.59903216955325,94.2432364226571,89.94559122814303,98.09283259492359
27,20604150411,95.34825473899177,99.95795873488132,Very High,692,507,877,375,9.279800789082207,97.63887967080375,90.1081916537867,0.0,89.5467591367439,44.21965317919075,40.46242774566474,83.38150289017341,79.62427745664739,1.7,100,8.358245528056848,97.90500466480074,98.56238931062869,89.5467591367439,99.83054367238444,96.97486646515671
28,11703163806,95.34380098703139,99.95634176314599,Very High,253,269,687,250,2.2516331414526873,99.72539324351231,100.0,0.0,98.74213836477988,29.64426877470356,40.316205533596836,50.988142292490124,47.43083003952569,2.1,100,1.2578616352201257,100.0,94.00094787517982,98.74213836477988,88.57166590522075,84.26649000041407
29,20604111719,95.12038271399766,99.95472479141064,Very High,434,552,1022,220,12.934965396804865,99.03929116612464,93.68932038834951,0.0,87.26014098975291,55.99078341013824,26.95852534562212,79.03225806451613,68.89400921658986,1.3,0,12.050967900024503,99.31110888977742,99.21426136410881,87.26014098975291,99.21418781409643,99.57682911680675
30,40101100139,95.04394136981318,99.95310781967531,Very High,301,303,519,205,2.3551193325140676,93.96362912324948,85.43307086614173,0.0,92.85240290063831,34.883720930232556,46.51162790697674,61.461794019933556,47.176079734219265,1.5,100,1.3624111737319282,94.21481407437024,97.30437602374677,92.85240290063831,92.02724591934212,98.84559645563328
31,21205156723,94.98432748207954,99.95149084793998,Very High,250,557,75,0,13.36912230774206,98.99200238932767,93.5064935064935,0.0,86.77404199636814,56.8,23.200000000000003,82.8,71.2,1.0,0,12.489585885812298,99.26362788218044,99.06625980094623,86.77404199636814,99.57303650787058,100.0
32,20604150426,94.93194941777871,99.94987387620465,Very High,518,541,942,369,11.925975033956407,98.58797371739564,92.22462203023758,0.0,87.82634691773866,42.857142857142854,45.366795366795365,84.74903474903475,82.23938223938224,1.7,100,11.031609899534427,98.85795681727309,98.70207617923157,87.82634691773866,99.91028782655647,96.97486646515671
33,20703116357,94.76577303164967,99.94825690446932,Very High,767,530,1051,411,10.995407800271652,98.05535275768236,90.93799682034977,0.0,88.2316898855095,53.063885267275104,23.076923076923077,80.3129074315515,78.09647979139504,1.8,100,10.091480846197827,98.32317073170732,98.58234457757196,88.2316898855095,99.72421813348839,95.18198004223427
34,30501111035,94.71501611157035,99.94663993273397,Very High,1444,417,1880,520,3.12560636440075,98.58631446206942,92.2211808809747,0.0,96.71547565732345,31.786703601108034,32.06371191135734,45.013850415512465,36.288088642659275,1.7,0,2.1408151596830836,98.85629081700654,92.61073094479875,96.71547565732345,81.8598662624081,96.97486646515671
35,20604150316,94.70185622023159,99.94502296099864,Very High,438,495,1187,350,8.340340210853114,96.26252737771289,88.02228412256268,0.0,89.11392569493479,45.662100456621005,36.3013698630137,64.84018264840182,59.817351598173516,1.6,0,7.4091317487543895,96.52305744368918,98.45429828135265,89.11392569493479,96.10665780620509,98.09283259492359
36,11703164612,94.6588031066961,99.94340598926331,Very High,408,492,750,412,7.961160338917275,98.39715935488152,91.74917491749174,0.0,91.64031108131769,42.40196078431372,37.00980392156863,58.333333333333336,57.84313725490197,2.0,100,7.026055705300988,98.66636678661868,97.93213546300377,91.64031108131769,94.11969929808531,88.8973541468262
37,11802156418,94.57981758494205,99.94178901752797,Very High,1206,216,349,340,2.090744453786948,99.39105329528107,96.95780176643768,0.0,98.56898117172308,16.500829187396352,56.38474295190713,49.917081260364846,44.44444444444444,2.0,100,1.0953197745650578,99.66430094628814,90.10800788233045,98.56898117172308,87.14291647630517,88.8973541468262
38,20604150410,94.52565449484094,99.94017204579264,Very High,272,555,941,350,13.194489360325981,99.23342403929117,94.76439790575915,0.0,87.1928723813913,57.35294117647059,33.82352941176471,59.92647058823529,58.82352941176471,1.7,100,12.313158539573632,99.50603092096493,99.6233443364458,87.1928723813913,94.78921792582132,96.97486646515671
39,20604111744,94.48301186497075,99.9385550740573,Very High,268,538,906,250,11.681812301920964,97.24729541381828,89.45147679324894,0.0,86.72689026978443,54.1044776119403,30.597014925373134,73.88059701492537,70.1492537313433,1.6,0,10.784938332108144,97.51182860189257,99.19846344444537,86.72689026978443,98.92926859658596,98.09283259492359
40,30908155908,94.3654934577446,99.93693810232197,Very High,622,295,495,255,2.3397581010283943,98.87087675051437,93.15068493150685,0.0,97.7951177611125,25.723472668810288,35.852090032154344,39.71061093247588,37.942122186495176,1.1,100,1.346892101609083,99.14200986272158,89.06534518454467,97.7951177611125,80.20019105370271,99.79545360440561
41,20703116351,94.35924919553524,99.93532113058664,Very High,762,413,785,492,3.0576935515167194,94.00511050640472,85.48057259713701,0.0,92.18425955599952,40.0262467191601,26.77165354330709,65.74803149606299,66.7979002624672,1.9,100,2.0722045250347136,94.25646408103424,95.7753036942188,92.18425955599952,97.56614196120779,92.55848619104799
42,20604111747,94.14853505458979,99.9337041588513,Very High,638,568,1047,301,14.437132138930211,99.07911329395367,93.85964912280701,0.0,85.78252310118995,46.86520376175549,32.288401253918494,69.59247648902821,63.00940438871473,1.5,0,13.568569794984889,99.35109289617485,98.32126316839752,85.78252310118995,97.57112597084355,98.84559645563328
43,21205156710,94.09891291684913,99.93208718711597,Very High,241,575,1062,391,15.22298040230257,99.34791265679964,95.92760180995475,0.0,85.2584920862987,49.37759336099585,41.078838174273855,85.06224066390041,78.83817427385893,1.8,100,14.362492853058892,99.6209849393576,99.25084602017145,85.2584920862987,99.84383436474644,95.18198004223427
44,20604150416,94.09207436730159,99.93047021538064,Very High,379,566,1166,381,14.238244615484122,98.40628525917569,91.76470588235294,0.0,85.30789113742725,47.75725593667546,41.16094986807388,81.26649076517151,76.51715039577837,1.7,100,13.367638650657518,98.67552978808477,99.05960804529848,85.30789113742725,99.70594343149064,96.97486646515671
45,12602150046,93.92844716471204,99.92885324364529,Very High,273,395,1343,360,2.827275079231615,99.34044600783169,95.7983193277311,0.0,97.77406949496604,24.90842490842491,36.996336996337,40.65934065934066,37.362637362637365,1.8,0,1.8394184431920277,99.61348793815807,88.84167990088886,97.77406949496604,80.36881671304565,95.18198004223427
46,40101100161,93.9225941065631,99.92723627190998,Very High,544,375,560,198,2.686598538257551,93.18875688590961,84.72505091649694,0.0,91.73949553560918,29.411764705882355,39.52205882352941,63.05147058823529,56.98529411764706,1.5,100,1.6972964142775462,93.43679194988673,93.61514604760994,91.73949553560918,95.09905719151057,98.84559645563328
47,30504113729,93.91946588038967,99.92561930017463,Very High,367,481,1562,550,6.758133367828731,97.27550275436384,89.50437317784257,0.0,91.7294832863228,36.51226158038147,30.517711171662125,51.49863760217984,47.956403269754766,1.8,100,5.810667320101282,97.54015060642409,95.07354347338051,91.7294832863228,88.96540266644516,95.18198004223427
48,11703164501,93.86896847456481,99.9240023284393,Very High,109,0,75,500,1.0065649052454562,97.12534014734187,89.28571428571429,0.0,97.38937758230041,11.926605504587156,51.37614678899083,92.66055045871559,88.9908256880734,1.0,100,0.0,97.38937758230041,80.71240302987471,97.38937758230041,99.96178925945924,100.0
49,20604111733,93.7905851220363,99.92238535670397,Very High,420,566,1681,386,14.238244615484122,98.97458020840247,93.43832020997375,0.0,85.87849622872406,45.714285714285715,34.76190476190476,67.85714285714286,54.761904761904766,1.7,0,13.367638650657518,99.24613487938157,98.33789255751691,85.87849622872406,95.64231424180753,96.97486646515671
50,11903137209,93.72310629709429,99.92076838496862,Very High,11,450,1125,1846,4.251827178060927,99.72539324351231,100.0,0.0,96.72139181573144,54.54545454545454,0.0,45.45454545454545,0.0,1.2,100,3.278608184268561,100.0,96.20018458621924,96.72139181573144,58.467417037006285,99.73831311332863
