rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
24,20604111743,95.48574529001851,99.96280965008732,Very High,957,523,826,340,10.46423258521441,98.38720382292428,91.72335600907029,0.0,89.10152311696412,52.35109717868338,37.82654127481714,80.98223615464994,73.45872518286312,1.7,100,9.554847668055212,98.65637078501932,99.38055525530272,89.10152311696412,99.59131120986834,96.97486646515672,2,VIC,Victoria
25,20604150404,95.44200354775808,99.96119267835198,Very High,743,518,928,361,10.034926589483216,98.51994424902104,92.03007518796991,0.0,89.66852036445897,50.74024226110363,35.26244952893675,79.94616419919247,73.62045760430686,1.8,100,9.12113044188516,98.78965080634411,99.06293392312234,89.66852036445897,99.5564231424181,95.18198004223429,2,VIC,Victoria
27,20604150411,95.34825473899176,99.95795873488132,Very High,692,507,877,375,9.279800789082207,97.63887967080376,90.1081916537867,0.0,89.5467591367439,44.21965317919075,40.46242774566474,83.38150289017341,79.62427745664739,1.7,100,8.358245528056848,97.90500466480074,98.56238931062867,89.5467591367439,99.83054367238444,96.97486646515672,2,VIC,Victoria
29,20604111719,95.12038271399766,99.95472479141064,Very High,434,552,1022,220,12.934965396804865,99.03929116612464,93.68932038834951,0.0,87.26014098975291,55.99078341013824,26.95852534562212,79.03225806451613,68.89400921658986,1.3,0,12.050967900024505,99.31110888977742,99.2142613641088,87.26014098975291,99.21418781409643,99.57682911680676,2,VIC,Victoria
31,21205156723,94.98432748207954,99.95149084793998,Very High,250,557,75,0,13.36912230774206,98.99200238932768,93.5064935064935,0.0,86.77404199636814,56.8,23.200000000000003,82.8,71.2,1.0,0,12.489585885812298,99.26362788218044,99.06625980094624,86.77404199636814,99.57303650787058,100.0,2,VIC,Victoria
32,20604150426,94.93194941777872,99.94987387620463,Very High,518,541,942,369,11.925975033956409,98.58797371739564,92.22462203023758,0.0,87.82634691773866,42.85714285714285,45.366795366795365,84.74903474903475,82.23938223938224,1.7,100,11.031609899534429,98.85795681727308,98.70207617923155,87.82634691773866,99.91028782655648,96.97486646515672,2,VIC,Victoria
33,20703116357,94.76577303164969,99.94825690446932,Very High,767,530,1051,411,10.995407800271652,98.05535275768236,90.93799682034977,0.0,88.2316898855095,53.063885267275104,23.07692307692308,80.3129074315515,78.09647979139504,1.8,100,10.091480846197827,98.32317073170732,98.58234457757196,88.2316898855095,99.7242181334884,95.18198004223429,2,VIC,Victoria
35,20604150316,94.7018562202316,99.94502296099864,Very High,438,495,1187,350,8.340340210853114,96.26252737771289,88.02228412256268,0.0,89.11392569493479,45.662100456621005,36.3013698630137,64.84018264840182,59.81735159817352,1.6,0,7.409131748754389,96.52305744368918,98.45429828135264,89.11392569493479,96.10665780620508,98.0928325949236,2,VIC,Victoria
38,20604150410,94.52565449484094,99.94017204579264,Very High,272,555,941,350,13.19448936032598,99.23342403929117,94.76439790575915,0.0,87.1928723813913,57.35294117647059,33.82352941176471,59.92647058823529,58.82352941176471,1.7,100,12.313158539573632,99.50603092096492,99.6233443364458,87.1928723813913,94.78921792582132,96.97486646515672,2,VIC,Victoria
39,20604111744,94.48301186497076,99.9385550740573,Very High,268,538,906,250,11.681812301920964,97.24729541381828,89.45147679324894,0.0,86.72689026978443,54.1044776119403,30.59701492537313,73.88059701492537,70.1492537313433,1.6,0,10.784938332108144,97.51182860189256,99.19846344444537,86.72689026978443,98.92926859658596,98.0928325949236,2,VIC,Victoria
