SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
40203117515,325,575,491,45,1.0,0.5652173913043478,1,1,Severe Stress (50%+),8,4,200.0,1,0,8,4,0.0,8,8,0.0,0,75.0,2.7,0.0,0.0,0.5533726260641781,0.75,1.0,28.567452521283563,35.0,Moderate (25-50),Moderate (25-50),35.52815979043877,Moderate Priority
40205105203,286,640,458,80,1.4,0.446875,1,0,Moderate Stress (30-50%),357,309,115.53398058252426,1,0,39,17,0.0,357,357,0.0,1,12.8,7.1,0.0,0.0,0.7819253438113949,0.128,1.0,26.918506876227898,22.560000000000002,Moderate (25-50),Low (0-25),35.505163064833006,Moderate Priority
70101100603,200,737,350,26,3.7,0.27137042062415195,0,0,Affordable (<30%),42,51,82.35294117647058,1,0,101,51,0.0,0,0,0.0,0,75.4,44.8,0.0,0.0,0.5481335952848723,0.754,1.0,28.50267190569745,35.08,Moderate (25-50),Moderate (25-50),35.38507662082515,Moderate Priority
31701145938,320,878,577,76,1.7,0.36446469248291574,1,0,Moderate Stress (30-50%),406,523,77.62906309751433,1,0,86,37,0.0,406,406,0.0,1,3.0,13.2,0.0,0.0,0.8140144073346431,0.03,1.0,26.580288146692865,20.6,Moderate (25-50),Low (0-25),35.35254747871643,Moderate Priority
20604150414,420,713,414,23,1.6,0.5890603085553997,1,1,Severe Stress (50%+),327,659,49.6206373292868,0,0,1058,528,0.0,327,327,0.0,1,16.4,46.1,0.0,0.0,0.762278978388998,0.16399999999999998,1.0,26.88557956777996,23.28,Moderate (25-50),Low (0-25),35.26260117878193,Moderate Priority
30602114603,325,747,571,51,1.7,0.4350736278447122,1,0,Moderate Stress (30-50%),466,522,89.272030651341,1,79,484,244,32.37704918032787,466,387,0.16952789699570817,1,8.2,35.6,0.0,0.0,0.8015717092337917,0.08199999999999999,0.8920765027322404,25.772199211998238,19.481530054644807,Moderate (25-50),Low (0-25),35.17603096181305,Moderate Priority
21402159114,270,832,563,75,1.7,0.3245192307692308,1,0,Moderate Stress (30-50%),377,425,88.70588235294117,1,0,123,63,0.0,377,377,0.0,1,6.6,20.4,0.0,0.0,0.7950229207596594,0.066,1.0,26.56045841519319,21.32,Moderate (25-50),Low (0-25),35.13487098886705,Moderate Priority
30204104539,213,609,508,77,1.3,0.3497536945812808,1,0,Moderate Stress (30-50%),298,224,133.03571428571428,1,0,24,12,0.0,298,298,0.0,1,19.2,8.9,0.0,0.0,0.7432874918140144,0.192,1.0,26.785749836280292,23.84,Moderate (25-50),Low (0-25),34.93292468893255,Moderate Priority
31701144704,200,585,453,78,1.4,0.3418803418803419,1,0,Moderate Stress (30-50%),386,312,123.71794871794873,1,22,133,67,32.83582089552239,386,364,0.05699481865284974,1,10.2,10.4,0.0,0.0,0.7865094957432875,0.102,0.8905472636815921,25.655662551681672,19.850945273631844,Moderate (25-50),Low (0-25),34.877549892971295,Moderate Priority
10804116249,325,783,492,68,1.8,0.41507024265644954,1,0,Moderate Stress (30-50%),334,353,94.61756373937678,1,0,176,88,0.0,334,334,0.0,1,11.7,28.3,0.0,0.0,0.7668631303208906,0.11699999999999999,1.0,26.507262606417815,22.34,Moderate (25-50),Low (0-25),34.778798952193846,Moderate Priority
50705118816,250,619,522,60,1.4,0.40387722132471726,1,0,Moderate Stress (30-50%),378,332,113.85542168674698,1,38,342,171,22.22222222222222,378,340,0.10052910052910052,1,12.2,37.3,0.0,0.0,0.77079240340537,0.122,0.9259259259259259,25.895107327366663,20.95851851851852,Moderate (25-50),Low (0-25),34.70181503310776,Moderate Priority
