SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
40101100111,430,4875,1625,43,3.5,0.0882051282051282,0,0,Affordable (<30%),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,66.7,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
40203103602,1269,625,537,41,3.0,2.0304,1,1,Severe Stress (50%+),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,75.0,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
40204117114,200,1149,1024,58,2.3,0.17406440382941687,0,0,Affordable (<30%),0,3,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,75.0,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
40303106513,250,612,537,41,1.6,0.4084967320261438,1,0,Moderate Stress (30-50%),26,21,123.80952380952381,1,0,18,10,0.0,26,26,0.0,1,16.7,47.4,0.0,0.0,0.5651604453176162,0.16699999999999998,1.0,22.973208906352323,23.34,Low (0-25),Low (0-25),27.814096922069417,Moderate Priority
50604113529,0,1312,900,58,1.6,0.0,0,0,No Data,0,6,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,75.0,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
60403109412,0,1124,374,51,1.8,0.0,0,0,No Data,8,3,266.66666666666663,1,0,0,0,0.0,0,0,0.0,0,16.7,42.9,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
70203105806,50,774,303,30,3.5,0.06459948320413436,0,0,Affordable (<30%),20,30,66.66666666666666,1,0,20,10,0.0,0,0,0.0,0,16.7,20.7,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
70204106209,60,1792,556,32,3.7,0.033482142857142856,0,0,Affordable (<30%),12,39,30.76923076923077,0,0,22,10,0.0,0,0,0.0,0,16.7,37.5,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
20604150404,361,928,518,25,1.8,0.3890086206896552,1,0,Moderate Stress (30-50%),207,368,56.25,1,0,570,286,0.0,207,207,0.0,1,16.6,67.3,0.0,0.0,0.6836935166994106,0.166,1.0,25.333870333988212,23.32,Moderate (25-50),Low (0-25),32.304353634577595,Moderate Priority
12702151610,450,1432,431,39,3.4,0.31424581005586594,1,0,Moderate Stress (30-50%),64,152,42.10526315789473,0,3,106,51,5.88235294117647,64,61,0.046875,1,18.5,36.2,0.0,0.0,0.5880812049770793,0.185,0.9803921568627451,23.415545668169035,23.307843137254903,Low (0-25),Low (0-25),28.858654416579995,Moderate Priority
11901157117,400,1125,518,33,2.6,0.35555555555555557,1,0,Moderate Stress (30-50%),59,105,56.19047619047619,1,0,114,58,0.0,59,59,0.0,1,16.5,40.4,0.0,0.0,0.5867714472822528,0.165,1.0,23.385428945645057,23.3,Low (0-25),Low (0-25),28.607314996725606,Moderate Priority
12501158216,445,1328,413,36,3.4,0.33509036144578314,1,0,Moderate Stress (30-50%),41,94,43.61702127659575,0,0,60,28,0.0,41,41,0.0,1,16.5,39.9,0.0,0.0,0.5749836280288146,0.165,1.0,23.149672560576292,23.3,Low (0-25),Low (0-25),28.159377865094953,Moderate Priority
21301133114,346,1208,548,33,2.8,0.28642384105960267,0,0,Affordable (<30%),35,84,41.66666666666667,0,0,23,16,0.0,0,0,0.0,0,16.5,51.9,0.0,0.0,0.5481335952848723,0.165,1.0,22.61267190569745,23.3,Low (0-25),Low (0-25),27.139076620825147,Moderate Priority
40101100161,198,560,375,25,1.5,0.3535714285714286,1,0,Moderate Stress (30-50%),163,151,107.94701986754967,1,30,232,119,25.210084033613445,163,133,0.18404907975460122,1,24.9,48.5,0.0,0.0,0.6352324819908317,0.249,0.9159663865546218,24.354313505362853,23.29932773109244,Low (0-25),Low (0-25),31.288699861870093,Moderate Priority
12501158235,0,1454,522,37,3.5,0.0,0,0,No Data,43,127,33.85826771653544,0,0,77,38,0.0,0,0,0.0,0,16.4,38.8,0.0,0.0,0.5481335952848723,0.16399999999999998,1.0,22.60267190569745,23.28,Low (0-25),Low (0-25),27.125076620825148,Moderate Priority
20604150414,420,713,414,23,1.6,0.5890603085553997,1,1,Severe Stress (50%+),327,659,49.6206373292868,0,0,1058,528,0.0,327,327,0.0,1,16.4,46.1,0.0,0.0,0.762278978388998,0.16399999999999998,1.0,26.88557956777996,23.28,Moderate (25-50),Low (0-25),35.26260117878193,Moderate Priority
30701117402,150,857,453,49,2.2,0.1750291715285881,0,0,Affordable (<30%),77,95,81.05263157894737,1,0,51,22,0.0,0,0,0.0,0,16.4,36.2,0.0,0.0,0.5481335952848723,0.16399999999999998,1.0,22.60267190569745,23.28,Low (0-25),Low (0-25),27.125076620825148,Moderate Priority
31902150412,250,770,429,56,2.1,0.3246753246753247,1,0,Moderate Stress (30-50%),178,211,84.36018957345972,1,0,26,12,0.0,178,178,0.0,1,16.4,30.1,0.0,0.0,0.664702030124427,0.16399999999999998,1.0,24.93404060248854,23.28,Low (0-25),Low (0-25),31.554677144728224,Moderate Priority
12501158225,490,1666,455,35,3.8,0.29411764705882354,0,0,Affordable (<30%),42,115,36.52173913043478,0,0,89,45,0.0,0,0,0.0,0,16.3,39.0,0.0,0.0,0.5481335952848723,0.163,1.0,22.592671905697447,23.26,Low (0-25),Low (0-25),27.11107662082515,Moderate Priority
12702151912,460,1296,440,34,3.5,0.3549382716049383,1,0,Moderate Stress (30-50%),111,203,54.679802955665025,1,0,148,75,0.0,111,111,0.0,1,16.3,33.2,0.0,0.0,0.6208251473477406,0.163,1.0,24.046502946954813,23.26,Low (0-25),Low (0-25),29.873355599214143,Moderate Priority
12703173223,423,1309,483,39,3.2,0.32314744079449964,1,0,Moderate Stress (30-50%),84,157,53.503184713375795,1,0,102,53,0.0,84,84,0.0,1,16.3,41.2,0.0,0.0,0.6031434184675835,0.163,1.0,23.69286836935167,23.26,Low (0-25),Low (0-25),29.20144990176817,Moderate Priority
21005124222,345,1341,417,37,3.4,0.25727069351230425,0,0,Affordable (<30%),58,133,43.609022556390975,0,0,45,23,0.0,0,0,0.0,0,16.3,43.9,0.0,0.0,0.5481335952848723,0.163,1.0,22.592671905697447,23.26,Low (0-25),Low (0-25),27.11107662082515,Moderate Priority
