SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,Suburb_Name
SAL10258,82,100,176,44,2447,833,530,2583,0.9,2833,3.4,66,79,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,Belford
SAL10259,7,5,12,54,867,724,180,2250,0.6,575,1.4,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belfrayden
SAL10260,55,66,124,42,3142,1166,129,2700,0.7,2083,2.6,46,46,89,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgravia
SAL10261,303,275,576,39,2392,789,480,2216,0.8,2213,3.3,239,224,463,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,9,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,4,Belimbla Park
SAL10262,28,19,44,41,1589,450,0,2249,1.0,1149,2.4,25,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bell (NSW)
SAL10263,4209,4172,8384,40,3400,1081,740,3393,0.8,3518,3.4,3389,3444,6832,6,68,174,133,135,72,12,6,598,0,0,17,14,28,9,361,240,227,94,21,6,1098,0,10,43,31,41,18,8,5,0,0,16,63,60,57,21,0,0,215,0,0,8,36,26,16,6,0,0,91,0,0,23,101,86,72,29,0,0,307,Bella Vista
SAL10264,1989,2048,4039,38,1950,611,252,1547,0.8,1183,2.3,1588,1718,3303,0,14,10,11,0,3,0,0,43,0,4,4,0,0,7,29,21,7,9,0,0,107,0,9,22,11,0,13,0,0,0,0,10,11,8,4,0,0,0,28,0,0,4,0,0,0,0,0,0,6,0,0,12,11,10,5,0,0,0,34,Bellambi
SAL10265,63,52,114,54,1688,583,250,1199,0.8,1149,2.2,53,44,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellangry
SAL10266,146,117,266,45,680,737,180,1687,0.8,1284,2.4,117,96,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,Bellata
SAL10267,62,59,116,62,3358,825,400,2583,0.6,2187,2.2,52,55,107,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellawongarah
SAL10268,1174,1170,2338,34,1600,643,323,1612,0.8,1427,2.7,879,920,1796,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,3,0,9,0,0,0,15,0,0,3,0,0,0,0,0,0,0,3,12,6,0,3,0,0,22,0,0,0,4,0,0,0,0,0,4,0,0,0,10,7,0,3,0,0,28,Bellbird
SAL10269,395,410,805,40,1580,694,368,1758,0.8,1487,2.6,316,332,650,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,6,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,3,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,7,Bellbird Heights
SAL10270,177,159,339,49,1000,470,200,1145,0.9,858,2.4,140,133,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellbrook
SAL10271,5066,5529,10590,39,3900,1575,650,4509,0.9,3315,2.5,4117,4652,8772,4,88,145,151,131,109,51,12,681,0,11,27,20,16,18,298,285,234,172,70,18,1331,4,32,51,47,57,56,13,0,0,4,55,46,35,33,33,12,4,226,0,0,34,62,46,45,26,15,6,238,0,8,88,111,84,88,58,22,7,464,Bellevue Hill
SAL10272,47,35,82,41,1733,787,350,1625,0.8,1187,2.3,35,28,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellimbopinni
SAL10273,1811,2111,3923,44,1477,651,390,1535,0.8,1268,2.4,1392,1711,3098,0,8,9,21,14,10,10,0,71,0,0,0,7,7,4,32,51,42,25,16,0,172,0,6,8,35,36,27,11,0,0,0,0,8,9,3,0,0,0,20,0,0,4,3,0,3,3,0,0,12,0,0,3,16,12,5,3,0,0,34,Bellingen
SAL10274,57,59,120,49,2500,1510,420,3374,0.7,2812,2.6,48,50,93,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,6,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,Bellmount Forest
SAL10275,17,22,37,32,1000,1218,325,2999,1.0,2750,3.5,11,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belltrees
SAL10276,3538,3753,7289,48,2058,697,340,1870,0.8,1280,2.2,3031,3212,6232,0,14,12,14,18,34,3,6,107,0,0,5,9,12,7,48,40,42,42,10,6,210,5,17,13,18,22,25,3,0,0,0,3,24,17,9,0,0,0,60,0,0,0,4,6,3,5,0,0,16,0,0,4,26,19,16,8,0,0,79,Belmont (NSW)
SAL10277,3112,3181,6291,40,1955,748,380,2089,0.8,1739,2.6,2498,2625,5124,0,10,16,15,6,8,0,3,62,0,4,5,3,8,0,31,34,21,14,6,3,155,0,11,18,11,26,12,8,0,0,0,4,24,13,5,0,0,0,52,0,0,4,0,0,4,0,0,0,13,0,0,8,27,16,4,0,0,0,60,Belmont North
SAL10278,513,544,1053,48,1835,643,273,1478,0.8,1239,2.3,453,469,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0,11,5,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,Belmont South
SAL10279,6945,6837,13781,38,2156,640,380,1737,1.0,1456,2.6,5768,5799,11563,3,137,98,50,33,11,0,0,337,0,24,11,11,3,4,184,80,57,20,3,0,612,6,50,30,24,13,10,5,0,0,3,20,19,10,8,0,0,0,65,0,0,4,15,9,5,0,0,0,35,0,3,21,36,22,12,0,0,0,102,Belmore
SAL10280,132,134,268,51,1300,589,230,1666,0.8,1292,2.5,114,106,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belmore River
SAL10281,5,8,20,57,2650,1149,0,2750,0.9,2750,2.9,5,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beloka
SAL10282,0,5,5,50,0,900,0,1875,0.6,1499,1.5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belowra
SAL10283,4186,4539,8726,46,3441,903,890,3114,0.8,2598,2.9,3359,3766,7125,0,27,68,70,50,22,19,4,258,0,0,11,19,8,9,148,147,91,41,25,8,509,0,11,47,62,30,26,12,3,0,0,3,45,53,23,11,3,0,144,0,0,5,28,23,8,0,0,0,71,0,0,12,73,80,34,10,3,4,212,Belrose
SAL10284,302,282,589,50,1138,538,245,1305,0.8,1015,2.3,249,245,495,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,3,7,0,0,11,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bemboka
SAL10285,39,27,71,55,2612,687,160,1874,0.8,1562,2.3,35,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Bullen
SAL10286,74,64,135,47,650,674,125,1687,0.7,1231,2.4,52,52,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ben Lomond (NSW)
SAL10287,98,75,165,57,1205,585,230,1625,0.8,1025,2.1,87,65,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benandarah
SAL10288,74,54,135,55,2000,749,310,1699,0.7,1224,2.3,61,47,107,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bendalong
SAL10289,257,227,486,52,1083,542,300,1289,0.8,1021,2.3,214,201,409,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,9,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bendemeer
SAL10290,76,69,143,56,1246,644,200,1416,0.7,1152,2.1,70,62,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bendick Murrell
SAL10291,115,138,253,37,1896,662,325,1843,0.8,1625,2.8,84,108,196,0,0,0,0,0,7,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,Bendolba
SAL10292,57,50,108,43,1517,814,270,1906,0.8,1416,2.6,41,36,84,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bendoura
SAL10293,86,56,140,28,1270,1025,155,2624,0.8,2125,3.0,58,40,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benerembah
SAL10294,7,8,16,46,0,725,140,2250,0.8,1875,2.4,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengalla
SAL10295,5,0,0,72,0,450,0,900,0.6,900,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bennetts Green
SAL10296,38,33,76,32,1950,891,240,1781,0.9,1843,3.4,28,25,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benolong
SAL10297,1226,1266,2500,42,2167,812,463,2408,0.8,2176,2.9,963,990,1953,0,3,11,12,9,4,0,0,43,0,0,6,3,7,0,22,20,18,12,0,0,85,0,0,6,13,15,17,0,0,0,0,0,9,19,5,0,0,0,39,0,0,0,3,6,4,0,0,0,10,0,0,0,16,23,10,0,0,0,49,Bensville
SAL10298,122,109,225,53,1500,580,250,1239,0.8,1212,2.6,99,90,187,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bentley (NSW)
SAL10299,4554,4202,8757,37,2000,595,380,1620,1.0,1552,3.0,3857,3542,7392,0,69,37,22,26,10,0,0,172,0,5,8,5,4,5,86,47,35,18,3,0,334,3,12,13,20,5,7,0,0,0,0,3,5,8,3,3,0,0,24,0,0,9,9,0,0,0,0,0,16,0,0,12,13,9,8,3,0,0,42,Berala
SAL10300,51,50,104,47,2383,870,200,2143,0.7,2035,2.6,45,46,89,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berambing
SAL10301,1643,1627,3267,39,1484,664,350,1587,0.8,1257,2.3,1359,1357,2715,0,6,3,5,0,3,0,0,11,0,0,3,0,0,4,5,4,8,3,0,0,31,0,5,6,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,Beresfield
SAL10302,93,89,180,51,1733,725,600,1791,0.8,1541,2.7,74,72,155,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Bergalia
SAL10303,3839,3961,7798,40,1733,568,290,1541,0.8,1217,2.5,3078,3240,6313,0,23,23,8,10,6,0,0,71,0,3,0,8,3,8,43,30,23,9,3,0,159,6,17,14,22,9,12,0,0,0,0,0,8,5,9,0,0,0,21,0,0,3,8,0,0,0,0,0,9,0,0,0,10,5,10,0,0,0,30,Berkeley
SAL10304,4303,4645,8951,36,1950,790,420,2053,0.8,1791,2.7,3361,3695,7063,0,15,21,5,5,10,3,0,61,0,4,6,9,3,7,49,29,17,18,9,0,165,0,25,25,16,16,18,3,0,0,0,10,16,6,7,4,0,0,44,0,0,0,0,3,4,5,0,0,9,0,0,11,17,15,10,4,0,0,57,Berkeley Vale
SAL10305,1307,845,2149,37,2571,756,450,2194,0.8,2036,3.2,1209,751,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,Berkshire Park
SAL10306,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berlang
SAL10307,892,969,1865,58,1517,602,310,1313,0.7,1022,2.1,772,849,1623,0,6,5,0,6,11,6,0,35,0,0,0,3,9,9,9,10,14,23,11,0,69,0,4,0,9,17,23,6,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,Bermagui
SAL10308,2363,2396,4762,41,2700,998,580,3052,0.8,2781,3.0,1839,1921,3765,0,14,49,49,35,18,3,0,173,0,0,6,19,13,11,103,98,69,20,8,0,331,0,9,24,37,25,17,5,0,0,0,9,45,42,15,9,0,0,117,0,0,0,8,11,5,0,0,0,26,0,0,9,51,49,25,9,0,0,143,Berowra
SAL10309,2627,2660,5286,42,2500,974,580,2810,0.8,2468,2.9,2029,2114,4146,0,6,47,46,28,20,11,0,164,0,0,8,15,5,0,110,89,44,36,8,0,325,0,10,29,42,22,15,5,0,0,0,11,35,38,19,4,0,0,103,0,0,3,12,18,7,0,0,0,39,0,0,10,47,52,29,4,0,0,142,Berowra Heights
SAL10310,87,80,169,56,2383,1097,575,2650,0.7,1812,2.1,83,74,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7,0,0,0,14,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Berowra Waters
SAL10311,230,260,486,46,1517,669,320,1447,0.7,1136,2.2,193,217,412,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,5,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,Berrambool
SAL10312,166,171,333,59,1684,657,335,1531,0.7,1269,2.2,150,143,294,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,4,0,0,0,11,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrara
SAL10313,36,46,87,51,1226,843,0,2124,0.7,1541,2.4,32,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berremangra
SAL10314,14,12,33,55,2383,695,0,2499,0.6,1406,2.2,14,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrico
SAL10315,663,637,1300,45,1300,755,270,1947,0.8,1455,2.3,539,535,1080,0,0,0,3,6,0,0,0,12,0,0,0,3,0,0,3,4,4,9,0,0,35,0,0,7,9,7,0,3,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,10,Berridale
SAL10316,20,19,39,41,250,249,275,612,0.9,612,3.1,15,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrigal
SAL10317,611,645,1264,55,933,586,173,1276,0.7,980,2.2,533,554,1088,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,16,0,4,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrigan
SAL10318,121,96,212,51,3000,815,350,2643,0.8,2349,2.9,98,88,190,0,0,4,5,3,0,0,0,10,0,0,0,0,0,0,4,3,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,7,Berrilee
SAL10319,407,408,813,52,2243,925,490,2351,0.7,2100,2.5,343,352,695,0,0,3,10,3,9,3,0,29,0,0,0,0,0,4,8,18,14,9,3,0,62,0,0,3,4,4,4,0,0,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,5,0,0,3,0,0,0,0,5,8,3,0,0,15,Berrima
SAL10320,18,13,30,49,2037,450,360,1024,0.7,900,2.0,15,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berringer Lake
SAL10321,1436,1660,3098,57,2167,775,520,2050,0.7,1495,2.3,1205,1445,2649,0,3,9,14,14,19,12,0,69,0,0,0,4,5,5,26,33,40,42,22,3,180,0,0,10,11,19,26,10,0,0,0,0,8,6,8,6,5,0,29,0,0,0,9,4,0,0,4,0,24,0,0,6,14,16,11,7,4,0,54,Berry
SAL10322,49,34,82,43,900,1111,200,2360,0.7,2156,2.6,40,31,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berry Jerry
SAL10323,14,18,29,65,6167,1281,660,2374,0.5,2250,1.9,10,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berry Mountain
SAL10324,85,91,182,61,2210,662,307,1437,0.7,1125,2.3,84,83,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berry Park
SAL10325,30,30,65,32,0,833,200,2374,0.8,2250,3.3,23,25,53,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,Berthong
SAL10326,62,60,117,48,1712,703,410,1625,0.9,1583,2.6,50,46,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beryl
SAL10327,78,65,137,57,813,519,113,1625,0.6,1016,1.9,71,57,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bethungra
SAL10328,30,16,45,55,1885,758,180,1374,0.5,1208,1.9,25,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bevendale
SAL10329,1289,1356,2646,42,3000,859,540,2586,0.9,2242,2.9,1048,1116,2165,0,4,13,16,7,5,0,0,52,0,7,4,7,0,3,38,30,13,5,5,0,114,0,6,14,9,8,4,0,0,0,0,4,21,20,3,0,0,0,49,0,0,4,4,7,7,0,0,0,19,0,0,12,20,26,11,0,0,0,69,Beverley Park
SAL10330,5129,5358,10483,40,2500,701,460,2108,0.9,1862,2.9,4204,4543,8752,4,59,96,53,46,31,9,0,295,0,13,20,10,8,6,195,98,67,53,6,0,590,5,42,47,34,25,22,9,0,0,0,20,37,26,13,10,0,0,93,0,0,3,15,12,3,0,0,0,32,0,0,25,53,31,17,10,0,0,130,Beverly Hills
SAL10331,48,42,80,41,2167,662,450,1833,0.9,1774,2.5,40,27,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bewong
SAL10332,261,264,528,44,2134,773,340,1862,0.9,1704,2.6,209,214,425,0,0,0,0,0,7,0,0,4,0,0,0,3,0,0,0,8,3,0,0,0,14,0,0,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bexhill
SAL10333,9583,10058,19646,40,2351,735,470,2119,1.0,1870,2.9,7808,8304,16112,5,125,161,97,70,32,3,4,499,0,15,19,19,23,9,355,201,123,49,6,5,1068,7,50,62,48,44,28,3,0,0,0,20,48,37,29,5,0,0,145,0,0,8,31,30,9,0,0,0,79,0,0,27,79,75,39,5,0,0,229,Bexley
