SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,Suburb_Name
SAL50221,2054,2018,4071,40,2890,1153,650,3488,0.8,3439,3.2,1621,1583,3207,0,7,32,34,31,4,0,0,114,0,3,4,10,9,0,49,54,45,13,0,0,191,3,10,25,28,24,0,0,0,0,0,12,41,39,25,4,0,0,114,0,0,0,13,12,5,0,0,0,33,0,0,10,53,51,25,4,0,0,148,Burns Beach
SAL50222,151,164,309,42,1934,843,360,2181,0.9,2134,2.9,123,120,239,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,Burnside (WA)
SAL50223,59,52,114,43,1237,762,120,1833,0.7,1208,2.7,45,44,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burracoppin
SAL50224,15,10,22,31,1400,687,50,1625,0.6,1187,2.8,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burran Rock
SAL50225,0,0,0,43,0,0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burrup
SAL50226,1388,1395,2779,38,2167,1132,430,2431,0.9,1975,2.0,1263,1276,2537,0,43,32,18,17,4,6,0,119,0,5,0,3,7,8,75,32,28,13,5,0,252,3,18,10,20,16,16,3,0,0,0,11,16,17,11,5,0,0,65,0,0,8,6,4,3,4,0,0,23,0,3,18,26,20,20,3,0,0,88,Burswood
SAL50227,325,357,677,32,2199,1433,480,2963,0.7,2742,2.5,270,296,570,0,4,0,4,0,0,0,0,14,0,0,0,0,0,0,7,7,0,0,0,0,24,0,7,6,0,0,0,0,0,0,0,3,0,6,3,0,0,0,20,0,0,0,0,3,0,0,0,0,4,0,0,11,0,11,3,0,0,0,23,Bushmead
SAL50228,896,939,1838,56,1635,624,320,1362,0.7,949,1.9,809,859,1662,0,0,0,4,0,4,0,0,11,0,0,0,0,0,4,6,5,5,5,9,0,40,0,6,8,0,8,11,0,0,0,0,0,3,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,12,Busselton
SAL50229,6520,6953,13473,32,1733,785,340,1992,0.8,1710,2.8,4837,5439,10274,0,19,24,41,13,9,0,0,111,0,4,14,18,13,7,68,76,28,19,5,0,244,3,35,48,50,16,13,0,0,0,0,19,36,51,23,0,0,0,137,0,0,4,7,12,7,0,0,0,27,0,0,21,44,60,27,0,0,0,159,Butler (WA)
SAL50230,9231,9646,18878,31,1898,947,380,2184,0.8,2059,3.0,6442,6977,13418,5,16,58,22,19,8,4,0,125,0,6,19,17,16,8,138,47,32,7,6,0,298,3,63,71,46,26,7,3,0,0,6,54,80,48,20,0,3,0,217,0,5,10,9,8,7,0,0,0,39,0,10,64,95,57,31,0,5,0,254,Byford
