SAL_CODE_2021,Suburb_Name,PCA_X,PCA_Y,PCA_Z,tSNE_X,tSNE_Y,UMAP_X,UMAP_Y,UMAP_Z
SAL13127,Paddys Flat (Kyogle - NSW),-2.4372611631934293,-0.02040269886368751,-1.1040960838413432,-88.463165,11.097514,0.68442756,-1.487243,0.7558537
SAL13128,Paddys Flat (Snowy Monaro Regional - NSW),-2.2105400516808418,0.03340015600628698,-0.33753491779760203,-23.383476,28.200537,-0.2805618,2.8457625,-1.7120885
SAL13129,Paddys River (Snowy Valleys - NSW),-2.2878719766501296,0.1321163102960706,-1.176488945184298,-28.084372,-44.221554,2.9634335,3.218318,0.4048219
SAL13130,Paddys River (Wingecarribee - NSW),-1.8246033945556643,0.17145592837429566,1.3916279911472127,20.733164,2.0670776,-0.93934256,6.988278,-2.8757222
SAL13131,Padstow,12.425237034721228,-4.0891715606389685,1.7952155552297653,82.00698,-12.049702,-4.894539,17.977638,-3.09534
SAL13132,Padstow Heights,1.9850817813509976,-0.3812192954845154,1.5138242366472443,49.839897,10.2576275,-2.1504323,11.088528,-1.6551774
SAL13133,Pagans Flat,-2.3604444976005574,0.13597405103803553,-0.8754457279622165,-65.00486,7.623902,0.25252995,-0.08608856,0.68083656
SAL13134,Pages Creek,-2.341795115828625,0.21755797467733623,-1.062864297402409,-59.9533,17.722017,-0.30378097,0.10074174,1.0538883
SAL13135,Pages River,-2.4172118824131847,0.19865594059160557,-1.5229507757671408,-73.57932,-13.116443,1.7184039,-0.45097715,1.928193
SAL13136,Pagewood,4.318067339083536,0.2491201519391634,2.610241980236106,66.21224,5.2368665,-4.563589,15.517152,-3.0675046
SAL13137,Palarang,-2.167793769485438,0.289856650272042,0.03382680684358167,-24.143364,9.4196415,-0.44577906,3.7304654,0.36414927
SAL13138,Palerang,-2.589232584252714,-0.25470000586470437,-5.716893601960289,17.079073,-84.05253,16.588648,2.312266,-0.98446655
SAL13139,Paling Yards (Bathurst Regional - NSW),-2.077074702158326,0.32571586036155903,1.1305359502025532,2.227692,57.694256,-2.3176272,4.2262335,-0.80907035
SAL13140,Paling Yards (Oberon - NSW),-2.2232636687005236,0.08102159487198869,-0.32865732545490484,-41.27023,30.862982,-0.122214034,1.170367,-0.8029153
SAL13141,Pallal,-2.0074467051291753,0.32468411334812786,0.656765590666909,-6.441778,50.766132,-2.6650686,3.8524637,-1.3318075
SAL13142,Pallamallawa,-1.9705038324234874,0.10315596113657986,-0.06437381655288388,-7.1284747,-2.2900338,-0.000781999,4.1604943,-1.256178
SAL13143,Palm Beach (NSW),5.587656888852334,7.804109158024929,1.9372951253288766,73.85178,12.663021,-5.397829,16.335714,-3.5204213
SAL13144,Palm Grove (NSW),-1.961917956890747,0.3098973456050396,-0.06652094262623855,0.21234967,-40.12656,1.5177579,5.637187,-0.14667538
SAL13145,Palmdale (NSW),-1.9936021393986862,0.2860554635975925,1.1350481087450988,16.15121,28.285732,-2.2832239,6.2845254,-1.2853371
SAL13146,Palmers Channel,-2.1165914822177854,0.217737356491509,0.13542257925193896,9.25723,-8.349652,0.32305697,5.5207896,-0.26312968
SAL13147,Palmers Island,-1.9776939211153435,0.09515782596467613,0.3285240592459233,-6.3706346,-13.92753,0.21295957,5.1544566,-1.8726904
SAL13148,Palmers Oaky,-2.2986267738021584,0.20672526977009992,-0.7338577195352675,-55.249233,-5.0350404,0.08490829,0.95222133,1.2832453
SAL13149,Palmvale,-2.0631156454346944,0.11894825596503636,1.096991148279686,-16.71424,30.500362,-1.3007356,4.4688025,-2.3752053
SAL13150,Palmwoods (NSW),-2.162675231472687,0.07720498709151251,-0.14402703418210147,-16.334803,-22.631973,1.1012793,3.5746176,-1.5778782
SAL13151,Pambula,-1.6716939328786804,-0.032022862753988475,-0.5227609057855047,19.78369,-41.088547,0.15060109,7.762922,-0.93451613
SAL13152,Pambula Beach,-1.2396859248743914,0.4841018164549443,0.25193875193199905,17.058228,-44.97413,-0.033675045,7.714686,-1.0459347
SAL13153,Pampoolah,-1.9645056503058373,0.117122182868032,0.059554194621722054,6.40623,-19.409382,0.7131396,5.7039022,-1.4582248
SAL13154,Pan Ban,-2.0604378070730127,0.22306346784889597,2.1248138486378156,-41.268333,61.368008,-2.9012225,-0.96479464,-0.59026206
SAL13155,Panania,12.949907132101394,-4.833297171191249,2.3784781614367185,82.13479,-12.406617,-4.892361,17.992516,-3.1260333
SAL13156,Pangee,-2.3383977039150556,0.14900152552605275,-0.9144613796681508,-54.910316,17.594433,-0.031098828,-0.005212213,0.7688241
SAL13157,Panuara,-2.078423469955223,0.158072533199122,0.9590781344802473,-40.200657,39.305855,-1.7370095,-0.28170198,-1.1589358
SAL13158,Pappinbarra,-2.0725269718485957,0.1595142817356046,0.13108681290315158,-11.589058,-10.4240465,-0.23518555,4.1024146,-1.6825163
