SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score,state,tod_category,car_dep_category,transit_category,investment_priority
40204117118,402041171,40204,260,239,13,4,0.9192307692307692,0.05,0.0153846153846153,593,7739,0.5585709130277878,63433,0.4388308543756485,91.92307692307692,96.0982472026389,57.69880667485933,87.32692307692307,85.87115857268661,5.115078374423553,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
40204117119,402041171,40204,227,211,13,3,0.9295154185022028,0.0572687224669603,0.013215859030837,612,7739,0.5585709130277878,63433,0.4388308543756485,92.95154185022028,92.59912036737596,57.69880667485933,87.62832579712395,85.26294676498516,5.046660474490692,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40204117121,402041171,40204,234,217,11,6,0.9273504273504274,0.047008547008547,0.0256410256410256,547,7739,0.5585709130277878,63433,0.4388308543756485,92.73504273504274,93.52402819998706,57.69880667485933,88.37570311929287,85.52855720091436,5.062948959697788,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
40204117124,402041171,40204,229,215,10,4,0.9388646288209608,0.0436681222707423,0.0174672489082969,539,7739,0.5585709130277878,63433,0.4388308543756485,93.88646288209608,92.89987711014813,57.69880667485933,89.78661734139318,85.94297135499406,5.105620311871123,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
40204117125,402041171,40204,409,358,46,5,0.8753056234718827,0.1124694376528117,0.0122249388753056,819,7739,0.5585709130277878,63433,0.4388308543756485,87.53056234718827,99.60060798137248,57.69880667485933,77.68604922256563,84.20077359051548,5.265976193574598,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205104904,402051049,40205,227,193,25,6,0.8502202643171806,0.1101321585903083,0.026431718061674,508,5258,0.5052854122621564,48240,0.4990689013035381,85.02202643171806,92.59912036737596,68.73140482504365,75.6583671330707,83.10066436121582,4.616139675718974,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205104916,402051049,40205,230,210,17,0,0.9130434782608696,0.0739130434782608,0.0,538,5258,0.5052854122621564,48240,0.4990689013035381,91.30434782608695,93.04702153806352,68.73140482504365,84.55576559546313,86.63770311640889,4.969163996563376,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 1
40205104917,402051049,40205,216,187,26,3,0.8657407407407407,0.1203703703703703,0.0138888888888888,489,5258,0.5052854122621564,48240,0.4990689013035381,86.57407407407408,90.80023931181684,68.73140482504365,76.1531207133059,83.23129445951402,4.657596319963268,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205104922,402051049,40205,228,199,26,3,0.8728070175438597,0.1140350877192982,0.0131578947368421,543,5258,0.5052854122621564,48240,0.4990689013035381,87.28070175438597,92.74222236595304,68.73140482504365,77.32763927362265,84.21399230391131,4.742590696084622,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205104926,402051049,40205,324,305,16,0,0.941358024691358,0.0493827160493827,0.0,821,5258,0.5052854122621564,48240,0.4990689013035381,94.1358024691358,98.69672078132076,68.73140482504365,89.48712086572168,89.95833027363146,5.444650248798055,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 1
40205105002,402051050,40205,215,203,12,0,0.944186046511628,0.055813953488372,0.0,473,4962,0.550293889320173,48240,0.4990689013035381,94.41860465116278,90.62479787853307,79.45233167324236,89.14872904272578,89.76022046294608,5.07526286865063,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105008,402051050,40205,240,216,17,3,0.9,0.0708333333333333,0.0125,587,4962,0.550293889320173,48240,0.4990689013035381,90.0,94.2516654808874,79.45233167324236,83.625,88.5284659789147,4.936317240141589,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
40205105009,402051050,40205,241,227,11,0,0.941908713692946,0.0456431535269709,0.0,530,4962,0.550293889320173,48240,0.4990689013035381,94.1908713692946,94.3567686436841,79.45233167324236,89.89170296654673,90.86301577212622,5.170078273184929,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
40205105011,402051050,40205,211,202,9,0,0.957345971563981,0.0426540284360189,0.0,437,4962,0.550293889320173,48240,0.4990689013035381,95.73459715639812,89.90120302697109,79.45233167324236,91.65113092697828,90.31977919799688,5.128106291392164,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
40205105012,402051050,40205,201,183,15,0,0.9104477611940298,0.0746268656716417,0.0,482,4962,0.550293889320173,48240,0.4990689013035381,91.04477611940298,87.75629002005046,79.45233167324236,84.2503898418356,87.06030277260835,4.8329004409175145,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105016,402051050,40205,275,263,12,0,0.9563636363636364,0.0436363636363636,0.0,576,4962,0.550293889320173,48240,0.4990689013035381,95.63636363636364,97.074089644913,79.45233167324236,91.46314049586776,92.4135527322546,5.375147009758583,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
40205105104,402051051,40205,250,217,30,0,0.868,0.12,0.0,644,5675,0.5136676321506155,48240,0.4990689013035381,86.8,95.28976133497189,71.35130327921868,76.384,85.2155890563353,4.796093151166388,SA,Extreme (85-100),Very High (80-90%),Moderate (10-20%),Priority 1
40205105106,402051051,40205,214,177,26,6,0.8271028037383178,0.1214953271028037,0.02803738317757,537,5675,0.5136676321506155,48240,0.4990689013035381,82.71028037383178,90.44612250177867,71.35130327921868,72.66136780504849,81.75434633641491,4.44206977092802,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205105108,402051051,40205,235,212,17,0,0.902127659574468,0.0723404255319148,0.0,498,5675,0.5136676321506155,48240,0.4990689013035381,90.2127659574468,93.6630877692258,71.35130327921868,83.68673607967406,86.82296697755761,4.929073798576296,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 1
40205105208,402051052,40205,284,255,19,4,0.897887323943662,0.0669014084507042,0.0140845070422535,787,7864,0.4494741655235482,48240,0.4990689013035381,89.7887323943662,97.50177866890888,50.28256581074963,83.78173973417972,83.60071369398705,5.075298383691923,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 1
40205105215,402051052,40205,280,246,29,5,0.8785714285714286,0.1035714285714285,0.0178571428571428,734,7864,0.4494741655235482,48240,0.4990689013035381,87.85714285714286,97.33280512256646,50.28256581074963,78.75765306122449,82.27497714789945,4.953697316628934,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205105216,402051052,40205,270,240,22,3,0.8888888888888888,0.0814814814814814,0.0111111111111111,634,7864,0.4494741655235482,48240,0.4990689013035381,88.88888888888889,96.7773753314792,50.28256581074963,81.64609053497942,82.80989037064718,4.979661174115289,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 1
40205105317,402051053,40205,252,221,17,8,0.876984126984127,0.0674603174603174,0.0317460317460317,643,9695,0.5036886949293433,48240,0.4990689013035381,87.6984126984127,95.4555009378436,68.25399392018628,81.78224993701184,85.54503913845659,4.852694750034849,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 1
40205105318,402051053,40205,214,179,27,5,0.8364485981308412,0.1261682242990654,0.0233644859813084,541,9695,0.5036886949293433,48240,0.4990689013035381,83.64485981308411,90.44612250177867,68.25399392018628,73.09153637872305,81.55173309767679,4.492262649695569,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205105324,402051053,40205,214,205,9,0,0.9579439252336448,0.0420560747663551,0.0,620,9695,0.5036886949293433,48240,0.4990689013035381,95.7943925233645,90.44612250177867,68.25399392018628,91.76565638920432,88.2789581828371,5.144770073673696,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 1
40205105333,402051053,40205,218,190,28,0,0.8715596330275229,0.128440366972477,0.0,565,9695,0.5036886949293433,48240,0.4990689013035381,87.1559633027523,91.151930664252,68.25399392018628,75.96161939230704,83.45492524364448,4.696897379197868,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205105344,402051053,40205,221,204,10,4,0.9230769230769232,0.0452488687782805,0.0180995475113122,507,9695,0.5036886949293433,48240,0.4990689013035381,92.3076923076923,91.67825496410322,68.25399392018628,88.13087365123565,86.89043956146871,4.98708681403595,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 1
40205105401,402051054,40205,286,250,24,0,0.8741258741258742,0.0839160839160839,0.0,595,8480,0.5210125337920866,48240,0.4990689013035381,87.41258741258741,97.58586119914624,73.49015264213182,80.0772653919507,86.94655039240028,4.947099838950718,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
40205105406,402051054,40205,251,233,18,0,0.9282868525896414,0.0717131474103585,0.0,673,8480,0.5210125337920866,48240,0.4990689013035381,92.82868525896414,95.37950326628292,73.49015264213182,86.17164806907826,89.06052041880471,5.132896324263592,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105410,402051054,40205,241,220,21,0,0.9128630705394192,0.0871369294605809,0.0,604,8480,0.5210125337920866,48240,0.4990689013035381,91.28630705394193,94.3567686436841,73.49015264213182,83.33189855546563,87.85277379865492,5.01064854669905,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105413,402051054,40205,238,219,10,5,0.9201680672268908,0.042016806722689,0.0210084033613445,602,8480,0.5210125337920866,48240,0.4990689013035381,92.01680672268908,94.0260979238083,73.49015264213182,88.15055433938281,88.52763802858277,5.039266881819331,SA,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
40205105414,402051054,40205,239,223,16,0,0.9330543933054394,0.0669456066945606,0.0,588,8480,0.5210125337920866,48240,0.4990689013035381,93.30543933054392,94.14817928982602,73.49015264213182,87.05905008665815,88.97056505625756,5.113734225545038,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105418,402051054,40205,204,181,13,0,0.8872549019607843,0.0637254901960784,0.0,545,8480,0.5210125337920866,48240,0.4990689013035381,88.72549019607843,88.44592846517043,73.49015264213182,83.07141484044598,85.02914663045345,4.722866697176725,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
40205105419,402051054,40205,224,206,18,0,0.9196428571428572,0.0803571428571428,0.0,549,8480,0.5210125337920866,48240,0.4990689013035381,91.96428571428572,92.13828342280576,73.49015264213182,84.57429846938774,87.58265968792115,4.980878048455851,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
