SA2_CODE,SA3_CODE,state,total_population,total_commuters,total_car,total_public_transit,total_active_transport,sa2_employment,sa2_employment_density,tod_score,car_dependency_ratio,public_transit_ratio,active_transport_ratio,sa1_count,tod_category
206061135,20606,VIC,9319,2361,1704,439,202,5369,0.5750856898029134,68.81024220384839,0.7314298604193857,0.175974637985015,0.08671334863057104,20,High
206061136,20606,VIC,19107,5455,3238,1130,1036,12754,0.6670850985930227,64.02112653623908,0.598176591084592,0.20545940056139603,0.1869217241310462,43,Medium
206061138,20606,VIC,12940,3013,2344,344,280,6606,0.5099976839342237,65.66971293853994,0.787759720893531,0.10869715836714332,0.08889321171550574,32,High
206061515,20606,VIC,11188,3368,1557,1008,756,7757,0.693084345961401,59.452958365508195,0.4682362790204974,0.2639179716706669,0.21726709506751077,25,Medium
206061516,20606,VIC,9932,2639,1376,677,551,6082,0.6119327900191166,57.304295354192995,0.5179264393302344,0.2634840117796198,0.2055381424726049,24,Medium
206071139,20607,VIC,9082,2610,1386,583,597,6227,0.6851892605633803,62.85790284968229,0.5354220180766759,0.20900101932301496,0.24221297273236506,18,Medium
206071140,20607,VIC,8189,2075,1087,346,625,5136,0.6274126557537258,53.97531655995672,0.5074835263596263,0.15616497912803579,0.2858110121853171,23,Medium
206071141,20607,VIC,9177,2391,1174,432,759,5892,0.641899989105567,55.296447329196106,0.49886865265910285,0.18399600550491504,0.30834019077078895,24,Medium
206071142,20607,VIC,10432,2434,1078,418,898,6181,0.5925606365640879,51.803399834293025,0.42696836146055056,0.19869735561106003,0.3600401067292854,24,Medium
206071143,20607,VIC,12790,2933,1611,455,838,7670,0.6001095375948674,59.35599815364199,0.556778976131837,0.14655482890014707,0.2884330207576683,27,Medium
206071145,20607,VIC,9847,2278,1550,262,448,5798,0.5883307965499747,62.5539418833715,0.6453991350494248,0.11056502742422461,0.1923597605487169,22,Medium
206071517,20607,VIC,17672,4996,3011,859,1052,12186,0.6896044366476147,64.42559025195689,0.586518927453269,0.16753686959684005,0.20674951641245515,39,Medium
206071518,20607,VIC,13865,3956,2262,813,818,8606,0.6206100814884258,62.087002594274786,0.5705011667862978,0.2079949465897868,0.20646526918639233,33,Medium
207011146,20701,VIC,7949,1705,1426,152,118,3974,0.499748490945674,65.24093964771464,0.8407508548845243,0.09007698969925329,0.06513589312324093,19,High
207011147,20701,VIC,16143,3558,3059,317,174,7415,0.4587638433459135,66.20197702990038,0.8683438586070504,0.08001419614437084,0.049186588105721504,35,High
207011148,20701,VIC,21120,5019,4548,339,104,10038,0.4752165885527624,67.21898895797227,0.8759903191742264,0.06152354172652287,0.019705802348254423,52,High
207011149,20701,VIC,21236,4512,3716,495,277,10676,0.5028259231348907,64.81981826504318,0.8241247341880844,0.10925791005840724,0.06089324029797774,50,Medium
207011150,20701,VIC,16835,3763,3238,285,219,8876,0.5274229009447977,69.3169783068436,0.8682837054271355,0.07090242932619584,0.05591485100975373,40,High
207011152,20701,VIC,15677,4009,2921,649,418,8975,0.5722392246875797,67.8008794717222,0.7395390753905063,0.15073305034900894,0.10529506829614392,34,High
207011154,20701,VIC,6453,1606,1395,94,103,3367,0.519438444924406,66.44731562278588,0.8269207014643336,0.051097950389769685,0.058813643530823634,18,High
207011155,20701,VIC,15939,3312,2772,340,200,8005,0.5020697441043652,63.39763944813945,0.845854599251446,0.0947401781079015,0.059405222640652365,43,Medium
207011519,20701,VIC,9894,2438,1669,394,358,5681,0.5744186046511628,63.80801463749623,0.6909787896699563,0.16097178236880047,0.14168767361074303,23,Medium
207011520,20701,VIC,11955,3102,2027,642,388,7198,0.601990465835912,62.97220073286884,0.6627956328946407,0.20136517041204294,0.12236496381459426,28,Medium
207011521,20701,VIC,11605,2785,2273,218,273,5962,0.5139212136884751,67.19975282213811,0.8216386430077947,0.07690126313835252,0.09264924157771966,28,High
207011522,20701,VIC,13036,3207,2613,258,322,6817,0.5228161668839635,67.23293034579326,0.792712017654183,0.07433052418323868,0.0970867985063138,31,High
207021156,20702,VIC,11295,3036,2739,195,60,5368,0.4755071308353264,62.9755385707643,0.8383841211584014,0.06092601776707057,0.01715816519089863,28,Medium
207021157,20702,VIC,24817,6487,5611,637,192,11503,0.4635689530103973,65.19094991666312,0.8738300505561649,0.0933210474321524,0.025746686092876867,54,High
207021159,20702,VIC,16972,4201,3965,176,28,7770,0.4579747730755629,63.83016884612699,0.9283545494882428,0.037565967098866615,0.004756772098911438,44,Medium
207021160,20702,VIC,14194,3428,3152,196,28,6403,0.4512014657177084,64.45830166472265,0.9225787119079455,0.05519254473637066,0.007079371854055094,33,Medium
207021424,20702,VIC,15668,4076,3681,315,47,7290,0.4651607963246554,64.77723195063591,0.8835030263846746,0.06881571348840328,0.012521526772706187,36,Medium
207021425,20702,VIC,15463,3796,3314,356,106,6910,0.4471334282386437,62.011682352457164,0.8741782428229478,0.09400590977613174,0.027031132739902153,35,Medium
207031161,20703,VIC,22122,5478,4610,658,171,11294,0.5109020175517959,68.08787047531841,0.8271708047336886,0.11414849064639411,0.03201038318172288,48,High
207031162,20703,VIC,10945,2696,2387,214,80,5188,0.4742663863241612,67.57133125275926,0.89127441889756,0.0742120066285465,0.029734909644105554,25,High
207031163,20703,VIC,22842,6662,4510,1434,650,11256,0.4927980386147716,61.85595531454273,0.6990094818002247,0.18816613966532578,0.0828467431924025,51,Medium
207031164,20703,VIC,18136,4859,4054,547,217,9015,0.4973518702416418,70.84070651122408,0.8468492308997916,0.10492415475465944,0.040206652628201354,37,High
207031165,20703,VIC,12337,3300,2674,489,120,5924,0.4802204928664073,64.21397972649079,0.7949136731999172,0.13236171645311584,0.032833848087783536,28,Medium
207031166,20703,VIC,10674,2878,2499,310,43,5013,0.4696018735362998,66.53366101502095,0.8884022373450542,0.08994383467235433,0.014088345708036203,27,High
207031167,20703,VIC,10159,2365,1964,280,99,5340,0.5252803462522133,67.21829648244402,0.8365034877057724,0.11195167615593901,0.043675411863065214,23,High
208011168,20801,VIC,14015,3150,2885,119,135,6975,0.4974680835889024,69.73843505053824,0.9166317406242428,0.03744364517271715,0.041839117474432655,32,High
208011169,20801,VIC,22737,4585,3858,356,348,10984,0.4826434660339221,62.090839400169095,0.8506232660700342,0.07265445156003422,0.0717419152221979,55,Medium
208011170,20801,VIC,16543,3462,3109,159,153,8035,0.4857920193470375,65.98424259230195,0.8946327514454557,0.04957827244522024,0.04394786465846808,38,High
208011171,20801,VIC,12437,3106,2588,303,190,6575,0.528579467802878,72.5625340812634,0.8445977631707485,0.09026555358021653,0.058204075978145614,24,High
208011172,20801,VIC,18187,3925,3371,295,233,9272,0.5094505494505495,68.38797716237025,0.8685170451302917,0.07066056611179505,0.05500618434435326,38,High
208011173,20801,VIC,17349,3657,3187,219,235,8678,0.49994238967623,66.28560135798514,0.8707595850346058,0.06312754727073619,0.0630443150275325,39,High
208021174,20802,VIC,24904,6059,5003,708,300,12978,0.5212885604113111,70.2507049056578,0.8370097776587597,0.10768303476755464,0.04858284766266805,57,High
208021176,20802,VIC,18537,5176,3849,1044,225,10605,0.5721916477824539,68.84672720308626,0.7585162277468408,0.18888738927294157,0.04096940451484418,45,High
208021177,20802,VIC,22357,5477,4410,624,395,11666,0.521688578839102,67.5878326415395,0.8235965160895924,0.1015918039688597,0.06791336733562667,57,High
208021178,20802,VIC,18079,4217,3624,368,179,9274,0.5130843706777317,69.71799292839587,0.8674807873794056,0.08360678180352062,0.0377382408392505,43,High
208021179,20802,VIC,11885,2826,2162,408,236,6627,0.5567036290322581,66.9769413891039,0.7832730133938578,0.12961136060203424,0.08146765410862752,29,High
208021180,20802,VIC,7564,2129,1626,355,136,4183,0.5530873991802195,70.50613290706694,0.7674610317615511,0.16281306695858436,0.06349163273758235,17,High
208021181,20802,VIC,9370,2557,2009,405,118,5275,0.5630270039491941,73.41100356228729,0.8042921567964626,0.1441000017782082,0.043056928090921695,20,High
208021182,20802,VIC,13112,3660,2689,730,195,7492,0.5706886045094455,71.61684690775556,0.7553733690053732,0.182284739042344,0.049984559987825326,27,High
208021426,20802,VIC,16585,4259,3776,312,136,8458,0.5100404028221672,76.01802616771575,0.8932457180918137,0.06919217603665213,0.02844321622984342,34,Very High
208021427,20802,VIC,14050,3683,3383,182,98,7260,0.5164686632994238,78.86057495166139,0.9183726076817812,0.049842341870482275,0.026909741297797347,28,Very High
208031183,20803,VIC,8864,2780,2609,83,47,4733,0.5346210324183892,73.10875149083601,0.8250737557532507,0.023306468186825385,0.014589523398357776,24,High
208031184,20803,VIC,31,12,8,0,4,19,0.6129032258064516,53.13396071836664,0.6666666666666666,0.0,0.3333333333333333,1,Medium
208031185,20803,VIC,12017,3859,3606,168,46,6308,0.5242686170212766,77.35208261809177,0.9115449579603628,0.0377021952970612,0.009812136699172514,30,Very High
208031186,20803,VIC,15200,4401,3966,296,96,7753,0.5099315969481716,77.26424018657434,0.8726308742293589,0.06593675403156536,0.02110330906289956,31,Very High
208031187,20803,VIC,5389,1662,1570,57,17,2674,0.4958279250880771,78.36716137056929,0.9496485913111178,0.032707788155645,0.0086990084196788,13,Very High
208031188,20803,VIC,24100,6534,5679,484,306,12412,0.5153414988582105,72.91636138470915,0.877803231119144,0.06799558949008543,0.04559837026585853,58,High
208031189,20803,VIC,13577,3780,3376,266,104,7194,0.5304136253041363,76.88065379847602,0.898536777952152,0.06601729485582368,0.027737264916778918,30,Very High
208031190,20803,VIC,13214,3789,3235,329,190,7106,0.5384557096309768,71.11856546543851,0.8429007329481931,0.07618388362150919,0.0428007165518675,34,High
208031191,20803,VIC,9100,2539,2223,169,125,4694,0.514918824045634,70.58222250295479,0.8504422067460902,0.05382508389960918,0.04682201998754549,24,High
208031192,20803,VIC,26,6,6,0,0,8,0.3076923076923077,60.084001681650605,1.0,0.0,0.0,1,Medium
208031193,20803,VIC,21193,5930,5305,340,234,11371,0.5363932260955705,78.1214510724321,0.876580319265609,0.05295696883548337,0.03935080988861732,43,Very High
208041194,20804,VIC,20265,4921,3794,685,408,11047,0.5458273630120065,66.42780540901903,0.7805889163475331,0.13030491039259098,0.08388397746693017,51,High
208041195,20804,VIC,21900,5410,4362,713,281,11752,0.5360580212562149,68.47525751474103,0.8012960289279679,0.12139537872181336,0.049404537520423175,53,High
209011196,20901,VIC,9852,2979,2676,223,58,4670,0.4750279727392941,72.77023374738192,0.9009230765002144,0.07223742322028602,0.019595405079264088,23,High
209011197,20901,VIC,20820,5587,5126,331,86,10528,0.505983563223915,71.9955959199511,0.9217063847470436,0.05830850948222911,0.013064672001208708,53,High
209011198,20901,VIC,16030,4012,3106,449,409,8297,0.5173015774050751,68.23916684701977,0.7969573845315322,0.10212091957707242,0.08965769893711907,34,High
209011199,20901,VIC,14870,4156,3516,334,255,7246,0.487880420145435,70.60020701861491,0.8587583485906206,0.07075333246949586,0.05958741602208182,34,High
209011200,20901,VIC,12458,3157,2540,344,240,6756,0.5423021351741852,69.55172627064316,0.8087334230060541,0.10798389830122156,0.07400306755605723,28,High
209011201,20901,VIC,7744,1946,1660,132,137,4129,0.5334625322997416,69.9342748535748,0.8599029424212228,0.06354188276980638,0.06816478202534541,19,High
209011202,20901,VIC,16538,4337,3967,233,104,8381,0.5067416409698289,71.98934374528731,0.9197250852057108,0.049623258831059246,0.023286892310528485,41,High
