SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score
20904143511,209041435,20904,350,312,33,0,0.8914285714285715,0.09428571428571429,0.0,946,6683,0.5306073838824931,118152,0.4688087736979518,89.14285714285714,99.13492012159627,64.54627773106526,80.73795918367347,86.38067035820214,5.224472290632429
21002123402,210021234,21002,327,312,12,3,0.9541284403669725,0.03669724770642202,0.009174311926605505,868,2320,0.520529504150774,16545,0.5018350571749219,95.41284403669725,98.76059116486644,74.4716544854796,91.91145526470837,91.87879138770559,5.527279039192211
21003143902,210031439,21003,330,302,17,6,0.9151515151515152,0.051515151515151514,0.01818181818181818,972,1605,0.5159112825458052,38691,0.48041272955287634,91.51515151515152,98.82688700601513,65.33859388137896,86.80073461891644,88.00191894603257,5.309817422314767
21101125635,211011256,21101,319,291,23,5,0.9122257053291536,0.07210031347962383,0.01567398119122257,803,8271,0.5364509015436503,81543,0.5123721316007741,91.22257053291536,98.58434124571502,82.15509992885325,84.64539460107507,90.9598900327588,5.262010688952939
21105127516,211051275,21105,518,489,20,3,0.944015444015444,0.03861003861003861,0.005791505791505791,1619,6134,0.5207572799049155,79479,0.5119222445509353,94.4015444015444,99.8528555720846,77.97644072181618,90.75669712735349,92.38743228934172,5.901893820208725
21201154609,212011546,21201,307,278,18,4,0.9055374592833876,0.05863192182410423,0.013029315960912053,895,12745,0.5393111035883548,58786,0.49674671714184315,90.55374592833876,98.29894573442857,76.6824590906151,85.2444057761886,89.57211448740597,5.188819998914181
21201154650,212011546,21201,331,296,25,6,0.8942598187311178,0.0755287009063444,0.01812688821752266,919,12745,0.5393111035883548,58786,0.49674671714184315,89.42598187311178,98.85114158204514,76.6824590906151,82.67175363496135,89.02940240547741,5.191298945012932
21203130316,212031303,21203,346,336,4,0,0.9710982658959537,0.011560693641618497,0.0,915,9238,0.5309195402298851,108886,0.47767492871243694,97.10982658959537,99.07994308259491,68.3170558178643,95.98716963480236,91.8300416876697,5.680269150468626
21203155613,212031556,21203,371,355,11,0,0.9568733153638814,0.029649595687331536,0.0,922,7628,0.5153357654371031,108886,0.47767492871243694,95.68733153638814,99.38231679710239,64.46987581657072,92.8502408439346,90.26862690139359,5.6636315856252475
21204156604,212041566,21204,316,308,8,0,0.9746835443037974,0.02531645569620253,0.0,792,8026,0.5317696945603922,84715,0.43747805250872734,97.46835443037975,98.50915206002199,53.252538645624476,95.00080115366126,88.69067523464953,5.613106792260134
