Country,Total_Population,Num_Suburbs_Present,Num_Suburbs_Concentrated,Median_Income_in_Concentration_Areas,Median_Tertiary_Rate_in_Concentration_Areas,Median_Employment_Rate_in_Concentration_Areas,Correlation_Income,Correlation_Education,Correlation_Employment,Income_Score,Education_Score,Employment_Score,Composite_Score
Sri_Lanka,131275,900,20,759.5,47.58244764399873,58.301468357042694,-0.11792896570120935,-0.0024638687634625594,-0.05771255286719336,44.103551714939535,49.87680656182687,47.11437235664033,47.015017782034626
Malaysia,164243,1330,34,755.0,58.436769418705325,59.313822419972524,-0.12080560319280821,-0.02062639954135171,-0.047100632178440516,43.95971984035959,48.96868002293242,47.644968391077974,46.70035362353241
Greece,91229,699,17,770.0,48.8850400519593,53.37889141989369,-0.13906312788871017,-0.035012943874953795,-0.051037843063072304,43.04684360556449,48.24935280625231,47.44810784684638,46.008100134096
Pakistan,89218,650,7,592.0,45.41123721451591,46.50643247823743,-0.08525610275501702,-0.07043649724730605,-0.13631687099292553,45.73719486224915,46.4781751376347,43.184156450353726,45.52297929002428
Zimbabwe,38489,421,2,806.5,25.975678733031675,63.908290312784686,-0.022328313346356744,-0.2074469097446368,-0.010162921650397613,48.88358433268216,39.62765451276816,49.49185391748012,45.302866321676156
Netherlands,64322,1398,3,742.0,24.666666666666668,66.12903225806451,-0.09842302442974941,-0.13473809236355014,-0.009165486739802614,45.07884877851253,43.263095381822495,49.54172566300986,45.245122796735984
Italy,161855,1827,51,759.0,44.47852760736196,57.60634462869503,-0.12899991551220039,-0.13253719208159753,-0.005698973123786943,43.55000422438998,43.373140395920124,49.71505134381065,44.71226811688617
Scotland,116649,2432,6,672.5,17.08924949290061,52.5062656641604,-0.09733136337996369,-0.1833625647749956,-0.05639083251281436,45.133431831001815,40.83187176125022,47.18045837435928,43.82221311177267
Malta,34151,302,5,729.0,16.93548387096774,56.42633228840125,-0.07901130060963592,-0.21459094796920253,-0.031234048215293297,46.0494349695182,39.27045260153987,48.43829758923533,43.8156145462703
Bangladesh,51165,297,9,618.0,48.212859424920126,49.691300280636106,-0.18389388835418208,-0.04003394959116585,-0.19061861183715914,40.8053055822909,47.998302520441705,40.46906940814205,43.615257122721445
Singapore,60008,431,0,,,,-0.13680471244776485,-0.10285047990532138,-0.19444448780615392,43.15976437761176,44.85747600473393,40.2777756096923,43.26245127487674
Fiji,67879,525,4,710.0,29.813817597064414,52.599883449668,-0.14803023414480052,-0.15189637997063948,-0.13733689579215502,42.598488292759974,42.40518100146803,43.133155210392246,42.62809875976966
Samoa,27465,204,2,750.5,8.478806675527986,61.03346964704014,-0.058564649231694334,-0.3147224137861461,-0.06994397509972763,47.07176753841528,34.263879310692694,46.50280124501362,41.83481898864592
Wales,27893,237,0,,,,-0.18745408413504516,-0.174090693647639,-0.10201904733004441,40.62729579324774,41.29546531761805,44.89904763349778,41.74891397104587
Germany,99511,2358,3,616.0,13.461538461538462,57.446808510638306,-0.17081096800242587,-0.19111850302079228,-0.10931803377268297,41.459451599878705,40.44407484896039,44.53409831136585,41.66823024180881
Taiwan,48934,341,10,689.0,41.614169859262475,54.37451737451738,-0.19303727726458048,-0.1755540196334873,-0.10384802976912264,40.348136136770975,41.222299018325636,44.807598511543866,41.589693764347416
Cambodia,38325,186,11,486.0,25.932038834951456,38.78680102746493,-0.23885944374008014,-0.1507704530249391,-0.16087537670174665,38.05702781299599,42.46147734875304,41.956231164912666,40.598648297682146
Japan,44244,340,1,1050.0,32.45614035087719,56.36363636363636,-0.1334881892593701,-0.27685016359458475,-0.12039910675985716,43.325590537031495,36.15749182027076,43.980044662007145,40.58924187532233
