SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score,state
40302105814,403021058,40302,307,241,44,16,0.7850162866449512,0.1433224755700325,0.0521172638436482,796,7603,0.5220764952276317,48647,0.5050246039490895,78.50162866449512,98.29894573442856,76.45284910419765,67.25058090802024,82.90596309776818,4.498221653734956,SA
50502108914,505021089,50502,332,267,42,19,0.8042168674698795,0.1265060240963855,0.0572289156626506,745,11048,0.4888063003274046,107620,0.5170334712153313,80.42168674698796,98.87054524286916,69.23428303473256,70.24785890550153,82.7014807691526,4.671006159110779,WA
80109110507,801091105,80109,345,254,51,40,0.736231884057971,0.1478260869565217,0.1159420289855072,693,1746,0.5337817181290125,20751,0.5282975635835943,73.62318840579711,99.0637733652416,86.12759523963521,62.73976055450535,82.6679024752689,4.304334634390325,ACT
40403110820,404031108,40403,324,232,43,32,0.7160493827160493,0.132716049382716,0.0987654320987654,694,9390,0.551639055340148,34761,0.5343160613000907,71.60493827160494,98.69672078132076,90.37093331608564,62.10181374790428,82.53535958104574,4.14150445154475,SA
40302106402,403021064,40302,411,333,48,23,0.8102189781021898,0.1167883211678832,0.0559610705596107,1021,7923,0.4893761581222977,48647,0.5050246039490895,81.02189781021897,99.61192678351982,65.29897807386327,71.55948638712772,82.50808141262895,4.8783473852393975,SA
30202102824,302021028,30202,331,249,51,31,0.7522658610271903,0.1540785498489426,0.093655589123867,701,5874,0.5140906704008402,39539,0.5319386519574869,75.22658610271903,98.85114158204514,81.95621240540714,63.635782805925466,82.50079767737513,4.367004855771014,QLD
40401109605,404011096,40401,323,272,30,17,0.8421052631578947,0.0928792569659442,0.0526315789473684,953,6877,0.4522854324235449,59486,0.5022373820097601,84.21052631578947,98.6757001487614,52.989376495698856,76.38911520286786,81.52370739037076,4.8679945396145925,SA
40401109712,404011097,40401,305,241,42,17,0.7901639344262295,0.1377049180327869,0.0557377049180327,635,9569,0.4966007576937049,59486,0.5022373820097601,79.01639344262294,98.23345837914754,67.35778733587738,68.13544746036011,81.36169710400493,4.522570523182044,SA
40403110736,404031107,40403,348,244,59,34,0.7011494252873564,0.1695402298850574,0.0977011494252873,754,14282,0.5393504531722054,34761,0.5343160613000907,70.11494252873564,99.11309100316926,88.67472996572019,58.2276390540362,81.3376142109927,4.105280313268368,SA
40302105801,403021058,40302,312,235,51,19,0.7532051282051282,0.1634615384615384,0.0608974358974358,697,7603,0.5220764952276317,48647,0.5050246039490895,75.32051282051282,98.42183558631396,76.45284910419765,63.008505917159766,81.24617621665482,4.328069710823512,SA
50607114726,506071147,50607,324,228,69,23,0.7037037037037037,0.2129629629629629,0.0709876543209876,725,9445,0.5482990827818414,23085,0.5313248020622353,70.37037037037037,98.69672078132076,89.08261108595822,55.3840877914952,81.11209537888554,4.070099202380185,WA
50403106608,504031066,50403,369,299,41,19,0.8102981029810298,0.1111111111111111,0.051490514905149,940,5167,0.466041309641923,74465,0.5020428251665273,81.02981029810297,99.3669555656167,56.639285945281685,72.0264980427582,80.75251778225835,4.791700267441308,WA
50502109514,505021095,50502,305,214,71,16,0.7016393442622951,0.2327868852459016,0.0524590163934426,610,7501,0.5851014040561623,107620,0.5170334712153313,70.16393442622952,98.23345837914754,88.80004527520859,53.83069067454985,80.67868940673277,4.01589249776331,WA
60105102909,601051029,60105,303,213,23,67,0.7029702970297029,0.0759075907590759,0.2211221122112211,784,2547,0.5040569958440531,28824,0.5225241556840636,70.29702970297029,98.18494922708751,76.95694004268805,64.96095154069862,79.46177981192186,4.018900661384572,TAS
80109110207,801091102,80109,322,238,23,58,0.7391304347826086,0.0714285714285714,0.1801242236024844,793,1754,0.4732865623313546,20751,0.5282975635835943,73.91304347826086,98.65710497380503,66.94748075803635,68.63354037267081,79.41519907232022,4.270438673686311,ACT
50102125301,501021253,50102,304,254,18,19,0.8355263157894737,0.0592105263157894,0.0625,681,6105,0.4784482758620689,49442,0.4597160364113102,83.55263157894737,98.20677834551452,42.7729448289244,78.60543628808864,79.29821872982706,4.77947102387593,WA
11701132336,117011323,11701,362,268,43,22,0.7403314917127072,0.1187845303867403,0.0607734806629834,1268,7025,0.4758840265546674,30473,0.5185040240935155,74.03314917127072,99.281256063644,66.06138024707327,65.23915631390983,79.13382816840712,4.363812043046906,NSW
20302103910,203021039,20302,364,257,21,86,0.7060439560439561,0.0576923076923076,0.2362637362637362,1022,7118,0.5271030805687204,102683,0.484385761323861,70.6043956043956,99.30712761140936,69.45985059181166,66.5310650887574,78.57897315241912,4.16558686777665,VIC
40204117102,402041171,40204,405,311,68,26,0.7679012345679013,0.1679012345679012,0.0641975308641975,790,7739,0.5585709130277878,63433,0.4388308543756485,76.79012345679013,99.58120432054848,57.69880667485933,63.89696692577351,78.5198687064298,4.612286006508985,SA
30909154033,309091540,30909,358,282,19,50,0.7877094972067039,0.053072625698324,0.1396648044692737,808,8429,0.4711307361243083,30681,0.4758072020098632,78.77094972067039,99.23517236918698,48.34381670008409,74.59036859024376,78.40673179806545,4.634348920541046,QLD
11701132330,117011323,11701,494,353,80,31,0.7145748987854251,0.1619433198380566,0.0627530364372469,1531,7025,0.4758840265546674,30473,0.5185040240935155,71.45748987854252,99.81081430696592,66.06138024707327,59.885426740317,77.72705896695314,4.4336212351958455,NSW
30910156211,309101562,30910,342,263,47,28,0.7690058479532164,0.1374269005847953,0.0818713450292397,869,6777,0.476917663617171,21420,0.4739252605261411,76.90058479532163,99.01688118491688,49.78090032986224,66.33237577374234,77.0547159169504,4.489248852645153,QLD
30909154038,309091540,30909,586,443,68,69,0.7559726962457338,0.1160409556313993,0.1177474402730375,1241,8429,0.4711307361243083,30681,0.4758072020098632,75.59726962457339,99.90055623827696,48.34381670008409,66.82489021421334,76.56032708275059,4.81934470167892,QLD
30909154037,309091540,30909,341,254,25,51,0.7448680351906158,0.0733137829912023,0.1495601173020528,943,8429,0.4711307361243083,30681,0.4758072020098632,74.48680351906158,98.99990298169588,48.34381670008409,69.02589417015677,76.06604505916589,4.346164009424932,QLD
21205156720,212051567,21205,366,261,69,33,0.7131147540983607,0.1885245901639344,0.0901639344262295,1077,4516,0.459456709736494,87888,0.4807009675496217,71.31147540983606,99.33299915917468,46.6217418019533,57.86750873421124,73.43558914549862,4.211200662137276,VIC
21204131750,212041317,21204,335,265,40,22,0.7910447761194029,0.1194029850746268,0.0656716417910447,883,9420,0.4234088457389428,84715,0.4374780525087273,79.1044776119403,98.92390531013515,21.76929047280254,69.65916685230563,72.63873741760774,4.6015953951947735,VIC
49999949999,499999499,49999,500,386,47,43,0.772,0.094,0.086,3377,721,0.2135031092685815,721,0.2135031092685815,77.2,99.81566522217192,0.1689735463424099,69.9432,67.85281427592005,4.799219910037516,SA
39999949999,399999499,39999,2195,1619,152,312,0.7375854214123007,0.0692482915717539,0.1421412300683371,14670,3221,0.2195637355146557,3221,0.2195637355146557,73.75854214123007,100.0,0.1794838626220813,68.65088910912667,66.40440253992911,5.675271957839195,QLD
19999949999,199999499,19999,1549,1125,146,184,0.7262750161394448,0.0942543576500968,0.1187863137508069,11371,2509,0.2206490194354058,2509,0.2206490194354058,72.62750161394447,99.99676605652932,0.1811008343574154,65.78204310159077,65.66445493956714,5.335223683765303,NSW
29999949999,299999499,29999,1149,818,126,162,0.7119234116623151,0.1096605744125326,0.1409921671018277,9089,1796,0.197601496314226,1796,0.197601496314226,71.19234116623151,99.99191514132332,0.1495698855184011,63.385348140169576,64.84295980001025,5.017292503977606,VIC
