SAL_CODE_2021,Suburb_Name,Executive_Score,Manager_Concentration_Pct,Manager_Plus_Professional_Pct,Total_Managers,Total_Professionals,Total_Employed,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Total_Population
SAL11132,Crows Nest (NSW),68.92189220970091,22.885572139303484,66.69776119402985,736,1409,3216,1657,2614,4974
SAL32770,Teneriffe,68.56327447480828,21.959979476654695,67.85531041559774,856,1789,3898,1660,2645,5520
SAL10848,Castlecrag,68.29570671976262,26.891334250343878,69.73865199449793,391,623,1454,1446,4675,2965
SAL13657,St Leonards (NSW),67.52672582892163,21.153048527581916,69.6391538780589,1020,2338,4822,1627,2475,7212
SAL80136,Yarralumla,67.39452795255673,24.293405114401075,64.6029609690444,361,599,1486,1591,3327,3120
SAL21677,Middle Park (Vic.),67.19531053426886,27.410670582476747,67.35193343122859,560,816,2043,1430,2836,4000
SAL10271,Bellevue Hill,67.03842498833677,23.464595375722546,66.74494219653178,1299,2396,5536,1575,3315,10590
SAL14377,Wollstonecraft,66.51975559187333,21.231380337636544,69.75173783515393,1069,2443,5035,1590,2639,8115
SAL10155,Balgowlah Heights,66.4970550962675,29.226190476190478,67.97619047619048,491,651,1680,1333,4687,3546
SAL13307,Queens Park (NSW),66.10060897957888,23.5479797979798,68.43434343434343,373,711,1584,1515,3441,3143
SAL12394,Longueville,65.84196495978149,25.0,68.56060606060606,264,460,1056,1453,4894,2116
SAL80044,Deakin,65.75426823384933,22.532467532467532,66.1038961038961,347,671,1540,1577,3117,3124
SAL10030,Alexandria,65.70685609943372,21.465657914256045,65.12386886218661,1447,2943,6741,1629,2654,9649
SAL10591,Bronte,65.70321678532454,22.353850115889777,67.3448364666495,868,1747,3883,1562,3365,7166
SAL12749,Mosman,65.59257829865959,24.791519434628974,66.38162544169612,3508,5885,14150,1487,2892,28329
SAL80067,Griffith (ACT),65.54738247494507,23.100871731008716,64.72602739726028,742,1337,3212,1572,2542,5328
SAL11113,Cremorne (NSW),65.30846706832025,24.124031007751938,66.35658914728683,1556,2724,6450,1502,2481,11263
SAL10463,Bondi Beach,65.22397095113948,22.24675683135523,65.2911951421474,1612,3119,7246,1583,2795,11513
SAL20670,Cremorne (Vic.),64.93370944349408,21.896024464831804,66.05504587155964,358,722,1635,1574,2959,2158
SAL12943,Neutral Bay,64.54568596806078,22.54287598944591,65.20448548812665,1367,2587,6064,1552,2443,10090
SAL13385,Riverview (NSW),64.25325581758912,25.209003215434084,67.13826366559485,392,652,1555,1417,4731,3148
SAL12994,North Bondi,64.1475508395828,23.731490621915103,65.44916090819348,1202,2113,5065,1493,3292,9290
SAL11382,Edgecliff,64.1392537559673,22.347153900210824,67.46310611384399,318,642,1423,1510,2321,2499
SAL11485,Fairlight,64.10652817775409,24.281984334203656,64.25877574702639,837,1378,3447,1491,3251,6141
SAL80045,Denman Prospect,63.80794292643341,19.781553398058254,63.41019417475729,326,719,1648,1655,3219,2759
SAL14219,Waverton,63.80464538405366,20.761245674740483,69.20415224913495,360,840,1734,1528,2890,2981
SAL11213,Darlinghurst,63.36836458801875,21.368375946293387,66.51906870447078,1496,3161,7001,1535,2279,10615
SAL14089,Vaucluse,63.26503894753886,26.169922762380736,64.49341208541573,1152,1687,4402,1393,3418,9510
SAL11286,Dover Heights,62.95159268656129,24.61459403905447,66.64953751284686,479,818,1946,1404,3877,4044
SAL13020,North Sydney,62.897097920943125,20.029400955531056,66.61153987504595,1090,2535,5442,1566,2405,8964
