SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus
SAL10271,Bellevue Hill,England,970,9417,13966,6.945438923098955
SAL11136,Croydon Park (NSW),China,963,9580,14782,6.514680016235963
SAL12275,Lane Cove,China,963,10713,16983,5.670376258611553
SAL10864,Cecil Hills,Iraq,962,5524,9301,10.342973873777012
SAL12171,Kingswood (Penrith - NSW),India,946,9724,13669,6.920769624698223
SAL13657,St Leonards (NSW),China,930,4113,9795,9.494640122511486
SAL13468,Rydalmere,China,928,5761,9841,9.429935982115639
SAL10014,Acacia Gardens,India,926,2997,5244,17.658276125095345
SAL12284,Lansvale,Vietnam,922,1910,3523,26.17087709338632
SAL10283,Belrose,England,915,9066,12290,7.445077298616762
SAL13194,Pennant Hills,China,911,6480,10685,8.525970987365465
SAL10825,Carramar (NSW),Vietnam,909,1913,4377,20.767649074708704
SAL12276,Lane Cove North,China,906,9308,15807,5.731637881951034
SAL14191,Warriewood,England,903,8823,11490,7.859007832898173
SAL10036,Allambie Heights,England,897,7715,10515,8.530670470756064
SAL13033,Northmead,India,896,10272,15372,5.828779599271402
SAL10591,Bronte,England,892,6992,9717,9.17978800041165
SAL10195,Bardia,Nepal,886,3749,7917,11.19110774283188
SAL10779,Campbelltown (NSW),India,885,14374,21932,4.035199708188948
SAL13658,St Marys (NSW),Philippines,884,11375,16855,5.244734500148324
SAL13383,Riverstone,India,881,8536,11941,7.377941545934176
SAL11286,Dover Heights,South_Africa,875,3377,5279,16.575108922144345
SAL11203,Dapto,England,868,13247,15470,5.610859728506788
SAL10025,Albion Park,England,864,17357,19535,4.422830816483235
SAL12962,Newington (NSW),Korea_South,853,4182,8010,10.649188514357053
SAL12560,Meadowbank (NSW),China,832,2907,6923,12.017911310125667
SAL12911,Narrabeen,England,831,8651,11301,7.353331563578444
SAL10965,Colebee,India,825,3733,6842,12.057877813504824
SAL13866,Thornleigh,China,823,8330,12687,6.486955150941909
SAL10402,Blakehurst,China,820,6283,9111,9.000109757436066
SAL14377,Wollstonecraft,England,815,6731,11053,7.373563738351578
SAL12486,Manly Vale,England,814,5807,8753,9.299668685022278
SAL10243,Beaumont Hills,India,810,7732,12961,6.249517784121596
SAL11315,Dundas (NSW),China,808,3844,6914,11.686433323691062
SAL11358,East Killara,China,804,1935,4100,19.609756097560975
SAL10030,Alexandria,England,797,8794,13149,6.0612974370674575
SAL11400,Elizabeth Hills,Iraq,797,2717,4329,18.41071841071841
SAL11645,Glebe (NSW),England,796,9869,15103,5.270476064358075
SAL13270,Prairiewood,Iraq,796,2317,4500,17.68888888888889
SAL14443,Woy Woy,England,792,12302,15020,5.272969374167777
SAL11119,Cromer (NSW),England,789,8675,11225,7.028953229398664
SAL12149,Kincumber,England,786,8431,10064,7.8100158982511925
SAL13195,Penrith,England,781,17642,23386,3.339604891815616
SAL13358,Regents Park (NSW),China,774,3100,6800,11.382352941176471
SAL14434,Woonona,England,772,14951,17260,4.472769409038238
SAL11306,Dulwich Hill,England,771,13091,18598,4.145607054521991
SAL10970,Collaroy (NSW),England,770,8291,10965,7.02234382124943
SAL11743,Grantham Farm,India,766,2976,5036,15.210484511517079
SAL11240,Denistone,China,765,3188,5373,14.237855946398659
SAL14463,Wyoming,England,764,11400,13946,5.478273340025814
SAL10815,Caringbah South,England,757,16189,18726,4.042507743244687
SAL10378,Birrong,Vietnam,755,2395,4481,16.84891765230975
SAL13020,North Sydney,England,753,6323,11764,6.400884053043182
SAL13644,Springwood (NSW),England,751,9906,11720,6.4078498293515365
SAL11642,Gladesville,China,747,12513,17727,4.2139109832458965
SAL10062,Annandale (NSW),England,747,9682,12867,5.805549079039403
SAL11370,Eastgardens,China,743,2335,5255,14.138915318744052
