Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Nambucca Heads,SAL12898,2666.2637157158747,8.33902939166097,2144.592726443769,79.43438140806562,19.00205058099795,495.5570745044429,7928.571428571429,53.880878501864885,18.74408330703692,499,57,2.0,216.42635505594663,6675,1300,280,0.6012024048096192,839
Bundarra,SAL10668,2671.6947145755275,29.66507177033493,2529.4904306220096,93.67737525632262,1.0252904989747096,92.27614490772385,10000.0,10.0,7.876712328767123,454,48,2.5,0.693839222422413,674,953,200,0.4844120637072179,955
Tocumwal,SAL13903,2689.766805243637,16.404647983595353,2337.238209159262,85.89371155160629,13.807245386192754,1045.7963089542038,8071.4285714285725,10.0,16.469719350073856,562,59,2.2,7.366505257321912,2862,1300,250,0.5338078291814946,1067
Tabulam,SAL13738,2695.115031959973,14.42241968557758,2308.4958988380045,84.65481886534518,4.579630895420369,6.83526999316473,9214.285714285716,10.0,12.396694214876034,405,51,2.2,1.425547551972854,508,1062,138,0.6051282051282051,701
Mathoura,SAL12532,2709.9377676154327,31.989063568010938,2576.117224880383,94.06185919343814,4.6479835953520166,898.838004101162,9214.285714285716,10.0,12.529002320185617,546,51,2.2,1.833102762423662,1002,1083,180,0.4577345731191885,993
Trundle,SAL13958,2714.5732052392214,45.11278195488722,2721.308612440191,99.24812030075188,14.42241968557758,1551.6062884483936,9000.0,10.0,16.796875,599,51,2.1,0.6461534191185421,568,725,170,0.2793116733016566,1114
Dorrigo,SAL11280,2747.120959064704,15.037593984962406,2338.4890635680117,84.12508544087491,35.064935064935064,1028.7081339712918,8071.4285714285725,10.0,25.442834138486315,560,56,2.0,29.94610194995005,1214,1300,300,0.5357142857142857,925
Collarenebri,SAL10969,2747.8695427068656,45.38619275461381,2738.9572795625427,98.67566643882434,5.468215994531784,786.056049213944,10000.0,10.0,12.97709923664122,533,39,2.5,0.1256769432941072,634,759,180,0.3286188483186607,1042
Tuross Head,SAL13997,2757.668924087585,8.680792891319207,2188.8973523180643,78.37491455912509,46.206425153793575,1390.9774436090224,7000.0,51.61461126146302,30.45977011494253,586,62,1.9,148.43833784389057,2353,1430,330,0.5631399317406143,1043
North Haven (NSW),SAL13002,2760.965956117709,3.6226930963773065,1986.0460375250543,70.93301435406698,11.004784688995215,628.8448393711552,7142.857142857143,55.84576395149082,15.609137055837564,519,61,1.9,275.3729185447247,1619,1495,310,0.6647398843930635,832
Harrington,SAL11865,2770.2366880910213,1.161995898838004,1832.7113367529305,65.15721120984279,16.267942583732058,293.91660970608336,6928.571428571429,50.08742615419016,17.6231884057971,480,64,2.0,102.62278462570455,3381,1517,340,0.729326923076923,883
Millingandi,SAL12633,2776.535474214661,7.040328092959672,2142.904647983596,76.17908407382092,11.961722488038278,1114.1490088858511,7214.285714285716,10.0,15.942028985507244,565,62,2.0,27.094753328112763,519,1517,210,0.6196051735874745,859
Wellington (NSW),SAL14238,2778.4130731937234,39.3028024606972,2691.300422703364,95.86466165413532,10.252904989747096,956.9377990430622,9571.428571428572,55.24045757585272,15.349105597230237,552,41,2.3,257.2137272755817,4096,936,230,0.391304347826087,975
Manilla,SAL12484,2779.009288838288,30.006835269993164,2577.668831168832,91.75495557074504,3.55434039644566,786.056049213944,9357.14285714286,10.0,11.869436201780417,533,48,2.2,33.77861838938564,2386,1083,260,0.4688988310001443,994
Bowraville,SAL10535,2779.8359355293896,31.305536568694464,2598.8615857826385,92.48974709501024,11.825017088174985,669.8564593301436,9571.428571428572,10.0,15.900383141762454,521,46,2.3,41.643121686456446,1157,1040,260,0.4606525911708253,947
Bulahdelah,SAL10646,2794.224701669206,16.062884483937115,2375.9600136705403,84.0311004784689,5.604921394395078,587.8332194121667,8785.714285714286,10.0,13.109756097560975,514,54,2.2,8.934790552359441,1538,1236,295,0.5549236755462436,963
Henty (NSW),SAL11899,2805.333433754385,37.18386876281613,2673.2737525632265,94.29254955570744,24.33356117566644,1203.0075187969924,9214.285714285716,10.0,20.889748549323016,573,51,2.2,3.459259803118699,1225,1083,200,0.4361659283125251,1016
Gloucester,SAL11689,2807.2672898091846,17.361585782638414,2402.8807245386192,84.59501025290498,17.019822282980176,963.7730690362268,8428.57142857143,10.0,18.06633733239238,553,55,2.1,52.989429175475685,3133,1300,275,0.5424954792043399,985
Lockhart,SAL12378,2811.19575230032,46.8215994531784,2784.784347231716,98.0604921394395,23.513328776486677,1575.5297334244704,9214.285714285716,10.0,20.48458149779736,600,51,2.2,2.0980819330849814,1019,867,195,0.3334615384615385,1111
Nimbin,SAL12974,2813.277322015583,13.397129186602871,2331.106971975393,81.86090225563909,44.63431305536569,280.2460697197539,8928.57142857143,10.0,29.637305699481864,479,50,2.0,22.050308182900928,1607,1199,300,0.5776457363096195,798
Woombah,SAL14432,2834.123118756077,10.1161995898838,2251.277853725222,78.43472317156528,9.227614490772384,406.6985645933015,8500.0,10.0,14.859437751004014,494,56,2.2,13.677835245159253,965,1300,293,0.6072874493927126,953
Sussex Inlet,SAL13715,2845.8861591045247,3.007518796992481,1971.7536482933149,68.28434723171566,9.774436090225564,406.6985645933015,7357.142857142857,50.17355868361665,15.126484254001031,494,61,2.0,105.20676050849931,3888,1511,310,0.7058548738710683,887
Dunedoo,SAL11319,2846.331230148511,39.23444976076555,2719.637388926863,94.54887218045111,7.997265892002734,1373.8892686261108,9214.285714285716,10.0,14.315789473684209,585,51,2.2,0.7337541840543109,1097,1083,200,0.4272189349112426,985
Batlow,SAL10232,2854.068625258472,49.48735475051264,2835.0577580314425,98.3339029391661,17.361585782638414,1630.211893369788,9357.14285714286,10.0,18.181818181818183,602,49,2.2,7.604776757886063,1270,867,180,0.3323536928188091,1064
Kyogle,SAL12237,2856.081981302379,29.1866028708134,2600.84039644566,90.06322624743677,19.275461380724536,847.5734791524266,9357.14285714286,10.0,18.85656970912738,541,47,2.2,74.6011097246927,2248,1142,280,0.4871320915683207,939
Ulmarra,SAL14022,2860.2918170764506,27.8879015721121,2580.724196855776,89.2259056732741,1.77717019822283,440.8749145591252,9785.714285714286,10.0,9.090909090909092,496,49,2.4,12.41424804297418,749,1105,260,0.5141129032258064,984
Bemboka,SAL10284,2881.1436697533845,32.12576896787423,2651.9716336295287,91.0457963089542,21.394395078605605,837.3205741626795,9571.428571428572,10.0,19.58041958041958,538,50,2.3,1.7615311503904976,589,1138,245,0.4881326851587074,1015
Delungra,SAL11236,2898.6206334815997,44.77101845522898,2797.3373205741627,95.5058099794942,1.845522898154477,984.2788790157211,10000.0,10.0,9.157509157509155,555,45,2.5,0.9402257143458886,625,1004,200,0.4174636174636175,1054
Rylstone,SAL13472,2908.097491050657,22.28298017771702,2537.638072453862,86.26110731373889,25.90567327409433,1285.0307587149694,8571.428571428572,10.0,21.568627450980397,579,54,2.1,7.282599501335278,904,1300,280,0.5181347150259067,1113
Cootamundra,SAL11053,2922.0030265812798,37.66233766233766,2732.0228981544774,92.4982911825017,18.52358168147642,1404.647983595352,9214.285714285716,10.0,18.61290322580645,587,51,2.2,7.749880459360234,6885,1149,220,0.4517101297339798,1037
West Kempsey,SAL14264,2926.3922544946736,21.12098427887901,2523.348230352907,85.22727272727273,6.220095693779904,396.4456596035544,9571.428571428572,64.6090727104245,13.313313313313312,493,40,2.3,538.2721813127348,5073,1170,290,0.5476673427991886,925
Coonabarabran,SAL11043,2927.888663597066,47.43677375256323,2842.593643198906,96.0868079289132,17.703349282296653,1476.4183185235815,9571.428571428572,10.0,18.2356423919479,594,50,2.3,3.6382223668535656,3477,1000,210,0.3885003885003885,1154
Dalmeny,SAL11192,2952.1867555018152,10.457963089542035,2311.513799973416,77.29835953520164,38.75598086124402,1090.2255639097743,7857.142857142857,56.89081504263945,27.055067837190744,564,59,2.1,306.7244512791836,2194,1408,330,0.5761047463175123,1092
Gilgandra,SAL11623,2952.3886791385626,47.50512645249487,2854.2717019822285,95.67669172932332,13.055365686944636,1698.5645933014353,9357.14285714286,10.0,16.310372129849565,606,47,2.2,4.602444742119606,2983,1062,200,0.4044173648134044,1083
Coolah,SAL11024,2955.7736929755497,51.127819548872175,2899.4665071770337,97.09501025290498,11.61995898838004,1493.5064935064934,9785.714285714286,10.0,15.878378378378375,595,47,2.4,0.7932539970384346,1262,1000,170,0.387847446670976,1162
Ashmont,SAL10102,2956.363526580442,41.07997265892003,2785.872487115239,93.23308270676692,4.169514695830485,1264.5249487354752,9571.428571428572,82.71336819136235,12.208504801097392,577,36,2.3,1542.673638272469,3747,1103,220,0.4411411811758431,994
Pambula,SAL13151,2988.7484897176155,12.576896787423102,2377.679147103581,78.55434039644567,28.63978127136022,550.2392344497607,8785.714285714286,50.57913972448693,22.717622080679405,507,54,2.2,117.37419173460782,1002,1300,313,0.591715976331361,1117
Walla Walla,SAL14115,2990.2861514811766,49.965823650034174,2898.574504442926,95.93301435406698,9.501025290498974,1671.2235133287763,9571.428571428572,10.0,15.068493150684931,605,44,2.3,2.897877510183663,811,977,230,0.3726636999364272,1166
Finley,SAL11523,2997.489709227249,54.20369104579631,2959.0837320574165,97.71872863978126,16.67805878332194,2163.362952836637,9214.285714285716,10.0,17.91421362489487,636,51,2.2,4.581071720736375,2455,953,175,0.3457910014513788,1066
Maclean,SAL12440,3037.577870023599,9.295967190704031,2302.5899150687096,74.80348598769652,31.57894736842105,710.8680792891321,8285.714285714286,56.1815709524837,23.78138847858198,525,56,2.1,285.4471285745111,2778,1387,330,0.6096703296703296,965
Gormans Hill,SAL11726,3051.97709632961,9.022556390977442,2300.727614490773,74.38482570061518,26.247436773752565,375.9398496240602,8714.285714285716,10.0,21.71581769436997,488,53,2.1,53.78658791711893,887,1404,240,0.6639344262295083,1083
Ganmain,SAL11589,3062.57000407422,58.71496924128503,3031.441900205058,97.9835953520164,10.66302118933698,1934.3814080656184,9785.714285714286,10.0,15.542521994134898,623,48,2.4,1.802811112227606,793,867,200,0.3211507593530066,1175
Corowa,SAL11080,3064.198241958207,43.54066985645933,2854.500683527,92.15652768284346,16.95146958304853,2112.0984278879014,8857.142857142859,10.0,17.973079968329376,634,52,2.1,72.5414666212013,5595,1213,230,0.4415190487745692,1130
Batehaven,SAL10228,3064.5254575485,20.027341079972658,2556.050931101056,82.40772385509229,26.5892002734108,1493.5064935064934,8357.142857142859,71.57672454246833,21.894736842105264,595,54,2.0,747.3017362740497,1911,1365,320,0.5294117647058824,1128
Lansdowne (Mid-Coast - NSW),SAL12282,3067.0963341712204,14.21736158578264,2443.677033492823,78.67395762132605,8.61244019138756,215.31100478468895,9500.0,10.0,14.49814126394052,470,52,2.4,17.145100653321546,607,1170,355,0.5744680851063829,1005
Holbrook,SAL11927,3070.0002877428733,48.53041695146958,2917.0878332194125,94.01913875598086,20.2323991797676,2019.8222829801773,9214.285714285716,10.0,19.15760869565217,628,51,2.2,3.666174584566871,1650,1170,185,0.429936305732484,1101
Adelong,SAL10018,3073.0549713526466,44.2241968557758,2861.4384825700618,92.1138072453862,5.331510594668489,1551.6062884483936,9571.428571428572,10.0,12.88056206088993,599,49,2.3,46.2759685639156,938,1200,205,0.4623089764992937,1158
Scotts Head,SAL13523,3078.916696834306,23.58168147641832,2614.616900760769,83.92002734107997,48.87218045112782,1319.207108680793,8785.714285714286,51.76361728414207,31.873905429071804,581,54,2.2,152.9085185242622,986,1300,330,0.5163511187607573,1212
Canowindra,SAL10795,3086.358636259059,49.35064935064935,2934.2136021872866,94.0704032809296,29.1866028708134,1770.3349282296654,9571.428571428572,10.0,22.938144329896907,609,48,2.3,3.1840305646029607,2437,1100,220,0.4168245547555892,1099
Portland (NSW),SAL13262,3095.30874464952,34.859876965140124,2772.9354066985647,88.5850991114149,14.490772385509226,1247.436773752563,9571.428571428572,10.0,16.799292661361626,576,46,2.3,24.742914345227863,2447,1272,250,0.5096153846153846,1150
Dungog,SAL11323,3095.7613340037137,28.84483937115516,2685.525346427979,85.74846206425154,23.171565276828435,1339.7129186602872,9071.428571428572,58.68572259800713,20.42648709315376,582,52,2.2,360.5716779402138,1983,1300,300,0.5154639175257731,1045
Wilcannia,SAL14307,3104.693369035665,19.89063568010937,2567.8021189336982,81.70710868079289,3.417634996582365,693.7799043062201,9428.57142857143,10.0,11.824324324324325,524,32,2.8,0.0370448424945531,735,1350,155,0.5945390487375221,1211
Narrandera,SAL12915,3122.37664426855,52.97334244702666,2998.335269993165,95.02734107997266,24.196855775803144,1989.0635680109365,9571.428571428572,10.0,20.85201793721973,626,44,2.3,12.208725899712402,4369,1083,210,0.3992381420496437,1113
Greenwell Point,SAL11775,3128.3872015858237,15.379357484620645,2485.827589733102,78.46035543403966,12.781954887218044,1575.5297334244704,8000.0,62.22722159730034,16.185897435897438,600,58,2.1,466.81664791901017,1245,1495,300,0.575,1096
Morts Estate,SAL12743,3133.701223052132,30.28024606971975,2721.6505707769857,85.85099111414901,6.425153793574847,1233.7662337662337,9357.14285714286,68.7162681555205,13.409961685823754,575,46,2.2,661.4880446656148,545,1300,285,0.5217391304347826,1133
West Haven,SAL14262,3135.823570490859,0.4784688995215311,1850.318097296026,58.00580997949419,22.28298017771702,693.7799043062201,6500.0,69.99487967229902,20.17391304347826,524,67,2.0,699.8463901689709,1139,1625,400,0.7156488549618321,940
Lake Cargelligo,SAL12250,3147.0510173989974,66.09706083390294,3136.5751879699246,98.66712235133288,12.508544087491456,2282.980177717019,9785.714285714286,10.0,16.061185468451242,641,40,2.4,0.7994386263698912,1430,867,170,0.312132485299412,1158
Gilgai,SAL11622,3153.354751541113,36.15857826384142,2807.692754613807,88.03827751196172,9.022556390977442,1011.61995898838,10000.0,10.0,14.613180515759314,557,45,2.5,8.587834983590271,740,1250,250,0.5178842701284353,1151
Mount Austin,SAL12759,3157.810636810989,48.73547505126453,2954.657433026539,92.56664388243335,9.637730690362268,1821.5994531784008,9571.428571428572,82.86090005844535,15.09433962264151,612,37,2.3,1572.1800116890706,4035,1148,250,0.4328808446455505,1124
