SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score
31003128906,310031289,31003,728,685,15,12,0.9409340659340659,0.020604395604395604,0.016483516483516484,1802,3593,0.5367493277561995,52529,0.45317608896327416,94.0934065934066,99.94340598926331,59.831188150831125,92.15466882019079,88.80208894632696,6.202330365969686
21502147027,215021470,21502,523,518,0,0,0.9904397705544933,0.0,0.0,1216,7304,0.44514870794734274,25104,0.44063750614336866,99.04397705544933,99.85932345902594,27.482455856671628,99.04397705544933,84.97627673676678,6.201630387147801
12701159501,127011595,12701,637,611,9,3,0.9591836734693877,0.0141287284144427,0.004709576138147566,3208,5165,0.3961497162141433,58951,0.4120142577578977,95.91836734693877,99.92076838496862,12.46887329409482,94.56316278473713,80.29366839155877,6.194732639126634
30803121022,308031210,30803,557,545,5,0,0.9784560143626571,0.008976660682226212,0.0,1691,5538,0.4473705468939333,54604,0.4499340804218853,97.84560143626571,99.87711014811461,30.658592587801564,96.96727467292399,84.92981960379339,6.188107063730366
20301103412,203011034,20301,514,504,4,0,0.980544747081712,0.007782101167315175,0.0,1336,3898,0.502708279597627,11301,0.5026464439798959,98.0544747081712,99.84153676993726,69.78364918181231,97.29140486608428,92.86012123722054,6.122685054347321
50605113814,506051138,50605,856,776,43,15,0.9065420560747663,0.05023364485981308,0.017523364485981307,1988,9720,0.4926757565005829,28977,0.49312480854974305,90.65420560747664,99.97574542396998,61.90980531660307,86.10031443794219,87.24639837729649,6.122275496298922
21603159310,216031593,21603,508,498,0,3,0.9803149606299213,0.0,0.005905511811023622,1288,4477,0.4929530940321515,30016,0.4400785854616896,98.03149606299213,99.83102645365759,41.97901170687536,98.03149606299213,87.36085830896842,6.109762031972757
30803121504,308031215,30803,581,557,10,3,0.9586919104991394,0.01721170395869191,0.0051635111876075735,1301,3483,0.4658285408586331,54604,0.4499340804218853,95.86919104991394,99.8924713796003,36.2553360067266,94.21911891480354,84.98839692667133,6.103483716671964
20904121616,209041216,20904,793,724,49,16,0.9129886506935687,0.0617906683480454,0.0201765447667087,2355,3758,0.5112925170068027,118152,0.4688087736979518,91.29886506935688,99.96442662182265,59.36792574865791,85.6574471773033,86.94820388175145,6.096101419852366
31606144241,316061442,31606,528,513,5,0,0.9715909090909091,0.00946969696969697,0.0,1145,8085,0.5165474060822898,27230,0.46122054912854216,97.1590909090909,99.86417437423194,56.559245844382644,96.23902376033057,89.75864022081554,6.092835351407779
31901149401,319011494,31901,538,521,3,4,0.9684014869888475,0.0055762081784386614,0.007434944237918215,1318,2500,0.46433878157503716,37047,0.39496998837915925,96.84014869888475,99.86902528943794,24.337445831446868,96.30014786970882,83.19427101964556,6.090969911605181
21601140620,216011406,21601,558,535,0,15,0.9587813620071685,0.0,0.026881720430107527,1490,7165,0.45823740086978765,17467,0.4491501452852992,95.87813620071685,99.87872711984994,33.32821292283811,95.87813620071685,84.56832882088104,6.065394208132577
31701144619,317011446,31701,519,502,5,0,0.9672447013487476,0.009633911368015413,0.0,1178,6655,0.4565724478594951,75423,0.46540457487705095,96.72447013487476,99.85608951555527,38.383675053360065,95.79263516247713,85.90261343553622,6.048982781138512
40204104436,402041044,40204,576,547,18,0,0.9496527777777778,0.03125,0.0,1279,8053,0.45200942972608893,63433,0.43883085437564856,94.96527777777779,99.89004592199728,28.3782581980467,91.99761284722221,82.82853781204187,6.037742569062379
