SA1_CODE_2021,state,total_commuters,total_car,potential_transit_users,daily_time_saved_mins,annual_time_saved_hours,tod_score
20903121318,VIC,258,247,49.400000000000006,494.00000000000006,1893.666666666667,93.89791408061475
31401138312,QLD,261,246,49.2,492.0,1886.0,93.88478699897016
80104104632,ACT,301,279,55.800000000000004,558.0,2139.0,93.86163036392568
30601114108,QLD,333,320,64.0,640.0,2453.3333333333335,93.84119372007088
30601114113,QLD,290,280,56.0,560.0,2146.6666666666665,93.84050859894418
20302148501,VIC,433,426,85.2,852.0,3266.0,93.82908000059152
20903121530,VIC,235,225,45.0,450.0,1725.0,93.79180325771274
80110113604,ACT,332,300,60.0,600.0,2300.0,93.78941220145794
70101100811,NT,304,272,54.400000000000006,544.0,2085.3333333333335,93.77681351218624
11103122638,NSW,258,258,51.6,516.0,1978.0,93.77126317831964
80104103608,ACT,250,233,46.6,466.0,1786.3333333333333,93.76673495892892
80104103601,ACT,234,220,44.0,440.0,1686.6666666666667,93.73711430983532
31401138341,QLD,543,498,99.60000000000001,996.0000000000001,3818.0000000000005,93.7278161564757
80101100612,ACT,249,237,47.400000000000006,474.00000000000006,1817.0000000000002,93.71037321942164
11103122640,NSW,364,357,71.4,714.0,2737.0,93.70632987163786
21401137625,VIC,252,252,50.400000000000006,504.00000000000006,1932.0000000000002,93.6686663217127
31802147026,QLD,301,294,58.800000000000004,588.0,2254.0,93.65764459111674
70101100911,NT,266,239,47.800000000000004,478.00000000000006,1832.3333333333335,93.6568327605578
70101100401,NT,415,371,74.2,742.0,2844.3333333333335,93.60779822631932
70104104307,NT,239,235,47.0,470.0,1801.6666666666667,93.51700193962216
31802147016,QLD,346,335,67.0,670.0,2568.3333333333335,93.51510354414036
70104104210,NT,295,278,55.6,556.0,2131.3333333333335,93.50999397135708
31802148423,QLD,581,570,114.0,1140.0,4370.0,93.50230360791554
70104104108,NT,213,209,41.800000000000004,418.00000000000006,1602.3333333333335,93.4908077813842
31802148705,QLD,275,268,53.6,536.0,2054.6666666666665,93.480441991874
10102100913,NSW,292,269,53.800000000000004,538.0,2062.3333333333335,93.47630256919544
10102161126,NSW,218,209,41.800000000000004,418.00000000000006,1602.3333333333335,93.42944128731126
70101100803,NT,235,215,43.0,430.0,1648.3333333333333,93.36548162524268
21101125703,VIC,211,211,42.2,422.0,1617.6666666666667,93.3565907767932
10102101219,NSW,296,269,53.800000000000004,538.0,2062.3333333333335,93.30963818149098
10102100910,NSW,274,254,50.800000000000004,508.00000000000006,1947.3333333333335,93.26651497515007
31401138213,QLD,362,335,67.0,670.0,2568.3333333333335,93.25358496863232
10102161119,NSW,198,194,38.800000000000004,388.00000000000006,1487.3333333333335,93.24366653404232
80107107510,ACT,244,230,46.0,460.0,1763.3333333333333,93.24092975761798
20302104053,VIC,288,285,57.0,570.0,2185.0,93.20943996240092
21101125507,VIC,205,202,40.400000000000006,404.00000000000006,1548.666666666667,93.19971691163131
