SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus,SAL_CODE_2021,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,Total_Population_G01,Tertiary_Total,Tertiary_Percentage,Unemployment_Rate
SAL12309,Lemon Tree Passage,England,185,3341,3764,4.914984059511158,SAL12309,52,533,1071,2.3,2686,229,16.863033873343152,6.6
SAL13764,Tanilba Bay,England,185,4067,4541,4.073992512662409,SAL13764,48,582,1131,2.4,3237,258,17.62295081967213,6.5
SAL10468,Bonny Hills,England,185,3970,4356,4.247015610651974,SAL10468,51,677,1421,2.5,3045,507,30.43217286914766,3.5
SAL14440,Woronora Heights,England,184,3561,4050,4.54320987654321,SAL14440,43,1016,3250,3.2,2781,583,38.1294964028777,2.4
SAL10194,Barden Ridge,England,183,5175,5937,3.0823648307225877,SAL10194,41,1033,3134,3.3,4129,865,39.282470481380564,2.6
SAL13538,Shalvey,New_Zealand,183,3207,4195,4.362336114421931,SAL13538,32,550,1180,3.0,3455,173,14.939550949913643,9.6
SAL11418,Empire Bay,England,183,3123,3549,5.156382079459002,SAL11418,42,755,1884,2.7,2522,346,27.395091053048297,3.7
SAL10927,Clemton Park,China,182,1437,2243,8.114132857779758,SAL10927,47,634,1869,2.8,1676,274,33.95291201982652,4.7
SAL10521,Bourkelands,India,181,3728,4344,4.166666666666666,SAL10521,35,1003,2203,2.8,3113,594,38.621586475942784,2.5
SAL10756,Callala Bay,England,180,2741,3119,5.771080474511061,SAL10756,51,645,1289,2.4,2234,310,26.563838903170524,5.4
SAL10852,Catalina,England,179,2934,3357,5.332141793267799,SAL10852,53,564,1130,2.3,2522,219,18.48101265822785,5.8
SAL11831,Gwandalan,England,178,4910,5413,3.2883798263439865,SAL11831,42,687,1493,2.5,3785,316,17.296113847837987,4.6
SAL11019,Cooks Hill,England,178,4476,5148,3.457653457653457,SAL11019,35,1025,1881,2.0,3774,1388,57.450331125827816,4.0
SAL13757,Tamarama,England,178,1396,1959,9.086268504338948,SAL13757,36,1788,4522,2.5,1478,735,72.77227722772277,3.9
SAL14334,Windang,England,178,3118,3540,5.028248587570622,SAL14334,56,588,916,2.1,2610,224,18.285714285714285,5.0
SAL12990,North Avoca,England,177,2825,3318,5.334538878842676,SAL12990,41,1094,2511,2.8,2318,718,52.56222547584187,3.5
SAL14097,Voyager Point,India,176,1679,2357,7.467119219346626,SAL14097,37,1152,3205,3.3,1678,479,51.339764201500536,3.7
SAL13947,Towradgi,England,176,3768,4469,3.938241217274558,SAL13947,42,725,1572,2.4,3241,599,35.78255675029869,3.0
SAL12206,Korora,England,174,3203,3869,4.497286120444559,SAL12206,44,834,1829,2.6,2740,651,41.517857142857146,4.3
SAL10466,Bonnells Bay,England,173,5007,5697,3.0366859750746005,SAL10466,42,685,1460,2.5,4066,512,25.172074729596854,5.4
SAL10639,Budgewoi,England,172,4271,4733,3.6340587365307417,SAL10639,44,663,1289,2.3,3497,339,19.493962047153538,6.7
SAL12255,Lake Haven,England,171,3991,4680,3.653846153846154,SAL12255,49,550,1023,2.2,3529,209,13.66906474820144,6.8
SAL13506,Sapphire Beach,England,171,3101,3671,4.658131299373467,SAL13506,46,955,2056,2.6,2660,681,43.76606683804628,3.2
SAL11746,Grasmere,England,170,2429,2869,5.925409550365981,SAL11746,59,543,1652,2.6,2105,308,30.344827586206897,2.6
SAL12208,Kotara,England,170,5028,5697,2.984026680709145,SAL12208,39,927,2077,2.6,3980,987,45.46292031321971,4.0
SAL10702,Burraneer,England,168,4724,5355,3.1372549019607843,SAL10702,43,1209,3490,3.0,3719,1011,48.935140367860605,2.4
SAL10900,Chifley (NSW),England,168,3490,4685,3.585912486659552,SAL10900,42,841,2311,2.9,3490,684,39.40092165898618,3.2
SAL14253,Werrington County,England,167,4397,5197,3.2133923417356165,SAL14253,37,863,2042,2.8,3698,330,20.767778477029577,2.9
SAL10734,Cabarita (NSW),China,167,1821,2731,6.114976199194435,SAL10734,50,1150,2695,2.6,1933,682,58.540772532188846,3.2
SAL12984,Noraville,England,166,3859,4261,3.895799108190565,SAL12984,42,729,1480,2.5,3001,363,23.91304347826087,5.5
SAL14192,Warrimoo,England,164,3126,3548,4.6223224351747465,SAL14192,38,1018,2382,2.8,2452,681,49.0280777537797,3.4
SAL13353,Redhead,England,162,4787,5268,3.0751708428246016,SAL13353,48,771,1598,2.4,3785,778,37.36791546589818,3.4
SAL14254,Werrington Downs,England,161,3920,4597,3.5022840983249948,SAL14254,36,922,2139,2.8,3221,336,23.382045929018787,3.5
SAL11397,Elermore Vale,England,160,7330,8447,1.894163608381674,SAL11397,42,712,1567,2.5,6057,1148,37.357630979498865,4.9
SAL12385,Long Beach,England,160,2095,2427,6.592501030078286,SAL12385,51,687,1389,2.5,1758,275,29.31769722814499,4.4
SAL10022,Airds,New_Zealand,160,3020,4005,3.995006242197253,SAL10022,29,451,944,2.9,3265,212,19.521178637200737,13.8
SAL13586,Soldiers Point,England,160,1827,2228,7.1813285457809695,SAL13586,56,719,1350,2.2,1564,273,32.231404958677686,4.6
SAL11932,Holroyd,India,158,720,1669,9.466746554823247,SAL11932,33,854,1893,2.8,1248,376,56.96969696969697,8.3
SAL10277,Belmont North,England,156,8412,9081,1.7178724810042945,SAL10277,40,748,1739,2.6,6291,821,26.518087855297157,4.4
SAL13238,Pitt Town,England,156,5067,5610,2.7807486631016043,SAL13238,38,1014,2707,3.2,3871,453,24.82191780821918,1.8
SAL11837,Halekulani,England,155,3287,3670,4.223433242506812,SAL11837,49,601,1031,2.2,2677,210,17.059301380991066,4.9
SAL12229,Kurri Kurri,England,155,8129,8578,1.806948006528328,SAL12229,38,636,1254,2.4,6174,357,14.082840236686389,6.9
SAL12202,Kooringal (NSW),India,154,9128,10335,1.490082244799226,SAL12202,35,777,1404,2.4,7404,1141,32.693409742120345,5.2
SAL12478,Mangerton,England,153,3282,3923,3.900076472087688,SAL12478,39,941,2147,2.6,2862,862,51.616766467065865,4.9
SAL13705,Summerland Point,England,152,3389,3806,3.993694167104572,SAL13705,48,646,1312,2.5,2708,222,16.972477064220186,5.6
SAL10009,Aberglasslyn,India,152,8448,9294,1.6354637400473424,SAL10009,32,881,2147,3.0,6552,636,21.486486486486488,4.1
SAL12641,Milton (NSW),England,152,2108,2409,6.309672063096721,SAL12641,55,602,1325,2.4,1801,319,33.09128630705394,3.0
SAL11851,Hammondville,England,151,3804,5042,2.994843316144387,SAL11851,42,827,1868,2.7,3691,512,27.004219409282697,3.4
SAL12394,Longueville,England,150,2350,3067,4.890772742093251,SAL12394,46,1453,4894,3.2,2116,995,77.07203718048025,3.3
SAL11628,Gillieston Heights,India,149,6213,6811,2.187637644986052,SAL11628,30,947,1986,2.8,4796,533,24.618937644341802,4.6
SAL11147,Culburra Beach,England,149,3751,4177,3.567153459420637,SAL11147,54,633,1247,2.2,2946,449,28.544183089637638,5.1
SAL12246,Lake Albert (NSW),England,149,8441,8994,1.6566599955525907,SAL12246,43,907,1891,2.6,6291,986,30.957613814756673,2.5
SAL14537,Yowie Bay,England,148,3818,4388,3.372835004557885,SAL14537,46,1085,2959,2.9,3053,760,45.427375971309026,3.1
SAL13132,Padstow Heights,China,147,3907,4976,2.954180064308681,SAL13132,44,841,1938,2.7,3594,653,34.29621848739496,3.5
SAL12783,Mount Kuring-Gai,England,147,1901,2505,5.868263473053893,SAL12783,42,961,2428,3.0,1766,484,48.44844844844845,2.4
SAL14153,Wangi Wangi,England,146,3645,4052,3.603158933859822,SAL14153,54,680,1339,2.3,2920,489,29.457831325301203,4.8
SAL12191,Kogarah Bay,China,145,2017,2892,5.013831258644537,SAL12191,44,837,2528,3.1,2102,531,49.166666666666664,4.0
SAL13244,Point Frederick,England,145,2042,2703,5.36440991490936,SAL13244,48,882,1631,2.0,2043,562,45.17684887459807,5.5
