SA1_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
12003167713,155,41,19,0,220,70.45,18.64,8.64,0.0,70.45,18.64,8.64,43,35.04,645,821,2531,2833,190,339,56.05,92.94,78.47,False,81.88,True,90.75,True,46.41,71.28,84.61,85.29,99.19,Very High
21204156628,216,11,0,0,238,90.76,4.62,0.0,0.0,90.76,4.62,0.0,40,25.36,769,785,2345,2459,177,331,53.47,97.59,80.57,False,87.25,True,79.17,False,46.0,70.84,84.25,85.29,99.19,Very High
30907125236,228,0,0,0,239,95.4,0.0,0.0,0.0,95.4,0.0,0.0,44,29.55,714,890,2515,2705,148,362,40.88,96.23,79.92,False,83.22,False,85.07,False,46.12,70.97,84.36,85.29,99.19,Very High
12602150105,153,49,0,0,212,72.17,23.11,0.0,0.0,72.17,23.11,0.0,40,29.24,602,949,2654,2963,194,341,56.89,89.26,76.91,False,91.72,True,85.71,False,46.74,71.63,84.89,85.28,99.19,Very High
30905124513,327,0,0,0,329,99.39,0.0,0.0,0.0,99.39,0.0,0.0,37,15.29,1171,1056,3169,3117,257,574,44.77,99.7,82.22,False,88.82,True,73.87,False,45.81,70.64,84.09,85.28,99.19,Very High
50704118302,229,19,4,0,287,79.79,6.62,1.39,0.0,79.79,6.62,1.39,43,35.55,841,844,2215,2631,178,443,40.18,98.61,81.13,False,77.33,False,87.54,True,45.9,70.73,84.17,85.28,99.19,Very High
12203142709,168,0,0,0,178,94.38,0.0,0.0,0.0,94.38,0.0,0.0,41,27.19,570,951,3333,3550,186,302,61.59,85.36,75.28,False,96.27,True,86.18,False,47.08,71.99,85.18,85.27,99.18,Very High
30906125012,175,0,0,0,185,94.59,0.0,0.0,0.0,94.59,0.0,0.0,44,35.46,595,855,2681,2583,151,341,44.28,88.45,76.57,False,86.3,True,92.1,True,46.8,71.7,84.94,85.26,99.18,Very High
50702116634,267,82,3,0,373,71.58,21.98,0.8,0.0,71.58,21.98,0.8,46,37.41,874,1087,2015,2839,247,507,48.72,98.85,81.29,False,78.35,False,86.06,True,45.87,70.7,84.14,85.26,99.18,Very High
40104101634,203,31,0,0,246,82.52,12.6,0.0,0.0,82.52,12.6,0.0,43,34.66,652,857,2208,2687,184,339,54.28,93.39,78.66,False,85.35,True,86.54,True,46.35,71.22,84.56,85.25,99.18,Very High
50502109618,173,44,7,0,232,74.57,18.97,3.02,0.0,74.57,18.97,3.02,40,29.61,618,1066,2488,3115,242,368,65.76,90.83,77.57,False,90.22,True,85.04,False,46.58,71.47,84.76,85.25,99.18,Very High
20303105310,261,4,0,0,320,81.56,1.25,0.0,0.0,81.56,1.25,0.0,37,20.68,769,1133,2527,2711,241,442,54.52,97.59,80.57,False,89.85,True,76.34,False,45.97,70.81,84.23,85.24,99.17,Very High
30203103802,235,0,0,0,258,91.09,0.0,0.0,0.0,91.09,0.0,0.0,38,21.86,677,1226,2718,3273,199,363,54.82,94.76,79.26,False,91.34,True,78.69,False,46.22,71.08,84.45,85.24,99.17,Very High
11504162430,215,4,0,0,228,94.3,1.75,0.0,0.0,94.3,1.75,0.0,33,12.8,797,1260,3514,3445,217,410,52.93,98.08,80.83,False,93.39,True,72.06,False,45.92,70.76,84.19,85.23,99.17,Very High
20901119624,179,28,4,0,227,78.85,12.33,1.76,0.0,78.85,12.33,1.76,38,21.57,714,844,2796,2952,187,354,52.82,96.23,79.92,False,89.22,True,78.8,False,46.09,70.93,84.33,85.23,99.17,Very High
30303106601,189,0,0,0,195,96.92,0.0,0.0,0.0,96.92,0.0,0.0,42,29.02,610,957,2763,2815,169,331,51.06,90.06,77.24,False,90.09,True,86.1,False,46.64,71.53,84.81,85.23,99.17,Very High
