Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Moree,SAL12733,4530.2410054503525,97.81271360218729,4215.57040328093,92.05399863294599,24.06015037593985,5868.0792891319215,9785.714285714286,10.0,20.756046020192535,851,38,2.4,2.3154323696618526,8962,1326,230,0.3595769682726205,1575
Montefiores,SAL12696,4965.008550152416,97.74436090225564,4336.339371155161,86.338004101162,12.235133287764867,6103.896103896103,10000.0,10.0,15.98639455782313,869,39,2.6,84.21221478124875,630,1517,303,0.40285031424271933,1640
Thurgoona,SAL13873,5495.629675611954,97.676008202324,4464.983117787175,80.24606971975393,53.383458646616546,6626.794258373205,9809.52380952381,56.99233533517226,34.40658929239985,906,34,2.8,309.7700600551676,11028,1625,360,0.4139072847682119,1953
Estella,SAL11447,5753.520157288352,97.60765550239235,4517.693129381942,77.5205058099795,59.6719070403281,6784.005468215994,9809.52380952381,81.39309616061993,38.19806403574088,916,34,2.6,1278.6192321239873,2541,1667,380,0.4199697682230433,1920
Meadowbank (NSW),SAL12560,8269.039667907733,97.5393028024607,4947.7456900157695,58.83458646616541,97.60765550239235,9070.403280929597,8738.095238095239,85.45733041575492,71.96029776674938,1184,34,2.0,7423.778264040846,5089,2148,430,0.41865904365904366,1993
Murrumbateman,SAL12871,13245.59391152581,97.47095010252906,5394.931305536568,39.73000683526999,75.39302802460696,9569.377990430621,10000.0,10.0,47.55667506297229,1389,40,3.1,25.950256372993028,3607,2600,528,0.4319654427645788,3348
Cargo,SAL10812,4987.670074411878,97.40259740259741,4313.516404647984,85.48359535201641,14.764183185235815,6025.290498974709,10000.0,10.0,16.974169741697416,861,38,2.8,2.218128026244954,562,1602,260,0.42937550254623424,2009
Yoogali,SAL14534,5110.899473876712,97.33424470266576,4345.854066985646,84.0311004784689,20.027341079972658,6127.81954887218,10000.0,10.0,19.104991394148023,871,41,2.8,54.168629298162976,1334,1606,300,0.4255056080544025,2072
Llanarth (NSW),SAL12371,7968.67309910524,97.2658920027341,4895.341620769877,60.43233082706767,67.80587833219413,7877.648667122351,10000.0,78.03504755675469,42.42167654530059,1001,38,2.8,941.0514267026408,2302,2000,440,0.4610773841543072,2348
Wamboin,SAL14141,13203.355975180728,97.19753930280245,5374.343472317156,39.70437457279562,81.95488721804512,9494.190020505808,10000.0,10.0,53.26678765880217,1362,46,3.0,20.86058885801856,1805,2600,520,0.44052863436123346,3461
Bowning,SAL10533,5409.257667193679,97.1291866028708,4408.212235133287,80.49384825700615,50.17088174982912,6305.536568694464,10000.0,10.0,32.52595155709342,883,45,2.5,2.1149291447486207,619,1679,330,0.43880128931091555,1888
Googong,SAL11710,12645.246502871403,97.06083390293917,5329.759638459051,41.148325358851665,75.05126452494873,9808.61244019139,9428.57142857143,50.117799341948185,47.175141242937855,1576,32,3.1,103.53398025844551,7444,2600,525,0.3807106598984772,3371
The Hill,SAL13842,8051.468749731055,96.99248120300751,4891.858880561134,59.75734791524265,91.72932330827066,8885.85099111415,8738.095238095239,93.73984473731721,65.05858028945555,1147,34,2.0,3747.9689474634415,2076,2167,390,0.43598685534169407,1849
Moore Creek,SAL12721,9297.880436154372,96.92412850307586,5035.854066985647,53.16131237183869,50.717703349282296,8397.129186602871,10000.0,10.0,32.88256227758007,1057,37,3.2,26.383622283673617,2868,2167,450,0.4731096717851685,2523
Jindabyne,SAL12039,5789.812807185661,96.85577580314423,4480.891660970608,76.39268626110731,54.3403964456596,7019.822282980178,9428.57142857143,10.0,34.77488151658768,933,32,2.5,26.396886829314866,2986,1636,400,0.40465001236705417,2058
Lane Cove North,SAL12276,12339.178110446184,96.78742310321257,5292.478441692092,41.89166097060833,93.91660970608339,9521.531100478467,9571.428571428572,99.91323853055697,67.75064267352185,1374,36,2.3,4982.647706111393,11773,2600,480,0.4366812227074236,2386
Jindera,SAL12041,5062.44278554938,96.71907040328092,4301.623034859877,83.97129186602871,33.219412166780586,5967.19070403281,10000.0,10.0,24.359968968192398,858,38,3.0,19.66192472972983,2721,1573,316,0.4230769230769231,2013
Warrimoo,SAL14192,8536.982042705142,96.65071770334929,4930.8219487327815,56.75837320574163,77.37525632262474,7997.265892002734,10000.0,56.19736156782263,49.24406047516199,1018,38,2.8,285.920847034679,2452,2167,400,0.49123469850385376,2382
