SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,is_nsw,is_sydney_metro,income_quartile,apartment_category
SAL10203,SAL10203,48,479,864,650,190,2.4,93,33,15,0,0,153,60.8,21.6,9.8,0.0,17.4,Manageable (<30%),12,22.0,Manageable (<30%),0,0.0,98.0,4.6,0.7,82.4,15.7,30,153,15.8,27.5,37.1,404,17.6,25.9,20.9,25.2,True,True,Q1 (Lowest),
SAL10205,SAL10205,39,794,1784,1733,360,2.7,211,316,80,47,3,616,34.3,51.3,13.0,0.5,22.4,Manageable (<30%),38,20.2,Manageable (<30%),25,0.6,99.2,1.3,0.8,36.9,15.9,157,616,26.3,26.2,29.9,1735,23.1,15.4,23.0,20.0,True,True,Q3,Low (<10%)
SAL10206,SAL10206,46,719,1375,1387,260,2.3,309,254,159,95,5,746,41.4,34.0,21.3,0.7,23.3,Manageable (<30%),22,18.9,Manageable (<30%),3,2.4,89.0,5.0,0.7,50.1,11.8,143,746,20.7,22.8,40.2,1888,24.2,18.6,26.4,23.4,True,True,Q2,Low (<10%)
SAL10207,SAL10207,58,470,776,758,195,1.9,332,121,126,63,10,621,53.5,19.5,20.3,1.6,22.5,Manageable (<30%),8,25.1,Manageable (<30%),0,1.6,96.3,4.2,0.6,92.3,1.6,113,621,13.3,18.1,55.9,1329,23.0,28.4,25.8,30.7,True,True,Q1 (Lowest),Low (<10%)
SAL10208,SAL10208,41,618,1340,1863,380,2.5,826,647,751,401,247,2278,36.3,28.4,33.0,10.8,32.1,Moderate (30-40%),116,28.4,Manageable (<30%),402,10.4,88.3,1.8,0.8,56.6,9.4,915,2278,24.2,24.3,33.3,6003,32.9,22.0,34.7,31.4,True,True,Q2,Medium (10-30%)
SAL10209,SAL10209,48,783,1836,2600,480,2.6,128,84,51,33,0,269,47.6,31.2,19.0,0.0,32.7,Moderate (30-40%),46,26.1,Manageable (<30%),51,5.2,64.7,12.3,0.8,46.1,34.9,46,269,20.4,25.9,38.2,725,24.8,22.3,29.7,26.6,True,True,Q3,Low (<10%)
SAL10210,SAL10210,45,468,1149,1733,310,2.6,34,14,7,5,0,53,64.2,26.4,13.2,0.0,34.8,Moderate (30-40%),0,27.0,Manageable (<30%),0,0.0,100.0,0.0,0.8,37.7,0.0,9,53,20.7,23.3,35.3,150,21.1,17.2,29.4,24.9,True,True,Q1 (Lowest),
SAL10214,SAL10214,50,966,2062,2200,415,2.5,39,21,8,0,0,73,53.4,28.8,11.0,0.0,24.6,Manageable (<30%),14,20.1,Manageable (<30%),10,0.0,97.3,4.1,0.8,19.2,42.5,4,73,12.1,25.2,41.1,214,17.5,12.7,22.7,17.5,True,True,Q3,
SAL10217,SAL10217,55,555,1262,1517,270,2.3,94,39,14,11,0,153,61.4,25.5,9.2,0.0,27.7,Manageable (<30%),6,21.4,Manageable (<30%),0,0.0,101.3,0.0,0.7,65.4,15.0,30,153,13.7,21.1,51.0,394,16.7,20.9,24.0,25.0,True,True,Q1 (Lowest),
SAL10219,SAL10219,45,756,1437,1465,250,2.4,31,25,3,4,0,63,49.2,39.7,4.8,0.0,23.5,Manageable (<30%),8,17.4,Manageable (<30%),0,0.0,100.0,14.3,0.8,65.1,31.7,4,63,23.5,22.2,34.6,153,16.9,24.1,21.6,22.1,True,True,Q2,
