SA1_CODE_2021,New_Zealand_population,total_population,concentration_ratio,is_cluster
31004156607,273,1729,0.15789473684210525,True
31302136418,272,1438,0.18915159944367177,True
30901122401,272,1200,0.22666666666666666,True
31106133406,271,1052,0.2576045627376426,True
31103131912,271,1206,0.22470978441127695,True
31004130236,271,1279,0.21188428459734168,True
30909126518,270,1146,0.2356020942408377,True
31104157116,270,1329,0.20316027088036118,True
30903123914,270,1727,0.1563404748118124,True
31004130241,269,1141,0.2357581069237511,True
31103131103,268,1790,0.14972067039106146,True
31103131723,267,1215,0.21975308641975308,True
31103131738,267,1043,0.25599232981783315,True
30906124939,266,1140,0.23333333333333334,True
30907155417,265,704,0.37642045454545453,True
30903123604,265,1118,0.2370304114490161,True
31103131137,265,900,0.29444444444444445,True
21301156924,265,2122,0.12488218661639962,True
30905124513,264,2323,0.113646147223418,True
30906124931,264,1219,0.2165709598031173,True
30907155420,264,1431,0.18448637316561844,True
31105132604,264,1401,0.18843683083511778,True
31105132623,263,854,0.3079625292740047,True
50601111724,263,1588,0.16561712846347607,True
30907155308,262,1860,0.14086021505376345,True
31403139408,262,1453,0.18031658637302134,True
31102130817,261,948,0.27531645569620256,True
31106133402,260,1173,0.2216538789428815,True
50403130049,260,1765,0.14730878186968838,True
31004156605,259,1155,0.22424242424242424,True
31105132815,259,1184,0.21875,True
31103131314,259,1095,0.2365296803652968,True
30907125326,258,1593,0.16195856873822975,True
31106132906,258,2200,0.11727272727272728,True
30908126001,258,1734,0.14878892733564014,True
31301136234,257,2259,0.11376715360779106,True
30907155505,256,1092,0.23443223443223443,True
30907155625,256,1253,0.20430965682362331,True
30905124414,256,1144,0.22377622377622378,True
30907125120,256,1427,0.17939733707077785,True
21305146430,255,1423,0.1791988756148981,True
31103131135,255,1453,0.17549896765313144,True
30906124938,254,1287,0.19735819735819735,True
30907125623,253,1021,0.24779627815866798,True
30907155746,253,973,0.26002055498458376,True
50705119218,252,1921,0.13118167621030713,True
31103131735,252,1148,0.21951219512195122,True
30103101603,252,2097,0.12017167381974249,True
50705131327,251,1151,0.21807124239791487,True
30907125132,251,1245,0.20160642570281123,True
30909126514,251,1192,0.2105704697986577,True
31602158009,251,1723,0.1456761462565293,True
30907155512,251,1036,0.24227799227799227,True
31103131737,250,1022,0.2446183953033268,True
30906124808,250,1195,0.20920502092050208,True
31004129930,249,1013,0.2458045409674235,True
31103131745,249,1155,0.21558441558441557,True
30903123802,249,1158,0.21502590673575128,True
30908156001,248,1385,0.17906137184115523,True
30907125141,248,1228,0.20195439739413681,True
30907155506,248,869,0.285385500575374,True
31402157925,248,1330,0.18646616541353384,True
30905124510,248,2177,0.11391823610473129,True
31004156613,247,1238,0.19951534733441034,True
31105132308,247,1201,0.20566194837635304,True
30906124916,246,1266,0.1943127962085308,True
31102130713,246,1064,0.231203007518797,True
30908126216,245,1314,0.18645357686453576,True
51103127928,245,1224,0.20016339869281047,True
30909126503,244,1359,0.17954378219278883,True
30907155626,243,1145,0.21222707423580786,True
50705131224,243,1462,0.1662106703146375,True
30906124835,242,1196,0.20234113712374582,True
31004130203,242,1291,0.18745158791634392,True
31004130017,242,941,0.25717321997874604,True
31606144241,242,2257,0.1072219760744351,True
30907155747,241,789,0.30544993662864384,True
30901122709,241,1787,0.1348628987129267,True
50403106822,241,1440,0.1673611111111111,True
30907155723,241,919,0.2622415669205658,True
31106133405,241,1269,0.18991331757289204,True
30102100941,241,1757,0.1371656232214001,True
31004129926,241,1044,0.23084291187739464,True
31304137312,240,1597,0.15028177833437695,True
31402138933,240,1430,0.16783216783216784,True
31004130235,240,1452,0.1652892561983471,True
31102131020,239,1187,0.2013479359730413,True
31104157119,239,1120,0.21339285714285713,True
30103102130,239,1348,0.17729970326409494,True
31106133023,238,1179,0.2018659881255301,True
31304137321,238,868,0.27419354838709675,True
50403105804,238,2032,0.1171259842519685,True
30910156220,237,906,0.26158940397350994,True
30305107503,237,2213,0.1070944419340262,True
30907125128,237,1070,0.22149532710280373,True
31105132606,236,1125,0.20977777777777779,True
30910126809,236,1617,0.14594928880643165,True
51103128206,236,861,0.27409988385598144,True
30906124925,236,1327,0.17784476262245666,True
31305138051,236,1571,0.15022278803309994,True
30907155406,235,1336,0.17589820359281438,True
30903123614,234,1403,0.16678545972915182,True
30907125133,234,926,0.2526997840172786,True
30907125338,234,1238,0.1890145395799677,True
30909126313,234,1047,0.22349570200573066,True
31305157516,234,1204,0.19435215946843853,True
31103131601,234,1442,0.1622746185852982,True
31103131736,234,1001,0.23376623376623376,True
30907155210,234,1116,0.20967741935483872,True
30909154033,233,1592,0.146356783919598,True
31004130250,233,1096,0.2125912408759124,True
30907125123,233,1320,0.1765151515151515,True
30101100116,232,1225,0.1893877551020408,True
31103131741,232,1251,0.18545163868904876,True
30907125139,232,1111,0.20882088208820881,True
30908126235,232,1324,0.17522658610271905,True
30907155706,232,1080,0.21481481481481482,True
