SA1_CODE_2021,Philippines_population,total_population,concentration_ratio,is_cluster,anchor_strength
11603131411,268,1091,0.2456461961503208,True,1.3743195689581051
11601130642,209,817,0.2558139534883721,True,1.3678647171602827
21301157003,320,1352,0.23668639053254437,True,1.3660215676047374
11603131328,250,1017,0.24582104228121926,True,1.3582726005732013
50403106509,228,921,0.247557003257329,True,1.3451559357332972
21301133105,205,814,0.25184275184275184,True,1.3417869958253859
11603131643,404,1809,0.22332780541735767,True,1.3408349226705594
11603131756,229,930,0.24623655913978496,True,1.3390539373585073
11601130614,324,1403,0.23093371347113328,True,1.3356802274232609
50403129915,268,1127,0.2377994676131322,True,1.3304193875184498
11602162928,205,825,0.24848484848484848,True,1.323896502547714
11601130612,202,813,0.24846248462484624,True,1.3201323588763112
11603131543,276,1177,0.2344944774851317,True,1.3188010464806332
50604113631,375,1689,0.22202486678507993,True,1.3165162396513976
50102101419,242,1018,0.23772102161100198,True,1.3058161780829203
11602163026,306,1350,0.22666666666666666,True,1.298085489453098
31202135608,235,991,0.23713420787083753,True,1.2956614270242366
11603131935,242,1040,0.2326923076923077,True,1.2781931435465508
12302143721,242,1044,0.23180076628352492,True,1.2732958518088244
70104104216,248,1083,0.22899353647276086,True,1.263461051083331
11601130631,210,893,0.23516237402015677,True,1.2585556640873168
11603131517,217,937,0.23159018143009605,True,1.2469961885007814
11603131951,228,1004,0.22709163346613545,True,1.2339528055880147
11602162908,294,1357,0.21665438467207074,True,1.232108146473034
50604113257,220,964,0.22821576763485477,True,1.2319458447447154
50601111049,286,1314,0.2176560121765601,True,1.2318203300664015
70104104212,242,1090,0.22201834862385322,True,1.2195604305398282
11601130332,279,1291,0.2161115414407436,True,1.2177430668351823
11602163103,240,1081,0.22201665124884365,True,1.2177162479535217
40402110105,279,1297,0.2151117964533539,True,1.2121097141744184
21203130044,398,1970,0.2020304568527919,True,1.209952611128003
40502111910,252,1157,0.21780466724286948,True,1.2051980563174893
11602162918,317,1534,0.20664928292046936,True,1.1907237864024225
11601156111,286,1364,0.20967741935483872,True,1.1866656258850818
12302170501,246,1145,0.21484716157205241,True,1.183676446122692
11602156340,263,1240,0.2120967741935484,True,1.1826408178447427
11602162917,238,1113,0.2138364779874214,True,1.171067677771518
11601130620,226,1050,0.21523809523809523,True,1.1676559085245686
50403105752,229,1073,0.21342031686859272,True,1.1605966092669262
50703116940,223,1041,0.21421709894332372,True,1.1592671177364782
70101100802,261,1256,0.20780254777070065,True,1.1571161747465337
11603131408,222,1042,0.21305182341650672,True,1.1520078054358411
70104104209,206,954,0.21593291404612158,True,1.151509508818308
50403129924,251,1218,0.20607553366174056,True,1.1394800500536677
