SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster
12504149105,643,896,0.7176339285714286,True
21205156820,641,1311,0.4889397406559878,True
21305158513,640,1365,0.46886446886446886,True
12102157903,640,1090,0.5871559633027523,True
12504149112,640,711,0.90014064697609,True
40203103814,639,1810,0.35303867403314915,True
21203155812,637,1663,0.3830426939266386,True
40203117519,637,1384,0.4602601156069364,True
12504149111,632,863,0.7323290845886443,True
40401109739,632,4989,0.12667869312487473,True
12504171806,632,1240,0.5096774193548387,True
20604111828,631,1799,0.3507504168982768,True
12504171718,629,652,0.9647239263803681,True
20604150518,629,2943,0.21372748895684676,True
11602162830,628,1417,0.44318983768525055,True
12504158937,626,1189,0.5264928511354079,True
21305158819,626,1029,0.608357628765792,True
21305158351,623,1031,0.6042677012609118,True
30306107812,623,1153,0.5403295750216826,True
31106133501,623,4160,0.14975961538461538,True
11601156105,623,1623,0.3838570548367221,True
21005144348,623,1569,0.397068196303378,True
50605113846,622,2157,0.28836346777932315,True
21305158203,622,1069,0.5818521983161834,True
21203155517,621,1202,0.5166389351081531,True
20904122529,621,947,0.6557550158394931,True
21005154205,620,1384,0.4479768786127168,True
21005144330,620,1879,0.3299627461415647,True
11601156111,618,1364,0.4530791788856305,True
11602163243,617,796,0.7751256281407035,True
21203130622,616,1372,0.4489795918367347,True
21305158310,614,941,0.6524973432518597,True
21305146603,614,1791,0.3428252372975991,True
21305146615,614,1220,0.5032786885245901,True
12504171707,613,801,0.7652933832709113,True
20603111523,613,2288,0.2679195804195804,True
21304157819,612,1528,0.4005235602094241,True
21204131012,611,1094,0.5585009140767825,True
50601130816,610,1678,0.3635280095351609,True
11602163241,609,1174,0.5187393526405452,True
21305158325,609,1427,0.42676944639103015,True
12504158947,608,921,0.6601520086862106,True
21203155740,608,1402,0.43366619115549215,True
21203155736,607,1998,0.3038038038038038,True
11602130906,607,1110,0.5468468468468468,True
80110113901,607,878,0.6913439635535308,True
20904143745,606,1367,0.44330651060716897,True
12102157907,606,1637,0.37018937080024433,True
21202155407,605,1900,0.31842105263157894,True
21203130637,605,1165,0.51931330472103,True
12504158901,605,936,0.6463675213675214,True
21005144552,604,1250,0.4832,True
12003139607,604,906,0.6666666666666666,True
21304146113,604,2743,0.22019686474662778,True
21304157215,604,1274,0.4740973312401884,True
21305146626,603,1214,0.49670510708401977,True
11602162912,603,1616,0.37314356435643564,True
21203155637,602,1350,0.44592592592592595,True
11601130614,602,1403,0.42908054169636495,True
21305158333,602,907,0.6637265711135611,True
11602163242,602,1150,0.5234782608695652,True
21305158208,602,1001,0.6013986013986014,True
12504171918,601,665,0.9037593984962407,True
21305146601,599,1322,0.45310136157337366,True
21305146617,599,1164,0.5146048109965635,True
21005144518,598,1480,0.40405405405405403,True
31103131113,598,2324,0.2573149741824441,True
12504171913,598,743,0.8048452220726783,True
12504171920,597,731,0.8166894664842681,True
50601130703,597,1030,0.579611650485437,True
12504171808,597,660,0.9045454545454545,True
21305158808,596,1012,0.5889328063241107,True
21305146631,596,800,0.745,True
12504158827,596,957,0.6227795193312434,True
40401109123,595,1394,0.4268292682926829,True
21203155701,594,1592,0.3731155778894472,True
12403146255,589,1252,0.4704472843450479,True
21305158701,588,1096,0.5364963503649635,True
21305158809,588,1129,0.520814880425155,True
21305158305,588,1045,0.5626794258373206,True
12504158814,587,1411,0.4160170092133239,True
21005154220,587,1257,0.4669848846459825,True
20904143725,587,1352,0.4341715976331361,True
21305158326,587,1423,0.4125087842586086,True
11602162838,586,1707,0.3432923257176333,True
21305136322,585,1279,0.4573885848318999,True
21203155604,584,1266,0.46129541864139023,True
30305107418,583,1333,0.4373593398349587,True
21305158815,581,1232,0.4715909090909091,True
21204146004,580,1637,0.354306658521686,True
12504149325,579,964,0.6006224066390041,True
21305158916,578,1057,0.5468306527909177,True
30303106036,578,877,0.6590649942987458,True
12504148956,577,821,0.702801461632156,True
21305158604,576,690,0.8347826086956521,True
21305157903,576,760,0.7578947368421053,True
