SA1_CODE_2021,Philippines_population,total_population,concentration_ratio,is_cluster
50403129920,263,712,0.3693820224719101,True
50102101411,262,658,0.3981762917933131,True
70101100802,261,1256,0.20780254777070065,True
11603131738,259,812,0.31896551724137934,True
11603131734,258,857,0.30105017502917153,True
31402157824,257,899,0.28587319243604004,True
30501111103,257,1350,0.19037037037037038,True
70102102804,257,1267,0.20284135753749014,True
50403105744,256,1303,0.19646968534151957,True
11602156334,255,1495,0.1705685618729097,True
50604113636,254,695,0.36546762589928056,True
11603131753,253,668,0.3787425149700599,True
11601156026,252,1243,0.20273531777956558,True
11602162925,252,907,0.27783902976846747,True
40502111910,252,1157,0.21780466724286948,True
31303137012,251,743,0.33781965006729475,True
50403129924,251,1218,0.20607553366174056,True
11603131328,250,1017,0.24582104228121926,True
21203156215,249,1214,0.20510708401976935,True
70104104216,248,1083,0.22899353647276086,True
11603131648,247,1837,0.13445835601524225,True
12302170501,246,1145,0.21484716157205241,True
21304157417,245,1586,0.1544766708701135,True
11602163245,244,2111,0.11558503079109426,True
12302143721,242,1044,0.23180076628352492,True
70104104212,242,1090,0.22201834862385322,True
11602163108,242,1698,0.1425206124852768,True
11603131515,242,843,0.2870699881376038,True
50102101419,242,1018,0.23772102161100198,True
11603131935,242,1040,0.2326923076923077,True
31004129932,242,1622,0.14919852034525277,True
11602163112,241,1183,0.2037193575655114,True
21305158613,241,1613,0.14941103533787972,True
21305158218,241,1436,0.16782729805013927,True
11602163103,240,1081,0.22201665124884365,True
11601130403,240,1237,0.19401778496362165,True
50102101404,240,886,0.2708803611738149,True
12102140356,238,1522,0.15637319316688567,True
11602162917,238,1113,0.2138364779874214,True
21203155733,237,1419,0.16701902748414377,True
12405158004,236,2298,0.10269799825935597,True
31202135608,235,991,0.23713420787083753,True
11602162923,235,900,0.2611111111111111,True
11602162916,234,851,0.27497062279670975,True
11603131410,234,727,0.3218707015130674,True
11603131511,234,644,0.36335403726708076,True
50601111719,231,1258,0.1836248012718601,True
50403129921,230,1126,0.20426287744227353,True
11601130637,230,466,0.49356223175965663,True
11603131756,229,930,0.24623655913978496,True
50403105752,229,1073,0.21342031686859272,True
50403106509,228,921,0.247557003257329,True
11603131951,228,1004,0.22709163346613545,True
21301157016,227,1473,0.15410726408689748,True
11601130651,227,522,0.43486590038314177,True
11904137831,227,1122,0.20231729055258468,True
11601130620,226,1050,0.21523809523809523,True
50601111041,225,1927,0.1167618059159315,True
30803121323,225,1242,0.18115942028985507,True
50701116022,225,686,0.32798833819241985,True
80109110921,225,1837,0.12248230811105063,True
11603131423,225,757,0.29722589167767505,True
50403105742,224,499,0.44889779559118237,True
21305158824,224,1766,0.12684031710079274,True
50703116940,223,1041,0.21421709894332372,True
11602162903,223,1135,0.19647577092511012,True
11904137817,223,1821,0.12246018671059858,True
11603131408,222,1042,0.21305182341650672,True
50902124112,222,817,0.2717258261933905,True
11601156105,222,1623,0.1367837338262477,True
