SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster,anchor_strength
12503147911,320,1353,0.23651145602365115,True,1.3650119433862564
11901165616,342,1474,0.23202170963364993,True,1.3544801987318529
12503148317,292,1231,0.2372055239642567,True,1.3473683199293125
12503148113,280,1173,0.23870417732310314,True,1.3458988127991889
11904166819,282,1191,0.2367758186397985,True,1.3367053107769882
21005124318,258,1074,0.24022346368715083,True,1.3348804840954196
21005124343,213,857,0.2485414235705951,True,1.3336673176192
12503148332,329,1440,0.22847222222222222,True,1.3249315856371617
11901165605,217,882,0.24603174603174602,True,1.3247567217973155
12503148310,237,982,0.24134419551934827,True,1.320700763401364
11901165504,287,1232,0.23295454545454544,True,1.3192123845771238
11901135623,309,1348,0.22922848664688428,True,1.3149857862915952
12503148426,205,831,0.246690734055355,True,1.3143376830347342
11904166808,224,925,0.24216216216216216,True,1.3115745838851784
11901135414,277,1189,0.23296888141295205,True,1.311060595872419
11901157243,205,836,0.2452153110047847,True,1.3064768117247179
11901157227,224,929,0.2411194833153929,True,1.3059273305638215
11901136106,237,997,0.23771313941825475,True,1.3008306415848943
11901165515,288,1261,0.22839016653449642,True,1.2941561349535136
12503148405,256,1101,0.23251589464123523,True,1.290248390311695
11902136610,210,899,0.2335928809788654,True,1.2501559599888477
12503171403,238,1056,0.22537878787878787,True,1.2342787171966851
11903137313,214,933,0.22936763129689175,True,1.2318505230646515
12503148324,254,1146,0.22164048865619546,True,1.2281683599216755
11902136606,314,1474,0.2130257801899593,True,1.2254462744852435
11901135619,336,1599,0.2101313320825516,True,1.2229817789858621
12503171421,267,1233,0.21654501216545013,True,1.2107003437115968
11901135445,244,1109,0.2200180342651037,True,1.2103760174688127
11901165526,296,1393,0.21249102656137833,True,1.2098669871396979
12503171604,253,1158,0.21848013816925735,True,1.2097975557475733
11901165602,254,1167,0.21765209940017138,True,1.2060676439333677
11901135410,257,1185,0.2168776371308017,True,1.2043127538606377
11901165509,243,1121,0.2167707404103479,True,1.1916252263570457
11901135421,274,1296,0.21141975308641975,True,1.1874963586116054
11901165522,221,1009,0.21902874132804756,True,1.1833416267529966
12503148432,231,1064,0.21710526315789475,True,1.182515350427554
12503171448,279,1336,0.2088323353293413,True,1.1767262719193268
12503148410,237,1106,0.21428571428571427,True,1.172629430072459
11901135626,243,1141,0.21297107800175286,True,1.1707378428976758
11902136707,225,1048,0.21469465648854963,True,1.1637598996529241
11901165512,241,1144,0.21066433566433568,True,1.1563234195837078
12503171444,235,1114,0.21095152603231598,True,1.1526036572540561
12503148111,214,999,0.21421421421421422,True,1.1504670050243442
11901136140,226,1066,0.21200750469043153,True,1.1501301162765452
11901157124,246,1180,0.20847457627118643,True,1.1485673989919343
12503148311,255,1234,0.206645056726094,True,1.145883507570736
11901135441,200,929,0.21528525296017223,True,1.141723338656421
12503148126,257,1252,0.20527156549520767,True,1.1398647071284789
12503171603,201,939,0.21405750798722045,True,1.1362745550347628
11901135618,223,1063,0.20978363123236124,True,1.1352747597024213
12503147930,263,1297,0.2027756360832691,True,1.1306666261584282
11901135624,226,1086,0.20810313075506445,True,1.1289490828276216
11901135439,224,1077,0.20798514391829154,True,1.126468421628403
12503171434,214,1021,0.20959843290891284,True,1.1256773144165717
12503171409,209,998,0.2094188376753507,True,1.1197850440079669
11902136626,219,1066,0.20544090056285177,True,1.1080717004232339
