SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster
12003167810,385,799,0.4818523153942428,True
80109110507,382,1355,0.2819188191881919,True
12504171715,376,1262,0.2979397781299525,True
40403110702,375,1098,0.34153005464480873,True
11904167020,365,1026,0.3557504873294347,True
11903137410,364,714,0.5098039215686274,True
60201104112,363,1501,0.2418387741505663,True
11904137827,362,701,0.5164051355206848,True
11903166414,361,495,0.7292929292929293,True
12504158908,357,2412,0.1480099502487562,True
12503148130,357,737,0.4843962008141113,True
12003168003,354,566,0.6254416961130742,True
12003139639,352,1114,0.31597845601436264,True
11903166522,352,827,0.42563482466747277,True
11903166625,351,1102,0.31851179673321234,True
12003139617,351,1077,0.32590529247910865,True
70102102804,350,1267,0.27624309392265195,True
12003167820,349,1362,0.25624082232011747,True
12501158606,347,1129,0.3073516386182462,True
11904137826,346,1319,0.2623199393479909,True
11902165907,345,920,0.375,True
11902166008,344,938,0.36673773987206826,True
80101100216,342,2933,0.11660415956358677,True
12501158655,341,1199,0.28440366972477066,True
12003167607,340,699,0.4864091559370529,True
80101100203,338,1414,0.23903818953323905,True
12003139607,337,906,0.3719646799116998,True
21003153605,334,1225,0.2726530612244898,True
12504171713,334,870,0.3839080459770115,True
31701144609,334,879,0.3799772468714448,True
11902166020,333,734,0.4536784741144414,True
21003153603,333,952,0.34978991596638653,True
12003167827,333,1781,0.18697361033127458,True
11904138152,332,780,0.4256410256410256,True
12503148136,331,1041,0.31796349663784823,True
11902165925,330,729,0.45267489711934156,True
11902166015,330,989,0.33367037411526795,True
12003139629,329,1016,0.32381889763779526,True
21301133610,326,784,0.41581632653061223,True
11904137817,325,1821,0.17847336628226249,True
11902165910,324,926,0.34989200863930886,True
11902165920,318,1047,0.3037249283667622,True
12501158317,318,841,0.37812128418549346,True
80101100317,315,931,0.3383458646616541,True
12003167611,314,984,0.31910569105691056,True
12003167618,312,956,0.3263598326359833,True
12003167830,311,1285,0.24202334630350195,True
12003167822,310,1102,0.2813067150635209,True
80104103910,310,1307,0.23718439173680184,True
12701150527,310,1303,0.23791250959324636,True
12703173023,309,984,0.31402439024390244,True
12302170303,309,1396,0.22134670487106017,True
11904138104,309,983,0.3143438453713123,True
12003139647,309,885,0.34915254237288135,True
12504171803,308,1114,0.2764811490125673,True
11904138146,308,629,0.48966613672496023,True
11903166410,307,1224,0.2508169934640523,True
11902166006,307,675,0.45481481481481484,True
11902166019,306,1123,0.27248441674087265,True
11903166715,306,1030,0.2970873786407767,True
12003168027,300,685,0.43795620437956206,True
11902165923,299,961,0.31113423517169614,True
11904138140,298,859,0.3469150174621653,True
21003153518,298,999,0.2982982982982983,True
12501158322,296,511,0.5792563600782779,True
11902165928,296,990,0.298989898989899,True
11902166013,293,1190,0.246218487394958,True
11904138101,288,713,0.40392706872370265,True
12503148132,287,594,0.4831649831649832,True
11904137829,287,1127,0.2546583850931677,True
12504171705,284,1467,0.19359236537150648,True
12703173014,284,1190,0.23865546218487396,True
80104104030,283,1605,0.1763239875389408,True
12102157715,283,1086,0.2605893186003683,True
11903166630,282,1069,0.2637979420018709,True
12302170421,281,1809,0.15533443891652846,True
11903166417,281,1304,0.21549079754601227,True
21005124215,281,1583,0.17751105495893874,True
12503148150,279,767,0.363754889178618,True
12501158304,278,588,0.47278911564625853,True
12302170519,277,1464,0.18920765027322403,True
70102102508,276,1218,0.22660098522167488,True
11904137903,276,1085,0.2543778801843318,True
12501158629,275,836,0.32894736842105265,True
11602163217,275,1095,0.2511415525114155,True
11903166415,274,800,0.3425,True
70101100222,273,969,0.28173374613003094,True
40403110747,273,914,0.2986870897155361,True
21005124205,273,1618,0.16872682323856614,True
11903137404,271,540,0.5018518518518519,True
12003167818,271,1104,0.24547101449275363,True
11903166407,270,698,0.3868194842406877,True
12504149115,270,1090,0.24770642201834864,True
11904137802,269,1110,0.24234234234234234,True
12504171806,268,1240,0.2161290322580645,True
70102101602,268,1126,0.23801065719360567,True
21301133618,266,1159,0.22950819672131148,True
12003167811,266,1074,0.24767225325884543,True
12003167714,265,1094,0.24223034734917734,True
12703173007,264,1409,0.1873669268985096,True
70101100802,264,1256,0.21019108280254778,True
21003153525,262,693,0.37806637806637805,True
12503148151,262,500,0.524,True
12001167223,261,854,0.30562060889929743,True
11903166406,260,1071,0.24276377217553688,True
80109110915,259,1219,0.2124692370795734,True
10503110136,259,969,0.2672858617131063,True
