SA1_CODE_2021,New_Zealand_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
30907155510,276,1055,0.2616113744075829,True,498,2100,2330,3.3,0.21373390557939914,0.20798943545724663,Affordable,Affordable
30903123501,276,1831,0.1507373020207537,True,410,1365,961,1.8,0.4266389177939646,0.32778355879292403,Expensive,Moderately_Affordable
30907155720,275,834,0.32973621103117506,True,410,1517,1575,2.6,0.26031746031746034,0.22227106227106228,Affordable,Affordable
30906124930,275,1049,0.2621544327931363,True,410,1300,1463,2.5,0.2802460697197539,0.2050580997949419,Affordable,Affordable
30903123832,274,1513,0.1810971579643093,True,418,1469,1178,1.9,0.3548387096774194,0.28777589134125636,Moderately_Affordable,Affordable
30907125403,274,1446,0.18948824343015214,True,425,2058,1952,2.9,0.2177254098360656,0.24330075662042874,Affordable,Affordable
31004130454,273,1094,0.24954296160877515,True,430,1939,2230,3.1,0.19282511210762332,0.20065539841324595,Affordable,Affordable
50705131217,273,1280,0.21328125,True,350,1950,2250,3.3,0.15555555555555556,0.2,Affordable,Affordable
30907155222,273,1409,0.1937544357700497,True,420,1956,1823,2.9,0.2303894679100384,0.24760538419342587,Affordable,Affordable
31004156607,273,1729,0.15789473684210525,True,335,1800,1514,2.9,0.2212681638044914,0.2743623615486231,Affordable,Affordable
31302136418,272,1438,0.18915159944367177,True,430,2135,2272,3.0,0.1892605633802817,0.21685400866738894,Affordable,Affordable
30901122401,272,1200,0.22666666666666666,True,545,2167,1456,2.0,0.3743131868131868,0.3434594251901944,Moderately_Affordable,Moderately_Affordable
31106133406,271,1052,0.2576045627376426,True,340,1200,1229,2.1,0.2766476810414972,0.22532390311072167,Affordable,Affordable
31103131912,271,1206,0.22470978441127695,True,405,1653,1908,2.9,0.21226415094339623,0.19992743105950653,Affordable,Affordable
31004130236,271,1279,0.21188428459734168,True,345,1460,1721,3.5,0.20046484601975595,0.19577168908952755,Affordable,Affordable
30909126518,270,1146,0.2356020942408377,True,545,1875,2106,2.9,0.2587844254510921,0.205456936226167,Affordable,Affordable
31104157116,270,1329,0.20316027088036118,True,390,1733,1764,3.3,0.22108843537414966,0.22671376242804814,Affordable,Affordable
30903123914,270,1727,0.1563404748118124,True,568,2050,1855,2.1,0.30619946091644207,0.2550279908770475,Moderately_Affordable,Affordable
31004130241,269,1141,0.2357581069237511,True,360,1602,1618,3.1,0.22249690976514216,0.22848721118189597,Affordable,Affordable
