SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,anchor_strength
11903137331,211,296,0.7128378378378378,True,3.8183773782290356
40101100135,468,754,0.6206896551724138,True,3.817615511449415
12001167312,469,757,0.619550858652576,True,3.8119308240637055
11904137902,686,1179,0.5818490245971162,True,3.800832336271867
11903166520,512,843,0.6073546856465006,True,3.7900607742911436
11903137411,386,607,0.6359143327841845,True,3.7890476631128434
11902165924,680,1171,0.5807002561912895,True,3.788234302460861
11902165927,364,568,0.6408450704225352,True,3.780920135042301
11703164821,671,1157,0.5799481417458946,True,3.775612226872112
11903166418,593,1004,0.5906374501992032,True,3.772330115918375
11904167115,1294,2462,0.5255889520714866,True,3.76651022361045
11703163904,416,667,0.623688155922039,True,3.762764420192356
11903137402,713,1251,0.5699440447641887,True,3.7450356132279166
12502147833,407,654,0.6223241590214067,True,3.7409567889640574
80105105101,626,1079,0.5801668211306765,True,3.7368234795516297
12103140701,489,816,0.5992647058823529,True,3.7120885248164024
11903137425,517,872,0.5928899082568807,True,3.7055472479910003
20703116318,579,995,0.5819095477386935,True,3.7027068059798287
11904167106,962,1787,0.5383324006715166,True,3.698372345914828
12003167809,403,654,0.6162079510703364,True,3.698119565471474
12602172209,569,977,0.5823950870010235,True,3.6956674404416283
12601172104,251,376,0.6675531914893617,True,3.6911880344823595
12602172323,702,1252,0.560702875399361,True,3.675607458507258
12103140759,593,1032,0.5746124031007752,True,3.6699800740136133
30306108026,704,1261,0.5582870737509913,True,3.661357060412242
12001167321,437,730,0.5986301369863014,True,3.640999539499325
12602172324,532,918,0.579520697167756,True,3.6385331129152823
12103140756,502,859,0.5844004656577415,True,3.635315792072257
12602150051,447,751,0.5952063914780293,True,3.633611950585218
11903137323,638,1135,0.5621145374449339,True,3.631206204310896
12602172313,508,874,0.5812356979405034,True,3.6225212727776492
40101100150,540,941,0.5738575982996812,True,3.6115264724517533
11903137409,470,803,0.5853051058530511,True,3.6024698682287877
12602150039,556,976,0.569672131147541,True,3.60178921454874
12001167302,513,891,0.5757575757575758,True,3.5940073346560046
11903166420,613,1096,0.5593065693430657,True,3.5907453384618595
12502171227,311,500,0.622,True,3.5721479828174982
80101100216,1440,2933,0.49096488237299696,True,3.5708330508828205
11903137462,520,912,0.5701754385964912,True,3.566875023806744
12003167710,515,902,0.5709534368070953,True,3.566236124415748
30501111031,542,958,0.5657620041753654,True,3.5626651893571952
12101139928,589,1055,0.5582938388625592,True,3.5619831035393
12502171222,503,879,0.5722411831626849,True,3.5608144059612044
