SA1_CODE_2021,Philippines_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
70102102803,114,1018,0.11198428290766209,True,400,1942,2200,3.0,0.18181818181818182,0.2037062937062937,Affordable,Affordable
50604113620,114,934,0.12205567451820129,True,330,1600,1854,3.7,0.1779935275080906,0.19915359721184964,Affordable,Affordable
12405147029,114,802,0.14214463840399003,True,420,2167,2234,3.2,0.18800358102059087,0.22384821981957165,Affordable,Affordable
70104104319,114,1054,0.10815939278937381,True,505,2167,2773,3.4,0.18211323476379374,0.18033787345002636,Affordable,Affordable
40402110101,114,805,0.14161490683229813,True,285,1504,1368,2.6,0.20833333333333334,0.25371120107962214,Affordable,Affordable
11602162835,113,1122,0.10071301247771836,True,570,2817,3318,3.6,0.1717902350813743,0.19592432883572125,Affordable,Affordable
12504171803,113,1114,0.10143626570915619,True,410,1990,2008,2.7,0.20418326693227093,0.22870058228623966,Affordable,Affordable
11603131530,113,879,0.1285551763367463,True,423,1863,2141,3.6,0.1975712283979449,0.20080480005748572,Affordable,Affordable
11601156011,113,563,0.20071047957371227,True,387,1600,1768,2.7,0.21889140271493213,0.20884093282283328,Affordable,Affordable
50102101513,113,1102,0.10254083484573502,True,318,1387,1338,2.8,0.23766816143497757,0.2392204208347706,Affordable,Affordable
12602172420,113,921,0.12269272529858849,True,360,1687,1274,1.8,0.282574568288854,0.3055790363482671,Affordable,Moderately_Affordable
21301133606,113,1021,0.11067580803134182,True,301,1800,1465,2.6,0.2054607508532423,0.28353898661065896,Affordable,Affordable
11504162521,113,1013,0.11154985192497532,True,520,2650,1984,2.1,0.2620967741935484,0.30823511166253104,Affordable,Moderately_Affordable
21301157013,112,1020,0.10980392156862745,True,415,1950,2166,3.9,0.19159741458910434,0.2077562326869806,Affordable,Affordable
50601130833,112,643,0.17418351477449456,True,377,1733,1974,2.7,0.19098277608915906,0.20259527706336217,Affordable,Affordable
