SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
21005144339,365,1384,0.26372832369942195,True,356,2186,2100,3.7,0.16952380952380952,0.24021978021978022,Affordable,Affordable
12702151904,362,1089,0.33241505968778695,True,450,1949,1470,2.9,0.30612244897959184,0.30596546310832023,Moderately_Affordable,Moderately_Affordable
21005154515,361,682,0.5293255131964809,True,369,1728,1805,4.3,0.20443213296398893,0.22092478158960152,Affordable,Affordable
12702151018,361,958,0.3768267223382046,True,485,1811,1571,3.2,0.30872056015276894,0.26602360084218774,Moderately_Affordable,Affordable
12701159701,360,1307,0.2754399387911247,True,560,2530,2339,3.8,0.2394185549380077,0.24961357582135693,Affordable,Affordable
21005144226,359,1541,0.23296560674886438,True,400,1891,2033,3.6,0.19675356615838663,0.21465057323394757,Affordable,Affordable
12702151007,358,913,0.39211391018619934,True,471,2081,1235,3.1,0.3813765182186235,0.38885082528807224,Moderately_Affordable,Moderately_Affordable
12701159504,358,1166,0.307032590051458,True,445,2080,1692,3.7,0.26300236406619387,0.28368794326241137,Affordable,Affordable
12702152004,356,1020,0.34901960784313724,True,480,1733,1444,3.3,0.33240997229916897,0.2769550394204134,Moderately_Affordable,Affordable
12703173211,356,1372,0.2594752186588921,True,420,1975,1507,3.2,0.278699402786994,0.30243479148588637,Affordable,Moderately_Affordable
21005154319,355,1152,0.3081597222222222,True,392,1800,1726,3.6,0.22711471610660486,0.24066316070951066,Affordable,Affordable
21005144341,353,1213,0.29101401483924155,True,415,1950,1818,3.7,0.22827282728272827,0.24752475247524752,Affordable,Affordable
12702151538,353,828,0.42632850241545894,True,420,2431,1412,3.2,0.29745042492917845,0.3973087818696884,Affordable,Moderately_Affordable
21005144340,351,1059,0.3314447592067989,True,411,2000,1846,3.7,0.2226435536294691,0.2500208350695891,Affordable,Affordable
21005144349,351,1383,0.25379609544468545,True,381,2040,1855,3.5,0.20539083557951482,0.25378395189715947,Affordable,Affordable
12702151717,350,1051,0.3330161750713606,True,438,2300,1483,3.2,0.29534726904922454,0.35790238082888115,Affordable,Moderately_Affordable
12703173223,350,1027,0.34079844206426485,True,423,1885,1309,3.2,0.32314744079449964,0.33231474407944994,Moderately_Affordable,Moderately_Affordable
12702151604,346,963,0.3592938733125649,True,415,2167,1224,3.2,0.33905228758169936,0.40855957767722473,Moderately_Affordable,Expensive
12702151719,346,668,0.5179640718562875,True,500,2167,1671,3.9,0.2992220227408737,0.2992680568982185,Affordable,Affordable
21005154205,346,1384,0.25,True,415,2000,2008,3.4,0.20667330677290838,0.22984983144345694,Affordable,Affordable
12702151617,341,752,0.45345744680851063,True,470,2306,1317,3.4,0.3568716780561883,0.4040651831084633,Moderately_Affordable,Expensive
12702151619,339,1281,0.2646370023419204,True,450,1967,1512,3.6,0.2976190476190476,0.3002136752136752,Affordable,Moderately_Affordable
12702151601,339,959,0.3534932221063608,True,460,2131,1547,3.6,0.297349709114415,0.31788573417532695,Affordable,Moderately_Affordable
12702151406,339,967,0.3505687693898656,True,400,2167,1625,3.3,0.24615384615384617,0.30773964497041423,Affordable,Moderately_Affordable
12703173210,338,1011,0.334322453016815,True,400,2075,1339,2.9,0.29873039581777444,0.35761475268570114,Affordable,Moderately_Affordable
12702152026,338,904,0.37389380530973454,True,430,2550,1437,3.5,0.2992345163535143,0.40950698570740324,Affordable,Expensive
21005144526,335,1686,0.19869513641755635,True,401,2000,1758,3.3,0.22810011376564276,0.26253609871357314,Affordable,Affordable
12702151415,334,886,0.37697516930022573,True,480,2071,1958,3.5,0.24514811031664965,0.24408737330085645,Affordable,Affordable
12702151508,332,520,0.6384615384615384,True,300,1300,719,2.1,0.4172461752433936,0.4172461752433936,Expensive,Expensive
12702151907,332,731,0.454172366621067,True,485,1967,1821,3.2,0.2663371773750686,0.2492713217589659,Affordable,Affordable
12702151524,331,539,0.614100185528757,True,360,2167,830,2.5,0.43373493975903615,0.6025023169601483,Expensive,Very_Expensive
12703173127,331,1019,0.32482826300294404,True,400,1517,1300,2.8,0.3076923076923077,0.26928994082840235,Moderately_Affordable,Affordable
12702151707,329,759,0.43346508563899866,True,460,1700,1199,3.4,0.38365304420350294,0.32719574003977675,Moderately_Affordable,Moderately_Affordable
12702151928,327,1071,0.30532212885154064,True,420,2035,1805,3.3,0.23268698060941828,0.26017472831877264,Affordable,Affordable
12701159740,325,1016,0.3198818897637795,True,365,2598,2463,3.5,0.14819326025172555,0.24341797057996814,Affordable,Affordable
12703159909,323,1424,0.22682584269662923,True,425,2400,1413,3.4,0.3007784854918613,0.39196472317491426,Moderately_Affordable,Moderately_Affordable
12702151703,321,515,0.6233009708737864,True,400,1704,1213,3.2,0.3297609233305853,0.324180353858837,Moderately_Affordable,Moderately_Affordable
12702151621,321,1202,0.2670549084858569,True,475,1950,1625,3.4,0.2923076923076923,0.27692307692307694,Affordable,Affordable
21005154302,321,1203,0.26683291770573564,True,400,1898,1882,3.5,0.21253985122210414,0.23273113708820403,Affordable,Affordable
21005154513,320,903,0.35437430786268,True,382,1650,1625,3.5,0.23507692307692307,0.23431952662721894,Affordable,Affordable
12702152014,320,606,0.528052805280528,True,440,2167,1515,3.2,0.29042904290429045,0.3300837776085301,Affordable,Moderately_Affordable
12701159429,320,864,0.37037037037037035,True,425,2167,1286,3.6,0.33048211508553654,0.38886230410336164,Moderately_Affordable,Moderately_Affordable
12702151331,320,1114,0.2872531418312388,True,450,2393,1662,3.9,0.27075812274368233,0.3322688142182727,Affordable,Moderately_Affordable
12702152025,320,775,0.4129032258064516,True,370,1900,1362,3.0,0.27165932452276065,0.32192477126397834,Affordable,Moderately_Affordable
21005144337,319,964,0.3309128630705394,True,420,2164,2190,3.6,0.1917808219178082,0.2280295047418335,Affordable,Affordable
21005154309,319,1366,0.2335285505124451,True,410,2000,1899,3.6,0.21590310689836756,0.24304289707133309,Affordable,Affordable
12702151602,318,954,0.3333333333333333,True,420,2037,1678,3.7,0.25029797377830754,0.28014119372879803,Affordable,Affordable
21005144342,317,1383,0.2292118582791034,True,436,2300,2327,3.8,0.18736570691877955,0.22809163333443522,Affordable,Affordable
12702151924,316,709,0.44569816643159377,True,450,2182,1510,3.2,0.2980132450331126,0.33346917982679575,Affordable,Moderately_Affordable
12702151625,315,1253,0.25139664804469275,True,400,1717,1437,3.4,0.2783576896311761,0.27573470370965153,Affordable,Affordable
12702151903,314,779,0.4030808729139923,True,450,2000,1794,3.1,0.2508361204013378,0.2572678157962439,Affordable,Affordable
21005154218,312,1336,0.23353293413173654,True,394,1806,1758,3.7,0.2241183162684869,0.23707009713835653,Affordable,Affordable
12702151618,310,860,0.36046511627906974,True,510,2000,2028,3.8,0.2514792899408284,0.2275830678197542,Affordable,Affordable
12703173217,310,957,0.3239289446185998,True,380,1753,1279,2.8,0.2971071149335418,0.31629277680880497,Affordable,Moderately_Affordable
21005154522,310,712,0.4353932584269663,True,410,1632,1843,3.9,0.2224633749321758,0.2043490963729705,Affordable,Affordable
12702151422,309,845,0.3656804733727811,True,350,2442,1481,3.2,0.2363268062120189,0.38051212798005507,Affordable,Moderately_Affordable
12702151632,309,683,0.45241581259150804,True,350,2369,1269,3.0,0.27580772261623326,0.43080560101836696,Affordable,Expensive
