SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster,anchor_strength
11602130924,1259,1587,0.7933207309388783,True,5.663411186472221
12504171907,759,891,0.8518518518518519,True,5.650604591312914
12504171709,908,1097,0.8277119416590701,True,5.638659385153282
11601130333,1214,1540,0.7883116883116883,True,5.598983258383392
12504171904,661,770,0.8584415584415584,True,5.575805886330341
12504158942,646,750,0.8613333333333333,True,5.574847608330109
21305158219,1087,1369,0.7940102264426588,True,5.551796067641395
11601162620,1018,1272,0.800314465408805,True,5.5434397954565515
21305158315,831,1022,0.8131115459882583,True,5.467225790922138
21305158413,1004,1272,0.789308176100629,True,5.456284427496187
12504171908,774,945,0.819047619047619,True,5.449011624041789
21305158409,833,1031,0.8079534432589719,True,5.434483437599259
12504171715,992,1262,0.786053882725832,True,5.424346132117917
12504149157,674,816,0.8259803921568627,True,5.3810249431961825
21305158715,834,1043,0.7996164908916586,True,5.379365348538459
12504149331,1260,1685,0.7477744807121661,True,5.338855800187417
11601130328,1100,1446,0.7607192254495159,True,5.328057780356119
21305157902,918,1177,0.7799490229396772,True,5.321815344369177
21305158604,576,690,0.8347826086956521,True,5.3074161529111095
11601162715,488,574,0.8501742160278746,True,5.264586924849717
21305158347,670,829,0.8082026537997588,True,5.260404489470479
12504158824,796,1013,0.7857847976307996,True,5.24971404177395
21305158303,571,693,0.823953823953824,True,5.23139735076171
21305158614,1006,1331,0.7558226897069872,True,5.226310501934541
21305158306,915,1195,0.7656903765690377,True,5.222020898474334
12504171920,597,731,0.8166894664842681,True,5.221578221762691
21305146627,724,917,0.7895310796074155,True,5.19998721713717
12504171913,598,743,0.8048452220726783,True,5.1471957411481
21305146635,778,1011,0.7695351137487636,True,5.123573287524671
12504149163,718,924,0.7770562770562771,True,5.111368457623065
21005144510,696,896,0.7767857142857143,True,5.085449381572907
21305157906,941,1268,0.7421135646687698,True,5.081997605186403
21203130051,246,267,0.9213483146067416,True,5.076065658466226
12504171724,762,997,0.7642928786359077,True,5.072809046979695
11602163206,1151,1603,0.718028696194635,True,5.061567262810648
21305158313,1022,1401,0.729478943611706,True,5.055650000572849
11602162917,836,1113,0.7511230907457322,True,5.054926256001079
11601162706,563,706,0.7974504249291785,True,5.051891704806526
21305158342,852,1150,0.7408695652173913,True,4.999950551706879
12504149115,812,1090,0.744954128440367,True,4.991737303626443
21305157922,546,690,0.7913043478260869,True,4.988737748003481
21305158217,464,572,0.8111888111888111,True,4.982352021315617
11602163243,617,796,0.7751256281407035,True,4.981335902325873
12504171927,504,631,0.7987321711568938,True,4.9717550687080525
21305158603,1360,1979,0.6872157655381506,True,4.958931785551285
12504149332,855,1169,0.7313943541488451,True,4.938572430796569
21305158410,1225,1766,0.6936579841449604,True,4.932957158951185
11602156356,528,673,0.7845468053491828,True,4.91988394059611
12504171707,613,801,0.7652933832709113,True,4.913179639143818
21305158201,549,707,0.7765205091937766,True,4.8997809543795725
11601130334,783,1066,0.7345215759849906,True,4.895152216636369
21305136325,432,537,0.8044692737430168,True,4.883721971130495
12504171713,654,870,0.7517241379310344,True,4.87465683230512
21305158611,707,953,0.7418677859391396,True,4.8684658701379435
21305158331,1066,1533,0.695368558382257,True,4.848531157134813
21305158205,434,544,0.7977941176470589,True,4.846875326272958
12504158941,944,1337,0.706058339566193,True,4.837336253967161
11602163239,712,967,0.7362978283350569,True,4.837094903138551
21305158601,409,510,0.8019607843137255,True,4.8247221143463275
21305158801,974,1391,0.700215672178289,True,4.819190579979801
21305157903,576,760,0.7578947368421053,True,4.818575191458771
21305158407,970,1388,0.6988472622478387,True,4.806899621212238
21305158345,725,995,0.7286432160804021,True,4.799973628892439
11602163207,533,700,0.7614285714285715,True,4.782072831665406
12504171706,655,889,0.7367829021372329,True,4.778892369806949
12504158823,1128,1665,0.6774774774774774,True,4.762048511928419
21305146631,596,800,0.745,True,4.7619782494774885
80104112115,414,526,0.7870722433460076,True,4.744690698432526
12504149111,632,863,0.7323290845886443,True,4.723867099414971
12504171810,967,1411,0.6853295535081503,True,4.711799736638165
12504158927,497,656,0.7576219512195121,True,4.70528694859947
21305158828,454,593,0.7655986509274874,True,4.685691447223831
21304157209,997,1472,0.6773097826086957,True,4.677334250327806
21005144554,852,1232,0.6915584415584416,True,4.667161635115999
12504149105,643,896,0.7176339285714286,True,4.6414400456306915
12504171814,291,356,0.8174157303370787,True,4.640267855224916
21305158718,862,1260,0.6841269841269841,True,4.624982114058662
21204131013,514,695,0.739568345323741,True,4.617988182649152
21305158814,985,1476,0.6673441734417345,True,4.600441401953656
11602162902,1752,2856,0.6134453781512605,True,4.581874988228993
12504171725,1334,2108,0.6328273244781784,True,4.554259907729138
21305157912,731,1061,0.6889726672950047,True,4.544312493596342
21304157205,795,1169,0.6800684345594525,True,4.5425845618017835
21305158914,488,668,0.7305389221556886,True,4.52376181865829
21305158834,742,1085,0.6838709677419355,True,4.520863101548919
11601130319,705,1024,0.6884765625,True,4.516141350031968
12504158826,556,780,0.7128205128205128,True,4.506854196666116
11602156334,978,1495,0.6541806020066889,True,4.505035415648721
21305158206,357,467,0.7644539614561028,True,4.495396736927302
11602163202,857,1289,0.664856477889837,True,4.490842291125821
21305158716,727,1068,0.6807116104868914,True,4.4860944401114144
21305158332,880,1331,0.6611570247933884,True,4.483343884916483
12504148956,577,821,0.702801461632156,True,4.469517810260612
20802118207,717,1055,0.6796208530805687,True,4.469505858774954
20904143726,961,1479,0.649763353617309,True,4.463233865510307
21305158404,359,474,0.7573839662447257,True,4.458040817068789
12504158936,745,1106,0.6735985533453888,True,4.455669595073961
21203155702,729,1079,0.6756255792400371,True,4.454429532335344
21305158825,812,1224,0.6633986928104575,True,4.445256258948383
80110113901,607,878,0.6913439635535308,True,4.431635709969776
21305158209,507,713,0.7110799438990182,True,4.43037039820798
11602163211,912,1409,0.6472675656493967,True,4.412252039107601
11602163217,731,1095,0.6675799086757991,True,4.403210553155907
21305157919,907,1413,0.6418966737438075,True,4.372115110680378
12504171722,402,552,0.7282608695652174,True,4.368790757069867
11602162911,814,1249,0.6517213771016813,True,4.368610988132956
11602163213,937,1470,0.6374149659863946,True,4.3623086409651926
12504158825,462,656,0.7042682926829268,True,4.322606553335122
21005144527,679,1032,0.6579457364341085,True,4.291183149183656
12003139607,604,906,0.6666666666666666,True,4.270152305353895
12504148942,659,1002,0.6576846307385229,True,4.2698463585613675
21305146618,875,1393,0.628140703517588,True,4.255883222949995
12504171807,471,682,0.6906158357771262,True,4.252107187992371
11602162921,525,774,0.6782945736434108,True,4.24971981484147
21305158616,847,1344,0.6302083333333334,True,4.249419567348022
21305158333,602,907,0.6637265711135611,True,4.2491225495366765
21305158615,974,1578,0.6172370088719898,True,4.248095118347214
11601130332,817,1291,0.632842757552285,True,4.244389255619244
12504171701,717,1112,0.6447841726618705,True,4.240403490114727
12504158947,608,921,0.6601520086862106,True,4.232774708759628
11602130922,927,1497,0.6192384769539078,True,4.231276163188248
21304135926,523,774,0.6757105943152455,True,4.230956267312539
21305158805,418,597,0.7001675041876047,True,4.2275210126088
20904122529,621,947,0.6557550158394931,True,4.218432732408691
11602162903,726,1135,0.639647577092511,True,4.214590856995009
12504171721,447,648,0.6898148148148148,True,4.211176813101077
20802118211,406,580,0.7,True,4.206169229809816
21203130617,837,1340,0.6246268656716418,True,4.204374738883212
12504171917,262,348,0.7528735632183908,True,4.195127461007398
30303106036,578,877,0.6590649942987458,True,4.192511781114244
21305158310,614,941,0.6524973432518597,True,4.190091469110735
21305158702,805,1286,0.6259720062208398,True,4.18905708609474
11602163235,688,1075,0.64,True,4.182554413448742
11602156328,456,668,0.6826347305389222,True,4.180921596179278
21305158711,674,1052,0.6406844106463878,True,4.1738748608822105
21305158339,664,1038,0.6396917148362236,True,4.157859918107406
12504149113,422,614,0.6872964169381107,True,4.156337230549721
11602162916,558,851,0.6556991774383079,True,4.148051005899583
12504158901,605,936,0.6463675213675214,True,4.141199136294802
12003139631,824,1341,0.6144668158090977,True,4.126380246338387
30306107816,553,849,0.6513545347467609,True,4.114713865454944
21305158821,532,814,0.6535626535626535,True,4.1034071224278
11601130418,1022,1727,0.5917776491024899,True,4.101311899711964
12504158809,657,1040,0.6317307692307692,True,4.099430422962244
21305158512,935,1562,0.5985915492957746,True,4.095333207750671
21305158218,864,1436,0.6016713091922006,True,4.068940316148429
11601162716,505,773,0.6532988357050453,True,4.067789156520273
12504171919,348,502,0.6932270916334662,True,4.058894479933157
21305146614,847,1409,0.6011355571327183,True,4.053385307676184
21304135909,374,547,0.6837294332723949,True,4.052413772784156
12601172012,645,1031,0.6256062075654704,True,4.048172337477961
12504171710,743,1217,0.610517666392769,True,4.036767862679529
12504158903,748,1229,0.6086248982912937,True,4.028329340659789
21305146636,712,1163,0.6122098022355976,True,4.021900921182269
21304135949,819,1369,0.5982468955441929,True,4.013820492820706
11602162915,456,696,0.6551724137931034,True,4.012723600930686
11602162920,678,1103,0.614687216681777,True,4.008142451935445
12504171911,387,576,0.671875,True,4.005050462559387
21305158703,342,499,0.685370741482966,True,4.0010096451518065
21305158610,864,1463,0.5905673274094326,True,3.99384709090167
21305158830,535,843,0.6346381969157769,True,3.988151573158812
11601156104,990,1713,0.5779334500875657,True,3.986997891994564
12403146250,1057,1847,0.5722793719545208,True,3.9854311544808256
21305158216,754,1254,0.6012759170653907,True,3.9844857918132095
12504158827,596,957,0.6227795193312434,True,3.980755067483794
12504158907,834,1412,0.5906515580736544,True,3.97356803011729
21305157920,803,1354,0.5930576070901034,True,3.9673177349709823
12504158923,821,1389,0.5910727141828653,True,3.967126612196633
21305158818,721,1201,0.6003330557868443,True,3.9514072648973584
21305158348,523,829,0.6308805790108565,True,3.950253499276122
12504158815,872,1495,0.5832775919732441,True,3.9499182640081156
21203130640,839,1432,0.5858938547486033,True,3.945058789980129
21203155714,836,1430,0.5846153846153846,True,3.934358687363078
21304135951,568,916,0.6200873362445415,True,3.933759919851262
11601130329,511,811,0.6300863131935882,True,3.930682963495917
21005154206,494,780,0.6333333333333333,True,3.929553249626837
21305158804,819,1402,0.5841654778887304,True,3.919343976227922
21305158819,626,1029,0.608357628765792,True,3.918398964466675
20604111815,780,1327,0.587792012057272,True,3.9150328687829354
11602156322,1101,1975,0.5574683544303798,True,3.9050000357842323
21305158351,623,1031,0.6042677012609118,True,3.8891577880641646
21305158319,528,855,0.6175438596491228,True,3.8726104000247745
21305158208,602,1001,0.6013986013986014,True,3.850104048381384
11602156337,470,752,0.625,True,3.846786308760261
11602162919,431,680,0.6338235294117647,True,3.8463109243135465
11301125604,546,896,0.609375,True,3.8417734889758948
21304135924,569,940,0.6053191489361702,True,3.8411352013951823
21305158327,674,1145,0.588646288209607,True,3.8348614442341353
12003139614,661,1120,0.5901785714285714,True,3.8333665468521096
12504149325,579,964,0.6006224066390041,True,3.8217772530600924
20904143713,430,683,0.6295754026354319,True,3.8190724432571175
11602162907,362,560,0.6464285714285715,True,3.81031040357835
11602163116,661,1127,0.5865128660159716,True,3.809556816747438
21305158709,542,897,0.6042363433667781,True,3.80494230925774
21203155631,363,564,0.6436170212765957,True,3.7955086062981147
12102157903,640,1090,0.5871559633027523,True,3.79480628663232
11601130604,3006,6344,0.47383354350567464,True,3.794789838912912
21305158220,718,1245,0.576706827309237,True,3.7934975540913345
21305158322,568,950,0.5978947368421053,True,3.792972722719743
21305157915,421,671,0.6274217585692996,True,3.7927678646932357
21005144230,487,797,0.6110414052697616,True,3.782539024655562
12504149340,739,1294,0.5710973724884081,True,3.7730405622878527
21305158808,596,1012,0.5889328063241107,True,3.7644096833814142
12504149330,423,680,0.6220588235294118,True,3.763290075828115
11602163221,425,684,0.6213450292397661,True,3.7618957926381325
21005144525,738,1296,0.5694444444444444,True,3.7613502049843923
12504158806,476,784,0.6071428571428571,True,3.7445635837536355
21305158203,622,1069,0.5818521983161834,True,3.7439550371242247
12504171816,418,676,0.6183431952662722,True,3.733476397229961
21305158349,657,1142,0.5753064798598949,True,3.7332816461302394
11602163232,979,1808,0.5414823008849557,True,3.7294878139710512
30501111102,783,1400,0.5592857142857143,True,3.727308759238835
40203103817,849,1537,0.5523747560182173,True,3.7258982828316354
50601130703,597,1030,0.579611650485437,True,3.7057996894257546
21305158822,799,1444,0.5533240997229917,True,3.6987567662096077
40203103806,671,1184,0.566722972972973,True,3.689512961563373
21301133921,700,1245,0.5622489959839357,True,3.6841409806620184
11601162630,571,987,0.5785207700101317,True,3.6731087781943916
21305158328,801,1461,0.5482546201232033,True,3.6662381895284586
50601130824,763,1384,0.5513005780346821,True,3.6598462594899246
21305158520,721,1297,0.5558982266769468,True,3.6589361026536062
20904143735,745,1347,0.5530809205642168,True,3.658478524240387
21304135934,445,750,0.5933333333333334,True,3.6195225781985716
11602162906,542,944,0.5741525423728814,True,3.615501325640035
21203155609,479,818,0.5855745721271394,True,3.6152121561968555
12601172011,369,604,0.6109271523178808,True,3.612719551457817
50603112735,735,1350,0.5444444444444444,True,3.594003064641277
21203155735,684,1244,0.5498392282958199,True,3.590130615250291
21305158305,588,1045,0.5626794258373206,True,3.5890091827628066
21204131012,611,1094,0.5585009140767825,True,3.583750845169133
21304135943,432,733,0.5893587994542974,True,3.5778426991774563
12003139640,691,1265,0.5462450592885375,True,3.5722165180488608
12504171809,391,655,0.5969465648854961,True,3.5645242432947644
21304157212,785,1474,0.5325644504748982,True,3.5505841804999503
12102157925,523,923,0.5666305525460456,True,3.5479524928493014
30204104520,290,464,0.625,True,3.545827041982183
11602163109,774,1453,0.5326909841706814,True,3.5439201546589754
21305158824,917,1766,0.5192525481313703,True,3.5424433789348755
21203155608,508,896,0.5669642857142857,True,3.5335754379549837
21305158337,524,930,0.5634408602150538,True,3.529054504944098
21305158213,513,908,0.5649779735682819,True,3.526718651077643
21203155512,646,1186,0.5446880269814502,True,3.5254095330923962
21305158713,487,856,0.5689252336448598,True,3.521826638610377
12504171905,266,422,0.6303317535545023,True,3.52182024439447
21305158301,662,1226,0.5399673735725938,True,3.508046528142774
11602130906,607,1110,0.5468468468468468,True,3.505383921940057
21305158321,545,980,0.5561224489795918,True,3.505027899776503
21305158521,529,947,0.5586061246040127,True,3.5040675147443747
21305158338,540,972,0.5555555555555556,True,3.496344043803601
21203130421,849,1639,0.5179987797437462,True,3.494024198116061
20904143719,840,1622,0.5178791615289766,True,3.487704682106829
11602156340,665,1240,0.5362903225806451,True,3.4865787346043215
21305158202,501,895,0.5597765363128492,True,3.4810264357157052
21305158916,578,1057,0.5468306527909177,True,3.4785551864117235
30306107812,623,1153,0.5403295750216826,True,3.4776423933166987
11602162904,667,1249,0.5340272217774219,True,3.4734669429535163
21305158904,764,1461,0.5229295003422314,True,3.4721869521173674
21203155524,465,826,0.562953995157385,True,3.458893849719643
21304157208,879,1725,0.5095652173913043,True,3.454812380677165
21305146619,421,737,0.5712347354138398,True,3.4531170111386174
11602163209,769,1482,0.5188933873144399,True,3.448768087663902
21305158704,671,1267,0.5295974743488555,True,3.4478163744996313
11602162905,476,853,0.5580304806565064,True,3.441662191867351
