SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster,anchor_strength
12503148130,357,737,0.4843962008141113,True,2.848507837374559
12003167607,340,699,0.4864091559370529,True,2.8366810332995644
11903137404,271,540,0.5018518518518519,True,2.8132821480855843
11904138146,308,629,0.48966613672496023,True,2.80742307358427
11904138132,397,853,0.4654161781946073,True,2.786191613244926
12302170308,442,978,0.45194274028629855,True,2.753944619999949
12503148132,287,594,0.4831649831649832,True,2.7361442050488494
12003167804,477,1077,0.4428969359331476,True,2.7325016893207286
11904138133,500,1139,0.43898156277436345,True,2.7289754614068764
70101100504,426,951,0.4479495268138801,True,2.7131335327396364
12003168014,253,520,0.48653846153846153,True,2.6941260952994033
12102157706,432,976,0.4426229508196721,True,2.687047846820774
12501158304,278,588,0.47278911564625853,True,2.6623756383441153
