SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12503148313,278,1096,0.25364963503649635,True,438,2015,1468,3.5,0.29836512261580383,0.3167574931880109,Affordable,Moderately_Affordable
11901165510,277,753,0.36786188579017265,True,500,2745,1678,3.8,0.29797377830750893,0.377509856055744,Affordable,Moderately_Affordable
12503148323,277,968,0.28615702479338845,True,432,1950,1521,3.3,0.28402366863905326,0.2958579881656805,Affordable,Affordable
12503148339,277,1071,0.2586367880485528,True,300,2114,1194,3.3,0.25125628140703515,0.40858136838036335,Affordable,Expensive
11902157403,277,1125,0.24622222222222223,True,430,1997,1578,3.2,0.27249683143219267,0.292044457443697,Affordable,Affordable
11901135414,277,1189,0.23296888141295205,True,460,2600,1726,3.7,0.2665121668597914,0.34762456546929316,Affordable,Moderately_Affordable
11901165524,276,1388,0.1988472622478386,True,500,2167,1668,3.2,0.2997601918465228,0.2998063087991146,Affordable,Affordable
12503148110,275,1083,0.25392428439519854,True,500,2200,1433,3.9,0.34891835310537334,0.3542863277685329,Moderately_Affordable,Moderately_Affordable
11902157410,275,953,0.2885624344176285,True,420,1915,1389,3.4,0.3023758099352052,0.31815916265160327,Moderately_Affordable,Moderately_Affordable
11901135421,274,1296,0.21141975308641975,True,195,2225,1085,3.2,0.17972350230414746,0.47323644097837647,Affordable,Expensive
11901165626,273,929,0.2938643702906351,True,500,2167,1550,3.4,0.3225806451612903,0.3226302729528536,Moderately_Affordable,Moderately_Affordable
11901165520,272,909,0.2992299229922992,True,550,2167,1656,3.8,0.3321256038647343,0.3019788182831661,Moderately_Affordable,Moderately_Affordable
11901165613,271,1057,0.2563859981078524,True,420,2167,1625,3.7,0.25846153846153846,0.30773964497041423,Affordable,Moderately_Affordable
11904166812,268,1413,0.18966737438075018,True,490,2550,1978,3.1,0.24772497472194135,0.2975033055922844,Affordable,Affordable
11902136623,268,998,0.2685370741482966,True,510,2147,1441,3.7,0.35392088827203333,0.34383174077830564,Moderately_Affordable,Moderately_Affordable
12503171421,267,1233,0.21654501216545013,True,540,2052,1912,3.6,0.2824267782426778,0.24766655938204055,Affordable,Affordable
11902136631,266,815,0.3263803680981595,True,495,2080,1649,3.7,0.3001819284414797,0.2910855063674955,Moderately_Affordable,Affordable
12503148314,266,1764,0.15079365079365079,True,190,2400,778,2.9,0.2442159383033419,0.7118845165117659,Affordable,Very_Expensive
11901135412,264,1533,0.17221135029354206,True,380,2500,1125,3.2,0.3377777777777778,0.5128205128205128,Moderately_Affordable,Very_Expensive
11901165612,264,938,0.2814498933901919,True,500,2817,1949,3.9,0.2565418163160595,0.3335438291826183,Affordable,Moderately_Affordable
12503148401,264,1829,0.1443411700382723,True,530,2167,1461,3.6,0.36276522929500343,0.34228399936818826,Moderately_Affordable,Moderately_Affordable
12503147930,263,1297,0.2027756360832691,True,460,2167,1690,3.4,0.27218934911242604,0.29590350477924443,Affordable,Affordable
12503148331,260,1020,0.2549019607843137,True,340,2000,1174,3.2,0.28960817717206133,0.39313327217926874,Affordable,Moderately_Affordable
21005124318,258,1074,0.24022346368715083,True,368,1670,1012,3.1,0.36363636363636365,0.38081483733657645,Moderately_Affordable,Moderately_Affordable
11901135419,258,1378,0.18722786647314948,True,400,2100,1093,3.1,0.36596523330283626,0.44338095573228237,Moderately_Affordable,Expensive
12503171607,258,1292,0.1996904024767802,True,500,2167,2139,3.3,0.2337540906965872,0.23379005286438667,Affordable,Affordable
12503171405,258,1416,0.18220338983050846,True,490,2717,1593,3.4,0.3075957313245449,0.3935969868173258,Moderately_Affordable,Moderately_Affordable
12503148126,257,1252,0.20527156549520767,True,423,2000,1612,3.5,0.26240694789081886,0.2863141820958198,Affordable,Affordable
11901135625,257,1013,0.25370187561697927,True,484,2000,1487,3.6,0.32548755884330866,0.310382287517459,Moderately_Affordable,Moderately_Affordable
11901135410,257,1185,0.2168776371308017,True,250,2435,992,3.3,0.25201612903225806,0.5664547146401985,Affordable,Very_Expensive
11901165624,256,856,0.29906542056074764,True,550,2084,1678,3.9,0.32777115613825986,0.286604932612084,Moderately_Affordable,Affordable
12503148322,256,2054,0.124634858812074,True,380,1950,1294,2.7,0.2936630602782071,0.34775888717156106,Affordable,Moderately_Affordable
12503148105,256,873,0.293241695303551,True,410,2000,1652,3.3,0.24818401937046006,0.2793816353138387,Affordable,Affordable
12503148405,256,1101,0.23251589464123523,True,402,2383,1388,3.1,0.2896253602305475,0.396198182221237,Affordable,Moderately_Affordable
12503148311,255,1234,0.206645056726094,True,300,2112,1263,3.5,0.2375296912114014,0.3858943906449845,Affordable,Moderately_Affordable
11902136615,255,869,0.29344073647871116,True,420,2103,1446,3.4,0.29045643153526973,0.33562081072454514,Affordable,Moderately_Affordable
11901157110,254,1310,0.19389312977099238,True,262,2450,1181,3.1,0.2218458933107536,0.4787337979547971,Affordable,Expensive
11901165516,254,959,0.264859228362878,True,500,2550,1531,3.7,0.32658393207054215,0.3843641662060996,Moderately_Affordable,Moderately_Affordable
12503147926,254,1391,0.18260244428468728,True,450,2167,1601,3.7,0.2810743285446596,0.3123528563878345,Affordable,Moderately_Affordable
11901165602,254,1167,0.21765209940017138,True,550,2442,1455,3.5,0.37800687285223367,0.3873116574147502,Moderately_Affordable,Moderately_Affordable
12503148324,254,1146,0.22164048865619546,True,400,2491,1454,3.1,0.2751031636863824,0.39535498889006454,Affordable,Moderately_Affordable
12503171604,253,1158,0.21848013816925735,True,500,2329,1712,3.3,0.29205607476635514,0.31393781452192665,Affordable,Moderately_Affordable
11901165611,253,614,0.41205211726384366,True,450,2000,1890,4.2,0.23809523809523808,0.2442002442002442,Affordable,Affordable
11901165531,252,565,0.44601769911504424,True,143,2199,811,2.0,0.17632552404438964,0.6257232286825382,Affordable,Very_Expensive
12503148320,252,981,0.25688073394495414,True,450,2100,1357,3.5,0.3316138540899042,0.3571226120968199,Moderately_Affordable,Moderately_Affordable
11901165511,250,908,0.2753303964757709,True,450,2383,1481,3.4,0.3038487508440243,0.3713187555186205,Moderately_Affordable,Moderately_Affordable
11901135422,250,1306,0.19142419601837674,True,212,2383,846,3.2,0.25059101654846333,0.6500272776868522,Affordable,Very_Expensive
11901165507,249,837,0.2974910394265233,True,550,2492,1821,3.7,0.30203185063152116,0.3158028133316436,Moderately_Affordable,Moderately_Affordable
11901165617,248,746,0.3324396782841823,True,510,2084,1812,3.7,0.2814569536423841,0.2654100866021396,Affordable,Affordable
12503148124,247,1271,0.1943351691581432,True,330,2000,1190,3.1,0.2773109243697479,0.3878474466709761,Affordable,Moderately_Affordable
11901157124,246,1180,0.20847457627118643,True,425,2000,1600,3.5,0.265625,0.28846153846153844,Affordable,Affordable
11901135415,245,2132,0.1149155722326454,True,510,2500,1970,3.6,0.25888324873096447,0.29285435376805935,Affordable,Affordable
