SA1_CODE_2021,New_Zealand_population,total_population,concentration_ratio,is_cluster,anchor_strength
31106133608,205,827,0.2478839177750907,True,1.3206948181401017
31004130241,269,1141,0.2357581069237511,True,1.319873362813815
30909126518,270,1146,0.2356020942408377,True,1.31987092638527
31106133104,306,1330,0.23007518796992482,True,1.317605572001265
51103127932,200,805,0.2484472049689441,True,1.3175912815053603
30906124807,291,1254,0.23205741626794257,True,1.3173328201435963
31103131314,259,1095,0.2365296803652968,True,1.3152662487972802
30907125129,279,1203,0.23192019950124687,True,1.306821528914564
30907125136,210,861,0.24390243902439024,True,1.3053312520673332
30906124939,266,1140,0.23333333333333334,True,1.303691353626725
30907155505,256,1092,0.23443223443223443,True,1.3008823056164618
31103131134,223,928,0.24030172413793102,True,1.3004278766849933
30907155738,317,1407,0.22530206112295664,True,1.2982020528367562
30907155724,218,906,0.24061810154525387,True,1.2967082087196438
31103131313,328,1479,0.22177146720757268,True,1.28540023140706
31102131022,333,1507,0.22096881220968811,True,1.2840809228010892
30907125147,293,1297,0.2259059367771781,True,1.2839544115884607
30903123708,219,920,0.23804347826086958,True,1.2839178615773559
31105132327,229,972,0.23559670781893005,True,1.2811935820405471
31004156616,293,1300,0.22538461538461538,True,1.2809914398694104
31004130246,350,1606,0.21793275217932753,True,1.2772572716146033
31103131736,234,1001,0.23376623376623376,True,1.276266743566167
31102130713,246,1064,0.231203007518797,True,1.2737871530173708
30906124942,327,1488,0.21975806451612903,True,1.2730614582940962
30907125651,288,1282,0.22464898595943839,True,1.2729570094979568
30901122401,272,1200,0.22666666666666666,True,1.2714802735752575
31102130704,290,1296,0.22376543209876543,True,1.2694936323146087
31004129926,241,1044,0.23084291187739464,True,1.267082367819695
30907155709,306,1389,0.2203023758099352,True,1.2616381646952355
31103131912,271,1206,0.22470978441127695,True,1.2596785737696645
31004130441,315,1440,0.21875,True,1.259068609222137
30907125634,215,919,0.23394994559303592,True,1.2575460910251313
30910156124,283,1272,0.22248427672955975,True,1.2568079476412117
31103131743,204,866,0.23556581986143188,True,1.2539192098663225
31004156605,259,1155,0.22424242424242424,True,1.2469407293792396
31004130247,202,864,0.2337962962962963,True,1.2422078793593068
30905124414,256,1144,0.22377622377622378,True,1.2417512917248046
31106133402,260,1173,0.2216538789428815,True,1.233397532739898
31004130238,408,1990,0.2050251256281407,True,1.2329627053595293
31102130615,200,861,0.23228803716608595,True,1.2318942875863126
31103131723,267,1215,0.21975308641975308,True,1.2286366450999167
31004130305,216,952,0.226890756302521,True,1.2206489793747262
30909126313,234,1047,0.22349570200573066,True,1.2201938971439668
30906124711,200,870,0.22988505747126436,True,1.219150553576799
31105132815,259,1184,0.21875,True,1.2163991067846467
30907125134,216,956,0.22594142259414227,True,1.2155416614693926
31103131735,252,1148,0.21951219512195122,True,1.2146464731353093
30907155702,216,958,0.2254697286012526,True,1.2130039962053647
30907125128,237,1070,0.22149532710280373,True,1.2120823828599434
30906124931,264,1219,0.2165709598031173,True,1.2084074438559167
50705131327,251,1151,0.21807124239791487,True,1.2058094708647848
31004156601,207,918,0.22549019607843138,True,1.2035625081679442
50705131217,273,1280,0.21328125,True,1.1971749789405808
31103131745,249,1155,0.21558441558441557,True,1.1903409251495232
31004130236,271,1279,0.21188428459734168,True,1.1877813604114273
30903123802,249,1158,0.21502590673575128,True,1.187257140369343
31106133630,276,1312,0.21036585365853658,True,1.1831012436796535
31103131709,205,925,0.22162162162162163,True,1.1807725563263396
30906124603,280,1340,0.208955223880597,True,1.1781636622488423
30907155613,214,976,0.2192622950819672,True,1.177578420101762
30907155706,232,1080,0.21481481481481482,True,1.1709638159511504
30305107506,312,1532,0.20365535248041775,True,1.170245036193556
31104157119,239,1120,0.21339285714285713,True,1.1695291988202998
30907155626,243,1145,0.21222707423580786,True,1.1666479290360245
30909126514,251,1192,0.2105704697986577,True,1.1643344806756437
31004129933,320,1590,0.20125786163522014,True,1.1615478989947203
30907155521,223,1040,0.2144230769230769,True,1.1603817976573787
31105132328,228,1068,0.21348314606741572,True,1.1600080681745006
31004130250,233,1096,0.2125912408759124,True,1.1597534852904603
31004130243,220,1025,0.2146341463414634,True,1.1586300432525907
11603131325,217,1010,0.21485148514851485,True,1.1568667610150813
30906124808,250,1195,0.20920502092050208,True,1.1559524977263145
30907125137,209,968,0.2159090909090909,True,1.1544891259503625
31105132606,236,1125,0.20977777777777779,True,1.14707750516257
31004130004,209,975,0.21435897435897436,True,1.1462004860717445
30907155210,234,1116,0.20967741935483872,True,1.1447518013528075
30907125140,226,1077,0.20984215413184773,True,1.1383831977259027
30907125139,232,1111,0.20882088208820881,True,1.1382906581703351
31104157116,270,1329,0.20316027088036118,True,1.1381279771538897
30907125647,211,994,0.21227364185110664,True,1.1370620764142803
30903123810,228,1090,0.20917431192660552,True,1.1365950612939144
