SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12302143763,123,816,0.15073529411764705,True,400,2974,2597,3.4,0.15402387370042356,0.2642694232990729,Affordable,Affordable
60103101811,123,953,0.12906610703043023,True,360,1638,1595,2.8,0.22570532915360503,0.23699059561128527,Affordable,Affordable
12003167826,123,730,0.1684931506849315,True,500,2000,1928,2.8,0.25933609958506226,0.23938716884774977,Affordable,Affordable
12503148120,123,813,0.15129151291512916,True,450,2167,1593,3.3,0.2824858757062147,0.31392148341300885,Affordable,Moderately_Affordable
21301132812,123,645,0.19069767441860466,True,365,2000,1857,2.8,0.19655358104469575,0.24853982850751832,Affordable,Affordable
12203169501,122,993,0.1228600201409869,True,525,2058,1970,2.2,0.26649746192893403,0.24107770402186646,Affordable,Affordable
30503112004,122,984,0.12398373983739837,True,360,1595,1784,1.8,0.20179372197309417,0.2063211452224905,Affordable,Affordable
21003153517,122,611,0.19967266775777415,True,363,2050,1542,2.6,0.23540856031128404,0.3067943729422329,Affordable,Moderately_Affordable
80104103929,122,547,0.2230347349177331,True,471,1562,2152,2.5,0.21886617100371747,0.16750071489848442,Affordable,Affordable
12501158621,122,834,0.14628297362110312,True,580,2427,2125,3.4,0.27294117647058824,0.2635656108597285,Affordable,Affordable
12503148147,121,935,0.12941176470588237,True,380,1675,1262,2.9,0.3011093502377179,0.30629038156771915,Moderately_Affordable,Moderately_Affordable
11902166012,121,500,0.242,True,430,3033,1812,2.8,0.23730684326710816,0.38627101375445744,Affordable,Moderately_Affordable
60105103009,121,933,0.12968917470525188,True,350,1517,1640,2.3,0.21341463414634146,0.21346153846153845,Affordable,Affordable
80101100808,121,710,0.1704225352112676,True,438,1422,1640,2.1,0.26707317073170733,0.200093808630394,Affordable,Affordable
11903166605,121,907,0.13340683572216097,True,440,2600,2200,2.7,0.2,0.2727272727272727,Affordable,Affordable
