SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster,anchor_strength
12702151020,262,537,0.48789571694599626,True,2.7186300864628943
12702151541,490,1128,0.43439716312056736,True,2.691717750549038
12702151414,495,1155,0.42857142857142855,True,2.65996111145354
12702151617,341,752,0.45345744680851063,True,2.645838379439293
12702151907,332,731,0.454172366621067,True,2.637897820346795
12702151628,442,1025,0.43121951219512195,True,2.627666183765805
12702151506,215,443,0.4853273137697517,True,2.608769430365904
12701159501,2162,6390,0.3383411580594679,True,2.598206820486778
12702151411,254,542,0.46863468634686345,True,2.5968283034506277
12702151632,309,683,0.45241581259150804,True,2.595316017453983
12702151924,316,709,0.44569816643159377,True,2.5667319612767567
12703173116,573,1432,0.4001396648044693,True,2.5419389972703295
21005154303,393,928,0.4234913793103448,True,2.5309330898212155
12702151707,329,759,0.43346508563899866,True,2.51370419409422
