SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster
20604150619,620,1169,0.5303678357570573,True
12101168406,619,1269,0.48778565799842394,True
11701163541,618,1316,0.4696048632218845,True
21204131011,618,2319,0.2664941785252264,True
11703164618,614,822,0.7469586374695864,True
80105105314,614,1460,0.42054794520547945,True
11903166420,613,1096,0.5593065693430657,True
12102157922,613,1562,0.39244558258642764,True
11902166115,611,2017,0.30292513634110063,True
12101168433,608,1440,0.4222222222222222,True
12003167829,607,939,0.6464323748668797,True
12003167828,604,893,0.6763717805151176,True
20703116304,603,1091,0.5527039413382218,True
80105105307,601,1610,0.3732919254658385,True
12502171215,601,1796,0.3346325167037862,True
12601172030,600,1140,0.5263157894736842,True
80105104901,600,5674,0.10574550581600282,True
12601172018,597,1246,0.47913322632423755,True
12103140759,593,1032,0.5746124031007752,True
11903166418,593,1004,0.5906374501992032,True
20604150518,593,2943,0.20149507305470607,True
12103140861,589,959,0.6141814389989573,True
12101139928,589,1055,0.5582938388625592,True
12601172005,588,1214,0.4843492586490939,True
11903166415,588,800,0.735,True
11904167109,587,1833,0.320240043644299,True
20604150432,587,1491,0.3936955063715627,True
12103140752,586,1632,0.3590686274509804,True
11703164535,583,1071,0.5443510737628384,True
11902165909,583,858,0.6794871794871795,True
11903166516,580,1050,0.5523809523809524,True
12001167318,580,873,0.6643757159221076,True
30501111027,580,1084,0.5350553505535055,True
20703116318,579,995,0.5819095477386935,True
12101168441,579,922,0.6279826464208242,True
11903166509,578,1116,0.517921146953405,True
11703164531,578,2265,0.25518763796909494,True
12601172124,578,1241,0.4657534246575342,True
11902165920,577,1047,0.5510983763132761,True
20604111830,576,901,0.6392896781354052,True
30303106104,576,1211,0.4756399669694467,True
20604111827,576,1602,0.3595505617977528,True
11903137325,571,1240,0.46048387096774196,True
11703164813,570,925,0.6162162162162163,True
12502171124,570,1347,0.42316258351893093,True
12602172209,569,977,0.5823950870010235,True
11703164311,567,763,0.7431192660550459,True
20604111821,567,1354,0.41875923190546527,True
11903137459,567,1161,0.4883720930232558,True
20604150512,565,1598,0.35356695869837296,True
12001167319,563,797,0.7063989962358845,True
20703116336,563,1138,0.4947275922671353,True
12003167822,562,1102,0.5099818511796733,True
20604150514,561,1129,0.49689991142604073,True
11903166525,561,1062,0.5282485875706214,True
30303106429,561,1113,0.5040431266846361,True
12601172129,560,902,0.6208425720620843,True
30306108004,559,1080,0.5175925925925926,True
12003167811,557,1074,0.5186219739292365,True
11903166423,556,849,0.6548881036513545,True
12602150039,556,976,0.569672131147541,True
12003167724,552,852,0.647887323943662,True
12101168422,550,1001,0.5494505494505495,True
21205131914,550,1252,0.43929712460063897,True
30305107312,550,1341,0.41014168530947054,True
11904166810,549,2270,0.24185022026431718,True
20703116350,549,1007,0.5451837140019861,True
12602172314,549,833,0.65906362545018,True
12003167711,549,1028,0.5340466926070039,True
12601172115,548,1123,0.4879786286731968,True
40101100134,546,1499,0.3642428285523682,True
12001167310,545,1184,0.46030405405405406,True
12501158401,544,1308,0.41590214067278286,True
30303106431,542,1207,0.4490472245236123,True
12101139929,542,1142,0.4746059544658494,True
30501111031,542,958,0.5657620041753654,True
11703164522,542,1483,0.3654753877275792,True
20701152221,541,1374,0.3937409024745269,True
20604150403,540,960,0.5625,True
40101100150,540,941,0.5738575982996812,True
12501158228,539,1233,0.43714517437145173,True
12501171030,539,1129,0.47741364038972545,True
12502171239,539,1043,0.5167785234899329,True
12602172305,538,1137,0.4731750219876869,True
20802117629,538,1202,0.4475873544093178,True
40101100161,537,1042,0.5153550863723608,True
20703116412,536,1382,0.3878437047756874,True
12502147829,536,1381,0.388124547429399,True
21205156702,536,2298,0.23324630113141862,True
31106133501,536,4160,0.12884615384615383,True
12501158504,535,1266,0.4225908372827804,True
12502171229,535,1387,0.3857245854361932,True
20702115755,535,788,0.6789340101522843,True
30306107811,534,1592,0.33542713567839194,True
12602172324,532,918,0.579520697167756,True
11903166712,530,1088,0.48713235294117646,True
30303106426,530,1116,0.47491039426523296,True
12003167912,530,1068,0.49625468164794007,True
20604111819,529,1372,0.38556851311953355,True
20604151015,528,1368,0.38596491228070173,True
20702115752,525,1100,0.4772727272727273,True
12001167303,524,680,0.7705882352941177,True
20604150926,523,2105,0.2484560570071259,True
20703116335,522,1026,0.5087719298245614,True
12601172103,522,939,0.5559105431309904,True
12003139646,521,1815,0.28705234159779613,True
11902166003,521,1025,0.5082926829268293,True
12501158307,521,1747,0.298225529479107,True
11903137462,520,912,0.5701754385964912,True
20802117460,519,1217,0.4264585045193098,True
12602172334,519,764,0.6793193717277487,True
12003167707,519,1223,0.4243663123466885,True
30306107915,518,1279,0.40500390930414387,True
11903137425,517,872,0.5928899082568807,True
12602172327,517,1023,0.5053763440860215,True
20702142423,517,1015,0.50935960591133,True
11902166008,517,938,0.5511727078891258,True
11802156532,516,951,0.5425867507886435,True
12501158233,515,1157,0.44511668107173724,True
20604150507,515,1159,0.4443485763589301,True
11902165903,515,1021,0.5044074436826641,True
12003167710,515,902,0.5709534368070953,True
20804119556,514,554,0.927797833935018,True
12003167712,514,1209,0.4251447477253929,True
12503147935,514,2398,0.21434528773978315,True
11904167105,513,1157,0.44338807260155577,True
12001167323,513,1004,0.5109561752988048,True
12502171206,513,1256,0.40843949044585987,True
12001167302,513,891,0.5757575757575758,True
11903166520,512,843,0.6073546856465006,True
21205132125,512,968,0.5289256198347108,True
12102157907,512,1637,0.3127672571777642,True
12502171110,511,1071,0.477124183006536,True
12102157727,511,1545,0.3307443365695793,True
11703164314,510,699,0.7296137339055794,True
12601172133,509,1199,0.4245204336947456,True
20702142514,509,1437,0.3542101600556715,True
11903166402,509,1079,0.4717330861909175,True
12101139927,509,1063,0.47883349012229537,True
12502171204,508,1234,0.41166936790923825,True
20703116306,508,827,0.6142684401451027,True
11903166514,508,1012,0.5019762845849802,True
12602172313,508,874,0.5812356979405034,True
12103140751,507,1397,0.36292054402290624,True
20604111708,507,1255,0.40398406374501994,True
12504171719,507,1627,0.31161647203441917,True
11703164825,506,1373,0.3685360524399126,True
30501111013,506,1613,0.3137011779293242,True
12001167309,506,953,0.5309548793284365,True
12501158321,505,742,0.6805929919137467,True
80105105311,504,693,0.7272727272727273,True
21205132221,504,1004,0.50199203187251,True
12502171222,503,879,0.5722411831626849,True
20604150416,502,775,0.6477419354838709,True
12103140756,502,859,0.5844004656577415,True
12101168439,502,1264,0.3971518987341772,True
12602150106,502,1524,0.3293963254593176,True
11902166013,502,1190,0.4218487394957983,True
12501158614,501,1376,0.3640988372093023,True
11703164319,500,3402,0.14697236919459142,True
12502171224,500,1353,0.36954915003695493,True
12602172513,499,955,0.5225130890052356,True
12103140755,498,1293,0.3851508120649652,True
12602172320,498,878,0.5671981776765376,True
12602172522,497,974,0.5102669404517454,True
21205132121,496,1144,0.43356643356643354,True
11703164714,496,1453,0.34136269786648316,True
30306108022,496,1100,0.4509090909090909,True
12501158235,496,978,0.5071574642126789,True
20605151422,496,1908,0.259958071278826,True
12602172312,495,1211,0.4087530966143683,True
12003167923,494,1298,0.38058551617873654,True
21205132127,494,1012,0.4881422924901186,True
21205132254,493,1032,0.47771317829457366,True
12103141144,492,1691,0.29095209934949734,True
21204131029,492,1142,0.4308231173380035,True
21205132213,491,961,0.5109261186264308,True
11703164823,490,1360,0.3602941176470588,True
12602172328,490,1149,0.42645778938207135,True
11903166704,490,1428,0.3431372549019608,True
21205132306,490,989,0.4954499494438827,True
20702115736,489,1073,0.45573159366262816,True
20701114733,489,1047,0.4670487106017192,True
12103140701,489,816,0.5992647058823529,True
11903137302,488,1350,0.36148148148148146,True
12602150348,487,1110,0.43873873873873875,True
11903166523,487,1029,0.47327502429543244,True
