SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster,anchor_strength
12702151312,576,860,0.6697674418604651,True,4.258275750591471
12702151103,522,769,0.6788036410923277,True,4.249026689521314
21301133536,757,1184,0.6393581081081081,True,4.239381184908172
12702151235,744,1162,0.6402753872633391,True,4.234387141544228
12702151345,494,726,0.6804407713498623,True,4.221834069847015
12702151323,492,723,0.6804979253112033,True,4.219433628809133
21301133440,531,792,0.6704545454545454,True,4.208204157626784
12702151156,391,556,0.7032374100719424,True,4.199214711075666
12702151333,692,1078,0.6419294990723562,True,4.198880110797229
21204131710,563,851,0.6615746180963572,True,4.191111097054533
21301132919,557,841,0.6623067776456599,True,4.188665805049215
11901157242,764,1216,0.6282894736842105,True,4.171764092963382
21204131701,354,501,0.7065868263473054,True,4.149161072802989
12702151309,751,1199,0.6263552960800667,True,4.148185971047814
21301133532,472,701,0.6733238231098431,True,4.1470656538775925
31001127409,538,816,0.6593137254901961,True,4.146895805329707
12702151116,499,748,0.6671122994652406,True,4.145841498813735
21301133501,628,977,0.6427840327533265,True,4.142184676773671
21301133715,423,621,0.6811594202898551,True,4.120832933273943
21301133518,614,959,0.6402502606882169,True,4.111445331004381
12702151316,622,975,0.637948717948718,True,4.104910702241842
21204131743,686,1093,0.6276303751143641,True,4.099891422199938
12702151320,753,1221,0.6167076167076168,True,4.08592993702702
12702151328,464,698,0.664756446991404,True,4.0829589630265515
12702151304,512,783,0.6538952745849298,True,4.080486887263645
31001127214,549,849,0.6466431095406361,True,4.080265176379691
21301133530,641,1018,0.6296660117878192,True,4.070531535034641
12702151107,694,1116,0.6218637992831542,True,4.069421882456958
12702151226,574,897,0.6399108138238573,True,4.06623010414457
40401109719,572,894,0.639821029082774,True,4.063430234855516
11901157107,577,909,0.6347634763476347,True,4.0368252169680545
12702151231,696,1129,0.6164747564216121,True,4.035927941443158
12702151334,519,810,0.6407407407407407,True,4.007082905194655
20607151815,544,862,0.6310904872389791,True,3.9763659771424646
12702151324,503,791,0.6359039190897599,True,3.9569606357015155
21204131722,466,725,0.6427586206896552,True,3.950606115963733
12702151135,585,946,0.6183932346723044,True,3.941217840277539
11901157230,542,868,0.6244239631336406,True,3.932065957838932
12702151332,660,1092,0.6043956043956044,True,3.9247962768334363
12702151232,677,1130,0.5991150442477876,True,3.9057192158722547
21301133504,1319,2428,0.5432454695222405,True,3.903428942977994
21204131821,742,1257,0.5902943516308672,True,3.902256535545408
12702151121,492,783,0.6283524904214559,True,3.8961053813908086
11901157206,228,319,0.7147335423197492,True,3.8836633755810865
12702151234,626,1039,0.602502406159769,True,3.8806857886777752
12702151306,599,991,0.6044399596367306,True,3.8665599025978525
12702151348,394,611,0.6448445171849427,True,3.8554517043715912
12702151202,545,891,0.611672278338945,True,3.855137308396154
12702151302,358,547,0.6544789762340036,True,3.8505108136724018
12702151126,432,682,0.6334310850439883,True,3.8453939860660933
12702151143,617,1033,0.5972894482090997,True,3.838473744677052
12702151227,612,1028,0.5953307392996109,True,3.8210499424056046
12702151104,468,755,0.6198675496688741,True,3.812559067063389
12702151339,587,983,0.5971515768056969,True,3.8078725517970438
21301133506,529,873,0.6059564719358533,True,3.8010904197742525
12702151313,572,956,0.5983263598326359,True,3.7999023325950114
11901136111,316,479,0.6597077244258872,True,3.799191984436786
21301133709,581,974,0.5965092402464066,True,3.7976584498274804
12702151230,670,1151,0.5821025195482189,True,3.7887709137889023
21301133509,395,624,0.6330128205128205,True,3.7863118805216662
11901157217,600,1016,0.5905511811023622,True,3.7786977959853583
21301133712,782,1381,0.5662563359884142,True,3.7730411066363563
12702151105,289,435,0.664367816091954,True,3.7668864063020004
31001127433,374,589,0.634974533106961,True,3.763447086100057
12702151233,546,921,0.5928338762214984,True,3.7374908209798066
12702151152,483,801,0.602996254681648,True,3.7277740448740744
21301133525,411,666,0.6171171171171171,True,3.715676571445429
12702151224,413,671,0.6154992548435171,True,3.7089160166763855
21204131711,377,605,0.6231404958677685,True,3.6982729119811313
40402110222,671,1184,0.566722972972973,True,3.689512961563373
12702151327,344,545,0.6311926605504588,True,3.6884023476308037
12702151343,566,977,0.579324462640737,True,3.6731252465812774
12702151340,500,861,0.5807200929152149,True,3.610108072639294
21301133704,487,838,0.581145584725537,True,3.5974744661700275
21301133711,506,877,0.5769669327251995,True,3.5936448891871593
21301133531,488,844,0.5781990521327014,True,3.580418121876466
12702151225,511,891,0.5735129068462402,True,3.5777596895568897
21301133605,409,688,0.5944767441860465,True,3.5764655208090503
11901157229,570,1012,0.5632411067193676,True,3.575110523225223
12702151310,528,928,0.5689655172413793,True,3.5679761767469635
12702151132,406,685,0.5927007299270073,True,3.5614279610068516
21301133721,404,683,0.5915080527086384,True,3.551347547746767
12702151326,745,1390,0.5359712230215827,True,3.545302569893382
21301133708,437,750,0.5826666666666667,True,3.5439062184460095
11901157222,443,765,0.5790849673202615,True,3.530000367526112
31001127213,426,732,0.5819672131147541,True,3.5248497126166587
