SA1_CODE_2021,England_population,total_population,concentration_ratio,is_cluster,anchor_strength
50403130027,329,692,0.4754335260115607,True,2.757083068377909
50501108014,499,1127,0.4427684117125111,True,2.7516321571541025
50501108015,284,584,0.4863013698630137,True,2.7488132315005083
50503110544,343,730,0.46986301369863015,True,2.744301491067227
50503110727,295,613,0.4812398042414356,True,2.738427469862313
50503110016,462,1037,0.4455159112825458,True,2.734455061704764
50705119147,406,893,0.45464725643896975,True,2.731890429215782
50501107124,450,1007,0.4468718967229394,True,2.7310430017638585
50501108331,281,582,0.48281786941580757,True,2.7240135514323196
50501107616,898,2249,0.39928857269897733,True,2.7156745953559427
50501107904,514,1185,0.4337552742616034,True,2.708440326532625
40304108029,457,1037,0.4406943105110897,True,2.7000763906848437
50604113442,483,1107,0.4363143631436314,True,2.6973324389739233
50503125534,262,543,0.48250460405156537,True,2.6885899750102658
