SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
21301133923,130,1087,0.11959521619135234,True,340,1517,1299,2.4,0.2617397998460354,0.2694972464025582,Affordable,Affordable
21201155240,130,1112,0.11690647482014388,True,320,1517,973,2.0,0.328879753340185,0.3597912878488418,Moderately_Affordable,Moderately_Affordable
40302106118,130,1196,0.10869565217391304,True,320,1619,1444,2.3,0.22160664819944598,0.258736415938632,Affordable,Affordable
20703116621,130,1204,0.1079734219269103,True,460,2264,1768,2.7,0.26018099547511314,0.2955099199443091,Affordable,Affordable
12503171515,130,669,0.19431988041853512,True,665,3000,3422,3.7,0.19433080070134423,0.20231083936519353,Affordable,Affordable
50603113116,130,722,0.18005540166204986,True,380,1701,1875,3.1,0.20266666666666666,0.20935384615384614,Affordable,Affordable
30204104519,130,303,0.429042904290429,True,398,1694,1680,2.5,0.2369047619047619,0.2326923076923077,Affordable,Affordable
30204104535,130,625,0.208,True,390,1187,1395,2.2,0.27956989247311825,0.19636062861869313,Affordable,Affordable
12102140604,130,893,0.1455767077267637,True,571,3000,3600,3.2,0.15861111111111112,0.19230769230769232,Affordable,Affordable
12701172817,130,1158,0.11226252158894647,True,560,2532,2676,3.7,0.20926756352765322,0.21835115557088652,Affordable,Affordable
21203156219,130,1039,0.12512030798845045,True,363,1472,1329,2.9,0.27313769751693,0.2555999305434971,Affordable,Affordable
31004156507,130,1069,0.1216089803554724,True,353,2383,2750,3.1,0.12836363636363637,0.19997202797202798,Affordable,Affordable
12703152417,130,827,0.15719467956469166,True,475,2167,2659,3.2,0.17863858593456186,0.18806954609888044,Affordable,Affordable
11103122639,130,980,0.1326530612244898,True,540,2245,2750,3.4,0.19636363636363635,0.1883916083916084,Affordable,Affordable
50603113104,130,694,0.1873198847262248,True,490,2168,2225,2.9,0.2202247191011236,0.22485738980121003,Affordable,Affordable
80104104805,129,1021,0.12634671890303623,True,443,1733,2050,2.5,0.21609756097560975,0.1950844277673546,Affordable,Affordable
80104112008,129,749,0.17222963951935916,True,201,1737,2107,2.4,0.09539629805410536,0.19024497097586798,Affordable,Affordable
21202145316,129,1245,0.10361445783132531,True,350,1950,2296,3.4,0.1524390243902439,0.19599303135888502,Affordable,Affordable
21303135113,129,1081,0.11933395004625347,True,404,2167,2383,2.5,0.16953420058749474,0.20985183511410957,Affordable,Affordable
11301125638,129,946,0.13636363636363635,True,270,1083,1640,2.6,0.16463414634146342,0.1523921200750469,Affordable,Affordable
11602130930,129,856,0.15070093457943926,True,650,2007,3265,3.6,0.1990811638591118,0.14185416421251032,Affordable,Affordable
12602150326,129,746,0.17292225201072386,True,350,1700,1439,1.6,0.2432244614315497,0.27262522050569304,Affordable,Affordable
20802117642,129,803,0.16064757160647572,True,398,2063,2043,1.8,0.19481155163974548,0.23302835197108324,Affordable,Affordable
40106102005,129,1016,0.12696850393700787,True,325,1679,1641,2.2,0.19804996953077392,0.23611306426662917,Affordable,Affordable
21203130341,129,274,0.4708029197080292,True,450,2134,2024,3.3,0.22233201581027667,0.24331103678929766,Affordable,Affordable
50703116946,129,828,0.15579710144927536,True,253,1931,2412,3.0,0.10489220563847429,0.18474933027171833,Affordable,Affordable
40202103225,129,1056,0.12215909090909091,True,285,1200,1331,2.5,0.21412471825694968,0.20805640640351383,Affordable,Affordable
11601130321,129,527,0.24478178368121442,True,400,2184,1937,3.2,0.20650490449148168,0.2601961796592669,Affordable,Affordable
21203145820,129,998,0.12925851703406813,True,410,1733,1946,3.6,0.21068859198355602,0.2055103170211084,Affordable,Affordable
50502108437,129,1082,0.11922365988909427,True,323,1668,1591,2.0,0.20301697045883094,0.24193782333317218,Affordable,Affordable
60105103109,129,720,0.17916666666666667,True,420,2155,1899,2.7,0.2211690363349131,0.26187872159436143,Affordable,Affordable
21301133123,129,570,0.22631578947368422,True,352,1580,1854,3.0,0.18985976267529667,0.19666417724670152,Affordable,Affordable
20604111728,129,836,0.15430622009569378,True,365,1513,1521,1.7,0.23997370151216305,0.22955545440752542,Affordable,Affordable
40106102126,129,1123,0.11487088156723063,True,357,2019,2187,2.6,0.16323731138545952,0.21304210193099082,Affordable,Affordable
21202155303,129,835,0.15449101796407186,True,431,1993,2297,3.4,0.18763604701784936,0.2002277217775694,Affordable,Affordable
20701115521,129,1028,0.1254863813229572,True,549,3000,2536,2.6,0.21648264984227128,0.27299199223489445,Affordable,Affordable
