SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster
12503148324,254,1146,0.22164048865619546,True
12503171604,253,1158,0.21848013816925735,True
11901165611,253,614,0.41205211726384366,True
11901165531,252,565,0.44601769911504424,True
12503148320,252,981,0.25688073394495414,True
11901165511,250,908,0.2753303964757709,True
11901135422,250,1306,0.19142419601837674,True
11901165507,249,837,0.2974910394265233,True
11901165617,248,746,0.3324396782841823,True
12503148124,247,1271,0.1943351691581432,True
11901157124,246,1180,0.20847457627118643,True
11901135415,245,2132,0.1149155722326454,True
12503148109,245,906,0.2704194260485651,True
11901136104,245,1392,0.17600574712643677,True
11901165530,244,768,0.3177083333333333,True
11901135445,244,1109,0.2200180342651037,True
11901135626,243,1141,0.21297107800175286,True
11901165509,243,1121,0.2167707404103479,True
11901165512,241,1144,0.21066433566433568,True
12501158222,238,1195,0.199163179916318,True
12503171403,238,1056,0.22537878787878787,True
12503148310,237,982,0.24134419551934827,True
11904166805,237,733,0.32332878581173263,True
11901136106,237,997,0.23771313941825475,True
12503148410,237,1106,0.21428571428571427,True
12503148336,236,857,0.27537922987164526,True
12703159918,236,1582,0.14917825537294563,True
12503148107,236,654,0.36085626911314983,True
12503171444,235,1114,0.21095152603231598,True
11901165614,233,798,0.29197994987468673,True
12503148338,233,809,0.2880098887515451,True
11901135613,233,1405,0.16583629893238433,True
11901165518,233,785,0.2968152866242038,True
12503148341,232,807,0.2874845105328377,True
11901136103,232,623,0.3723916532905297,True
12503148413,232,1750,0.13257142857142856,True
12503148432,231,1064,0.21710526315789475,True
12701150438,229,1622,0.14118372379778052,True
11901135403,228,1154,0.1975736568457539,True
11904166901,227,1227,0.1850040749796251,True
12503147907,227,1436,0.15807799442896936,True
12503171613,227,1195,0.1899581589958159,True
11901136140,226,1066,0.21200750469043153,True
11901135624,226,1086,0.20810313075506445,True
12503148430,226,1265,0.17865612648221343,True
11902136624,226,1169,0.19332763045337895,True
12501158408,226,1206,0.18739635157545606,True
11902136707,225,1048,0.21469465648854963,True
12503148106,225,1189,0.18923465096719932,True
11901135439,224,1077,0.20798514391829154,True
11904166808,224,925,0.24216216216216216,True
12503147913,224,1637,0.13683567501527183,True
11901157227,224,929,0.2411194833153929,True
11902136648,223,545,0.4091743119266055,True
11902136616,223,879,0.25369738339021614,True
11901135618,223,1063,0.20978363123236124,True
11901165522,221,1009,0.21902874132804756,True
11902136626,219,1066,0.20544090056285177,True
11902166113,218,1254,0.17384370015948963,True
11901165605,217,882,0.24603174603174602,True
12503147919,217,1130,0.1920353982300885,True
11901135608,217,1226,0.1769983686786297,True
11901135610,217,1390,0.15611510791366906,True
11901165621,217,1087,0.19963201471941122,True
12503148437,216,1628,0.13267813267813267,True
11901165627,215,529,0.4064272211720227,True
12503148111,214,999,0.21421421421421422,True
12503171434,214,1021,0.20959843290891284,True
12503148423,214,1091,0.19615032080659944,True
11903137313,214,933,0.22936763129689175,True
21005124343,213,857,0.2485414235705951,True
