SA1_CODE_2021,England_population,total_population,concentration_ratio,is_cluster
21401137339,438,1306,0.33537519142419603,True
50501107906,435,1210,0.359504132231405,True
50501107405,433,1009,0.42913776015857286,True
50705131210,433,735,0.5891156462585034,True
40304117813,433,1155,0.3748917748917749,True
50503130627,432,868,0.4976958525345622,True
40701114906,431,1883,0.22889006903876793,True
50501107135,431,1019,0.422963689892051,True
50705119136,430,996,0.43172690763052207,True
50201102716,430,1524,0.2821522309711286,True
50501107116,429,1113,0.38544474393531,True
40701114424,429,996,0.4307228915662651,True
50503109907,429,1071,0.4005602240896359,True
50501107708,428,1054,0.4060721062618596,True
50503109925,428,1263,0.3388756927949327,True
50503109902,428,1424,0.300561797752809,True
50503125526,428,1004,0.4262948207171315,True
50503110014,427,1185,0.36033755274261603,True
40701114824,427,2020,0.21138613861386138,True
