SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster
21005154515,361,682,0.5293255131964809,True
12702151018,361,958,0.3768267223382046,True
12701159701,360,1307,0.2754399387911247,True
21005144226,359,1541,0.23296560674886438,True
12702151007,358,913,0.39211391018619934,True
12701159504,358,1166,0.307032590051458,True
12702152004,356,1020,0.34901960784313724,True
12703173211,356,1372,0.2594752186588921,True
21005154319,355,1152,0.3081597222222222,True
21005144341,353,1213,0.29101401483924155,True
12702151538,353,828,0.42632850241545894,True
21005144340,351,1059,0.3314447592067989,True
21005144349,351,1383,0.25379609544468545,True
12702151717,350,1051,0.3330161750713606,True
12703173223,350,1027,0.34079844206426485,True
12702151604,346,963,0.3592938733125649,True
12702151719,346,668,0.5179640718562875,True
21005154205,346,1384,0.25,True
12702151617,341,752,0.45345744680851063,True
12702151619,339,1281,0.2646370023419204,True
12702151601,339,959,0.3534932221063608,True
12702151406,339,967,0.3505687693898656,True
12703173210,338,1011,0.334322453016815,True
12702152026,338,904,0.37389380530973454,True
21005144526,335,1686,0.19869513641755635,True
12702151415,334,886,0.37697516930022573,True
12702151508,332,520,0.6384615384615384,True
12702151907,332,731,0.454172366621067,True
12702151524,331,539,0.614100185528757,True
12703173127,331,1019,0.32482826300294404,True
12702151707,329,759,0.43346508563899866,True
12702151928,327,1071,0.30532212885154064,True
12701159740,325,1016,0.3198818897637795,True
12703159909,323,1424,0.22682584269662923,True
12702151703,321,515,0.6233009708737864,True
12702151621,321,1202,0.2670549084858569,True
21005154302,321,1203,0.26683291770573564,True
21005154513,320,903,0.35437430786268,True
12702152014,320,606,0.528052805280528,True
12701159429,320,864,0.37037037037037035,True
12702151331,320,1114,0.2872531418312388,True
12702152025,320,775,0.4129032258064516,True
21005144337,319,964,0.3309128630705394,True
21005154309,319,1366,0.2335285505124451,True
12702151602,318,954,0.3333333333333333,True
21005144342,317,1383,0.2292118582791034,True
12702151924,316,709,0.44569816643159377,True
12702151625,315,1253,0.25139664804469275,True
12702151903,314,779,0.4030808729139923,True
21005154218,312,1336,0.23353293413173654,True
12702151618,310,860,0.36046511627906974,True
12703173217,310,957,0.3239289446185998,True
21005154522,310,712,0.4353932584269663,True
12702151422,309,845,0.3656804733727811,True
12702151632,309,683,0.45241581259150804,True
