SA1_CODE_2021,Malaysia_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
20604111749,237,826,0.28692493946731235,True,372,1500,1043,1.5,0.3566634707574305,0.3318828822184527,Moderately_Affordable,Moderately_Affordable
20702115751,236,1144,0.2062937062937063,True,523,2200,1869,2.2,0.279828785446763,0.2716384738856649,Affordable,Affordable
50704118418,236,1199,0.19683069224353628,True,640,2800,2250,3.2,0.28444444444444444,0.28717948717948716,Affordable,Affordable
50704117905,234,1264,0.185126582278481,True,450,2587,2578,3.2,0.17455391776570986,0.23157486423584173,Affordable,Affordable
50603113114,234,878,0.26651480637813213,True,450,2000,2058,2.9,0.21865889212827988,0.22426553038797936,Affordable,Affordable
20703116303,232,901,0.25749167591564925,True,456,1977,1455,2.5,0.3134020618556701,0.3135606661379857,Moderately_Affordable,Moderately_Affordable
20702142505,232,1494,0.15528781793842034,True,430,2178,1463,2.3,0.2939166097060834,0.3435511856564488,Affordable,Moderately_Affordable
50603113132,231,1172,0.197098976109215,True,428,2300,2391,3.2,0.17900460058552906,0.22198629475919313,Affordable,Affordable
20604150434,230,1381,0.166545981173063,True,396,1512,1327,1.9,0.2984174830444612,0.2629412787664483,Affordable,Affordable
50704117917,229,1337,0.1712789827973074,True,410,2063,2455,2.9,0.1670061099796334,0.193921353595488,Affordable,Affordable
50604113758,227,1373,0.16533139111434814,True,400,1898,1882,2.8,0.21253985122210414,0.23273113708820403,Affordable,Affordable
50603112912,227,1292,0.17569659442724458,True,400,2069,2091,2.9,0.1912960306073649,0.228341242688445,Affordable,Affordable
50603113128,225,930,0.24193548387096775,True,413,2141,1937,2.9,0.21321631388745482,0.25507326952861287,Affordable,Affordable
50604113534,222,1027,0.21616358325219084,True,370,1500,1632,2.5,0.2267156862745098,0.21210407239819004,Affordable,Affordable
21502146935,222,1198,0.18530884808013356,True,250,867,1194,2.7,0.20938023450586266,0.16756861229223038,Affordable,Affordable
50603112426,222,1383,0.16052060737527116,True,375,1300,1687,3.4,0.22228808535862477,0.17783046828689983,Affordable,Affordable
11902165907,221,920,0.24021739130434783,True,410,2383,1534,2.6,0.26727509778357234,0.35848961989770334,Affordable,Moderately_Affordable
50603113120,220,1219,0.1804757998359311,True,400,1908,2094,3.1,0.19102196752626552,0.21027110425391227,Affordable,Affordable
21101125416,220,1263,0.17418844022169439,True,441,2167,2306,3.1,0.19124024284475283,0.21685902995530054,Affordable,Affordable
50603112830,219,1076,0.20353159851301114,True,345,1733,1437,2.4,0.24008350730688935,0.27830415930624697,Affordable,Affordable
20703116351,216,1504,0.14361702127659576,True,492,1962,785,1.9,0.6267515923566879,0.5767760901518864,Very_Expensive,Very_Expensive
50603113110,215,1217,0.17666392769104355,True,450,2000,2343,3.1,0.19206145966709348,0.19698611247907022,Affordable,Affordable
21205132254,213,1032,0.2063953488372093,True,401,2167,1533,2.6,0.26157860404435745,0.32620803853680563,Affordable,Moderately_Affordable
20604150426,212,1027,0.20642648490749757,True,369,1800,942,1.7,0.39171974522292996,0.44096031357177856,Moderately_Affordable,Expensive
21205156713,212,893,0.2374020156774916,True,378,2200,1333,2.6,0.2835708927231808,0.380864446880951,Affordable,Moderately_Affordable
20604150401,211,1263,0.16706254948535235,True,371,1846,790,1.6,0.46962025316455697,0.5392405063291139,Expensive,Very_Expensive
