SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster
31001127429,718,1042,0.6890595009596929,True
12702151110,709,977,0.7256908904810645,True
31001127428,709,983,0.7212614445574771,True
12702151119,708,672,1.0535714285714286,True
12702151115,706,930,0.7591397849462366,True
12702151149,705,964,0.7313278008298755,True
11901157219,704,1000,0.704,True
12702151125,701,659,1.0637329286798178,True
21301132909,699,1362,0.513215859030837,True
11901135415,696,2132,0.32645403377110693,True
12702151231,696,1129,0.6164747564216121,True
12702151107,694,1116,0.6218637992831542,True
12702151333,692,1078,0.6419294990723562,True
21204131743,686,1093,0.6276303751143641,True
12702150937,682,1435,0.4752613240418119,True
12702151129,677,675,1.002962962962963,True
12702151232,677,1130,0.5991150442477876,True
12702151307,675,968,0.6973140495867769,True
40402110222,671,1184,0.566722972972973,True
12702151230,670,1151,0.5821025195482189,True
21303134701,661,754,0.876657824933687,True
12702151332,660,1092,0.6043956043956044,True
12702151322,652,989,0.6592517694641051,True
21204131750,651,1741,0.3739230327398047,True
12702151114,645,853,0.7561547479484173,True
21301133530,641,1018,0.6296660117878192,True
12702151228,639,1190,0.5369747899159664,True
11901157212,638,1394,0.45767575322812054,True
21301133520,632,1191,0.5306465155331654,True
21301133501,628,977,0.6427840327533265,True
12702151120,627,704,0.890625,True
12702151234,626,1039,0.602502406159769,True
12702151316,622,975,0.637948717948718,True
21303134730,619,684,0.9049707602339181,True
12702151143,617,1033,0.5972894482090997,True
12702151146,617,688,0.8968023255813954,True
21301133518,614,959,0.6402502606882169,True
12702151147,613,689,0.8896952104499274,True
12702151227,612,1028,0.5953307392996109,True
31001127430,612,1166,0.5248713550600344,True
21301133724,606,1414,0.42857142857142855,True
11901157224,604,1270,0.4755905511811024,True
12702151344,600,890,0.6741573033707865,True
11901157217,600,1016,0.5905511811023622,True
12702151306,599,991,0.6044399596367306,True
12702151331,597,1114,0.5359066427289049,True
21301132916,594,1284,0.46261682242990654,True
21301133713,588,1066,0.551594746716698,True
21301133718,588,1143,0.5144356955380578,True
12702151339,587,983,0.5971515768056969,True
12702151135,585,946,0.6183932346723044,True
21204146029,585,1347,0.43429844097995546,True
12503147923,584,1653,0.35329703569267995,True
12702151336,582,1053,0.5527065527065527,True
11901157246,582,1189,0.4894869638351556,True
12702151341,581,761,0.7634691195795007,True
21301133709,581,974,0.5965092402464066,True
12702152024,580,1226,0.4730831973898858,True
21301133828,579,1220,0.4745901639344262,True
11901157107,577,909,0.6347634763476347,True
12702151312,576,860,0.6697674418604651,True
12702151311,575,1073,0.5358807082945014,True
12702151319,574,853,0.6729191090269636,True
11901157131,574,1181,0.48602878916172737,True
12702151226,574,897,0.6399108138238573,True
21303134729,573,1461,0.3921971252566735,True
12702151313,572,956,0.5983263598326359,True
21204131712,572,1106,0.5171790235081374,True
40401109719,572,894,0.639821029082774,True
11901157229,570,1012,0.5632411067193676,True
12503148024,569,1252,0.4544728434504792,True
12503148004,568,1187,0.4785172704296546,True
21204131806,568,1355,0.4191881918819188,True
12702151343,566,977,0.579324462640737,True
21204131710,563,851,0.6615746180963572,True
21301133723,563,754,0.746684350132626,True
31001127209,561,1107,0.5067750677506775,True
12702151139,560,1212,0.46204620462046203,True
21301132919,557,841,0.6623067776456599,True
21301133443,555,1135,0.4889867841409692,True
21303134735,553,1376,0.4018895348837209,True
12702151137,553,1166,0.47427101200686106,True
21301133411,550,1121,0.49063336306868865,True
31001127214,549,849,0.6466431095406361,True
21301133513,549,666,0.8243243243243243,True
40401109718,548,1982,0.27648839556004035,True
21204131741,548,1351,0.40562546262028126,True
12702151233,546,921,0.5928338762214984,True
12702151202,545,891,0.611672278338945,True
20607151815,544,862,0.6310904872389791,True
11901157230,542,868,0.6244239631336406,True
21303134711,541,1244,0.43488745980707394,True
21301133307,540,975,0.5538461538461539,True
31001127409,538,816,0.6593137254901961,True
31001127435,536,1275,0.4203921568627451,True
40402110207,535,1479,0.36173089925625423,True
40402110237,535,997,0.5366098294884654,True
12702151318,533,1048,0.5085877862595419,True
21301132908,532,1251,0.42525979216626697,True
12503147924,532,1577,0.3373493975903614,True
12702151315,531,973,0.5457348406988695,True
21301133440,531,792,0.6704545454545454,True
