SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
11903166408,788,1110,0.7099099099099099,True,489,2167,1656,2.5,0.29528985507246375,0.3019788182831661,Affordable,Moderately_Affordable
12101168443,786,1220,0.6442622950819672,True,825,3300,2242,2.5,0.3679750223015165,0.339669251355246,Moderately_Affordable,Moderately_Affordable
11903166410,786,1224,0.6421568627450981,True,500,2120,1777,2.5,0.28137310073157007,0.2753127570235055,Affordable,Affordable
12602150136,784,2400,0.32666666666666666,True,470,2226,2219,2.0,0.2118071203244705,0.23149720941519047,Affordable,Affordable
20703116409,778,1341,0.5801640566741237,True,381,1863,1459,2.2,0.26113776559287183,0.29466968946064215,Affordable,Affordable
40101100158,775,1267,0.611681136543015,True,400,1720,985,1.7,0.40609137055837563,0.40296759078484967,Expensive,Expensive
11904167112,773,1519,0.5088874259381172,True,545,2500,2168,2.3,0.2513837638376384,0.26610843031507236,Affordable,Affordable
11703163908,772,1155,0.6683982683982684,True,523,2550,1363,1.6,0.38371239911958915,0.4317399401772109,Moderately_Affordable,Expensive
11903166422,770,1599,0.4815509693558474,True,383,1605,1530,2.5,0.2503267973856209,0.2420814479638009,Affordable,Affordable
11703163911,765,1004,0.7619521912350598,True,545,2167,1312,1.6,0.41539634146341464,0.381156191369606,Expensive,Moderately_Affordable
12502171235,763,1325,0.5758490566037736,True,600,2817,2150,3.3,0.27906976744186046,0.3023613595706619,Affordable,Moderately_Affordable
12602172309,761,1090,0.6981651376146789,True,580,2841,2388,3.4,0.24288107202680068,0.2745458059528411,Affordable,Affordable
11902165915,758,1242,0.6103059581320451,True,450,1800,1781,3.3,0.25266704098820886,0.23323111475834665,Affordable,Affordable
11703163913,756,1259,0.6004765687053217,True,510,2200,1309,1.6,0.38961038961038963,0.3878474466709761,Moderately_Affordable,Moderately_Affordable
40101100160,755,815,0.9263803680981595,True,450,1465,915,1.7,0.4918032786885246,0.3694829760403531,Expensive,Moderately_Affordable
11703164504,745,2405,0.3097713097713098,True,650,2486,2049,2.0,0.317227916056613,0.27998648496452305,Moderately_Affordable,Affordable
12501171028,742,1096,0.677007299270073,True,510,2200,1937,2.1,0.2632937532266391,0.2621023787776498,Affordable,Affordable
12003167814,739,1231,0.6003249390739236,True,530,2800,1827,2.9,0.29009304871373837,0.3536693191865606,Affordable,Moderately_Affordable
11903166519,738,906,0.8145695364238411,True,600,2700,2083,3.4,0.28804608737397985,0.29912478304220985,Affordable,Affordable
20604150318,736,924,0.7965367965367965,True,394,2268,1046,1.6,0.37667304015296366,0.5003677011325195,Moderately_Affordable,Very_Expensive
11703164706,735,2143,0.34297713485767617,True,650,2500,2596,2.0,0.25038520801232667,0.22223539172691714,Affordable,Affordable
20604150418,734,810,0.9061728395061729,True,391,1490,619,1.6,0.6316639741518578,0.5554865167143035,Very_Expensive,Very_Expensive
40101100152,734,1428,0.5140056022408963,True,420,2100,1037,1.7,0.40501446480231434,0.4673243824642089,Expensive,Expensive
12001167301,733,1095,0.6694063926940639,True,610,2500,2370,2.3,0.25738396624472576,0.24342745861733203,Affordable,Affordable
12101168429,731,1953,0.3742959549411162,True,560,2675,1995,2.1,0.2807017543859649,0.3094274146905726,Affordable,Moderately_Affordable
12101168403,725,1137,0.6376429199648197,True,700,2400,2044,2.3,0.3424657534246575,0.27096191479753123,Moderately_Affordable,Affordable
11701163539,721,1223,0.5895339329517579,True,605,2600,1854,2.2,0.3263214670981661,0.32362459546925565,Moderately_Affordable,Moderately_Affordable
11703164609,719,1228,0.5855048859934854,True,540,2869,1910,2.1,0.28272251308900526,0.34663713250100686,Affordable,Moderately_Affordable
11903166411,718,1025,0.7004878048780487,True,510,2240,1657,3.0,0.30778515389257693,0.31196323290469335,Moderately_Affordable,Moderately_Affordable
11903137402,713,1251,0.5699440447641887,True,420,2063,1633,2.6,0.25719534598897736,0.2915351641622309,Affordable,Affordable
11701163505,711,1174,0.6056218057921635,True,650,2300,1866,2.1,0.3483386923901393,0.28444224585703687,Moderately_Affordable,Affordable
12602172341,709,1099,0.6451319381255687,True,530,3207,2205,3.1,0.24036281179138322,0.3356357927786499,Affordable,Moderately_Affordable
20703116303,708,901,0.7857935627081021,True,456,1977,1455,2.5,0.3134020618556701,0.3135606661379857,Moderately_Affordable,Moderately_Affordable
11701163534,706,1710,0.4128654970760234,True,600,2350,2101,2.4,0.28557829604950025,0.2581188445062791,Affordable,Affordable
30306108026,704,1261,0.5582870737509913,True,493,1826,1511,3.1,0.32627399073461283,0.27887797179656876,Moderately_Affordable,Affordable
12501158315,702,1075,0.6530232558139535,True,460,1817,1513,3.3,0.3040317250495704,0.27713661091056996,Moderately_Affordable,Affordable
12602172323,702,1252,0.560702875399361,True,590,3200,2349,3.2,0.2511707109408259,0.3143727281658316,Affordable,Moderately_Affordable
11903137421,701,1097,0.6390154968094804,True,555,2665,1981,3.2,0.2801615345784957,0.3104492680464412,Affordable,Moderately_Affordable
11703133048,690,2300,0.3,True,670,3000,3052,1.9,0.21952817824377457,0.22683738280068555,Affordable,Affordable
11703164815,688,1024,0.671875,True,600,2500,2062,1.9,0.2909796314258002,0.2797881071401925,Affordable,Affordable
11904137902,686,1179,0.5818490245971162,True,510,2687,2190,3.0,0.2328767123287671,0.28314014752370914,Affordable,Affordable
11903137427,686,1173,0.5848252344416027,True,480,2000,2031,3.1,0.2363367799113737,0.22724690376093626,Affordable,Affordable
11701163512,685,1873,0.36572343833422316,True,660,3445,2432,2.4,0.2713815789473684,0.3268914473684211,Affordable,Moderately_Affordable
12101139931,685,1066,0.6425891181988743,True,750,3200,3083,3.5,0.2432695426532598,0.2395269343047481,Affordable,Affordable
12501171006,683,1992,0.3428714859437751,True,500,2200,1823,2.0,0.27427317608337903,0.2784927634077387,Affordable,Affordable
12601172113,682,1337,0.5100972326103216,True,648,2653,2922,3.4,0.22176591375770022,0.20952456168061917,Affordable,Affordable
30501111035,681,2881,0.2363762582436654,True,520,2300,1880,1.7,0.2765957446808511,0.2823240589198036,Affordable,Affordable
