SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12702151111,798,1153,0.6921075455333912,True,388,2167,1454,3.5,0.2668500687757909,0.34393185906253304,Affordable,Moderately_Affordable
40401109721,782,1610,0.4857142857142857,True,350,1517,1630,2.9,0.2147239263803681,0.21477111845210003,Affordable,Affordable
21301133712,782,1381,0.5662563359884142,True,329,1550,1232,2.7,0.26704545454545453,0.29033466533466534,Affordable,Affordable
12702151127,771,900,0.8566666666666667,True,310,1300,977,2.5,0.3172978505629478,0.3070624360286592,Moderately_Affordable,Moderately_Affordable
12702151314,771,1185,0.6506329113924051,True,490,1975,2037,3.8,0.24054982817869416,0.22374532683811035,Affordable,Affordable
12702151154,764,971,0.7868177136972193,True,365,1324,1465,3.5,0.24914675767918087,0.20855867681806248,Affordable,Affordable
11901157242,764,1216,0.6282894736842105,True,490,1875,1468,3.5,0.3337874659400545,0.2947495284007546,Moderately_Affordable,Affordable
21303134717,762,1077,0.7075208913649025,True,420,1875,2239,2.9,0.18758374274229567,0.19325248222077163,Affordable,Affordable
20607151826,757,1044,0.725095785440613,True,150,2600,570,2.0,0.2631578947368421,1.0526315789473684,Affordable,Very_Expensive
21301133536,757,1184,0.6393581081081081,True,338,1300,1239,3.0,0.27280064568200163,0.24213075060532688,Affordable,Affordable
12702151320,753,1221,0.6167076167076168,True,423,2167,1462,3.4,0.2893296853625171,0.3420498789855835,Affordable,Moderately_Affordable
12702151117,753,930,0.8096774193548387,True,300,1394,791,2.3,0.37926675094816686,0.4066906544782651,Moderately_Affordable,Expensive
12702151309,751,1199,0.6263552960800667,True,380,2167,1227,3.0,0.30969845150774244,0.4075606545044198,Moderately_Affordable,Expensive
21301132912,749,2106,0.35565052231718897,True,370,1733,1871,2.8,0.19775521111704972,0.21374830407433293,Affordable,Affordable
12702151229,746,1433,0.520586182833217,True,350,2167,1875,3.8,0.18666666666666668,0.2667076923076923,Affordable,Affordable
12702151326,745,1390,0.5359712230215827,True,455,2167,1807,3.5,0.2517985611510791,0.2767442850453365,Affordable,Affordable
12702151235,744,1162,0.6402753872633391,True,380,1733,1388,3.4,0.2737752161383285,0.2881290179561073,Affordable,Affordable
21204131821,742,1257,0.5902943516308672,True,375,2000,1527,3.2,0.2455795677799607,0.3022517757291824,Affordable,Moderately_Affordable
12702151108,741,1103,0.671804170444243,True,300,2492,1642,3.6,0.18270401948842874,0.35022955120397264,Affordable,Moderately_Affordable
31001127420,736,1540,0.4779220779220779,True,280,1300,1027,3.3,0.2726387536514119,0.2921129503407984,Affordable,Affordable
21301133714,731,1624,0.4501231527093596,True,508,2300,2518,3.1,0.2017474185861795,0.21079000427689865,Affordable,Affordable
21301133706,725,1008,0.7192460317460317,True,301,1509,1463,3.0,0.20574162679425836,0.23802513276197487,Affordable,Affordable
12702151128,725,1356,0.5346607669616519,True,350,1418,1154,2.9,0.30329289428076256,0.2835621917077723,Moderately_Affordable,Affordable
21204131703,720,1445,0.4982698961937716,True,411,2000,1680,2.8,0.24464285714285713,0.27472527472527475,Affordable,Affordable
31001127429,718,1042,0.6890595009596929,True,244,1387,1018,2.9,0.23968565815324164,0.314417409702282,Affordable,Moderately_Affordable
12702151110,709,977,0.7256908904810645,True,400,1950,1444,3.6,0.2770083102493075,0.31163434903047094,Affordable,Moderately_Affordable
31001127428,709,983,0.7212614445574771,True,278,1300,941,3.0,0.29543039319872477,0.3188097768331562,Affordable,Moderately_Affordable
12702151119,708,672,1.0535714285714286,True,350,1300,1042,2.6,0.33589251439539347,0.28790786948176583,Moderately_Affordable,Affordable
12702151115,706,930,0.7591397849462366,True,350,1517,1283,2.8,0.2727981293842556,0.27285808501708736,Affordable,Affordable
