SA2_Code,Suburb_Name,Population,High_Value_Professionals,Professional_Density_per_1000,Commercial_Density_Proxy,Median_Weekly_Income,Demand_Gap_Index,Opportunity_Score,Is_Established_Cluster,Is_Emerging_Cluster
212051321,Glen Waverley - East,21603,9472,438.44,241.5,701,41.21,41.37,True,False
115011296,West Pennant Hills,12683,7474,589.25,191.1,1038,41.2,42.02,True,False
211041270,Mitcham (Vic.),16795,8709,518.52,550.2,911,41.17,42.43,True,False
124011450,Blaxland - Warrimoo - Lapstone,18993,8898,468.46,60.9,971,41.14,42.73,True,False
213021346,Williamstown,15912,9000,565.58,1492.3,1089,41.05,43.6,True,False
305041135,Paddington - Milton,12197,9236,757.17,3688.6,1248,41.04,46.03,True,False
206041121,Kensington (Vic.),10745,7942,739.07,2547.7,1246,41.01,44.93,True,False
505021096,Wembley Downs - Churchlands - Woodlands,15044,8514,565.9,1086.4,990,40.9,42.25,True,False
209011197,Greensborough,20807,9295,446.7,303.8,907,40.86,42.41,True,False
128021535,Menai - Lucas Heights - Woronora,20927,9291,443.95,260.7,989,40.86,42.42,True,False
207031164,Box Hill North,18126,9012,497.16,724.7,788,40.8,41.63,True,False
506071147,South Perth - Kensington,17226,10393,603.3,3165.9,1131,40.8,44.78,True,False
115021297,Dural - Kenthurst - Wisemans Ferry,22479,9621,427.98,422.8,906,40.79,41.73,False,False
115041624,North Kellyville,17401,9173,527.12,1313.2,1212,40.71,43.39,True,False
214021381,Mount Eliza,18734,8961,478.3,448.0,966,40.71,41.83,True,False
120021674,Annandale (NSW),9464,7089,748.97,2051.0,1441,40.68,44.58,True,False
303011051,Carindale,16504,8393,508.51,317.8,910,40.55,41.63,True,False
503021039,Mount Lawley - Inglewood,16934,10505,620.31,3497.8,1118,40.53,45.31,True,False
209011203,Viewbank - Yallambie,18733,8717,465.3,68.0,900,40.52,42.54,True,False
213051466,Point Cook - South,19091,8713,456.37,35.0,1070,40.27,41.97,True,False
304021088,Chapel Hill,10731,6612,616.1,14.7,1084,40.22,41.45,True,False
303041071,Tarragindi,10944,6729,614.8,140.7,1167,40.19,42.01,True,False
117021327,Petersham - Stanmore,19898,14446,725.97,6573.1,1247,40.14,52.1,True,False
208011168,Beaumaris,14021,7753,552.92,441.9,1043,40.07,41.55,True,False
503021042,Subiaco - Shenton Park,17527,11852,676.18,5015.0,1203,39.94,46.95,True,False
401031013,Toorak Gardens,16635,9102,547.13,1806.7,977,39.88,42.34,True,False
101021611,Queanbeyan Surrounds,16539,8037,485.91,43.5,1243,39.44,45.14,True,False
507021165,Fremantle,16720,10018,599.13,3303.9,1059,39.43,43.86,True,False
212051326,Oakleigh - Huntingdale,22928,10754,469.01,2549.8,841,39.41,42.53,True,False
207011521,Kew - South,11601,7354,633.86,1417.3,1104,39.33,41.65,True,False
209011198,Heidelberg - Rosanna,16039,9145,570.14,2347.3,1030,39.25,42.86,True,False
206011106,Brunswick East,12738,10449,820.24,5512.0,1244,39.12,48.3,True,False
124011454,Springwood - Winmalee,21964,9097,414.16,353.2,899,39.07,41.48,False,False
121031407,Gordon - Killara,22433,13395,597.08,5587.0,1070,38.97,47.13,True,False
209011200,Ivanhoe,12458,7861,630.95,2007.0,1080,38.97,42.16,True,False
507041178,Booragoon,15476,8035,519.16,739.2,954,38.94,40.77,True,False
207011147,Balwyn,16163,8639,534.46,1570.6,873,38.93,40.95,True,False
506071145,Como,14575,8304,569.7,1701.7,1010,38.9,41.61,True,False
401041016,Rostrevor - Magill,23968,10239,427.18,1841.7,772,38.76,41.6,False,False
116021563,Quakers Hill,24670,9627,390.22,747.6,968,38.71,41.53,False,False
206011498,Coburg - West,14031,7511,535.28,501.9,905,38.66,41.04,True,False
507011148,Banjup,21746,8907,409.57,250.8,1035,38.63,41.21,False,False
210031538,Pascoe Vale,17214,8172,474.7,402.2,971,38.57,41.21,True,False
111031228,Merewether - The Junction,14506,8378,577.51,2008.3,1091,38.54,41.98,True,False
117031638,Camperdown - Darlington,8332,6363,763.59,2388.2,1023,38.48,42.09,True,False
305021117,Morningside - Seven Hills,14308,8647,604.3,2613.1,1194,38.4,43.03,True,False
116021309,Glenwood,15829,7651,483.32,6.3,984,38.37,40.67,True,False
207031167,Surrey Hills (East) - Mont Albert,10166,6413,630.77,801.6,1071,38.32,40.62,True,False
401071023,Goodwood - Millswood,17650,10206,578.21,3650.4,999,38.25,43.51,True,False
209011202,Montmorency - Briar Hill,16539,7841,474.06,149.8,957,38.23,40.65,True,False
208021177,Caulfield - North,22362,13780,616.2,6128.4,1110,38.21,47.78,True,False
503011036,Swanbourne - Mount Claremont,9612,6042,628.52,395.6,1178,38.21,40.72,True,False
208041194,Malvern - Glen Iris,20239,13353,659.73,6209.4,1264,38.16,48.33,True,False
503021040,North Perth,9707,6360,655.13,1158.0,1149,38.14,41.15,True,False
503011033,Floreat,8621,5637,653.79,347.2,1215,38.11,40.36,True,False
211031265,Croydon Hills - Warranwood,18059,8050,445.74,17.2,913,38.1,40.41,True,False
213031350,Seddon - Kingsville,9247,6243,675.06,1339.8,1240,38.06,42.18,True,False
401051019,St Peters - Marden,13515,7781,575.69,1599.5,954,38.05,41.12,True,False
207011522,Kew - West,13039,8224,630.67,2690.4,1133,38.01,42.02,True,False
506021119,East Victoria Park - Carlisle,17245,8593,498.26,1523.9,1014,37.76,41.23,True,False
211021261,Donvale - Park Orchards,16275,7702,473.21,203.7,826,37.7,39.43,True,False
212021293,Berwick - North,22963,8736,380.42,19.1,820,37.66,39.8,False,False
208031188,Highett (East) - Cheltenham ,24085,11155,463.13,3444.3,925,37.66,42.78,True,False
401061021,Prospect,15785,8283,524.71,1696.6,962,37.42,41.21,True,False
126021501,North Ryde - East Ryde,15622,8913,570.51,2836.0,1054,37.41,41.94,True,False
121011687,Willoughby,12996,7798,599.98,2225.9,1160,37.28,41.28,True,False
505011072,Duncraig,15982,7530,471.13,177.1,951,37.22,39.77,True,False
208021426,Bentleigh East - North,16583,8396,506.27,1666.7,919,37.18,40.35,True,False
212051319,Ashwood - Chadstone,19507,9833,504.05,2993.5,871,37.13,41.28,True,False
213051464,Point Cook - East,19274,8119,421.22,149.8,963,37.12,39.89,False,False
111011208,Charlestown - Dudley,25254,9444,373.95,995.4,867,37.1,40.17,False,False
507041177,Bicton - Palmyra,14778,7413,501.59,574.7,994,37.07,39.88,True,False
404011093,Hindmarsh - Brompton,19076,8980,470.72,1883.0,818,36.95,40.86,True,False
507041175,Applecross - Ardross,11725,6726,573.6,911.4,1110,36.94,39.9,True,False
122031427,Forestville - Killarney Heights,13161,6859,521.12,354.9,975,36.75,39.36,True,False
203021040,Geelong West - Hamlyn Heights,21200,9292,438.28,1864.5,918,36.73,40.74,True,False
209021428,Preston - East,20711,10522,508.01,3738.8,863,36.72,42.52,True,False
403031067,Blackwood,12963,6834,527.15,461.3,954,36.66,39.83,True,False
101021012,Queanbeyan West - Jerrabomberra,12744,6661,522.64,183.5,1357,36.65,45.18,True,False
120031395,Haberfield - Summer Hill,13520,8717,644.7,3774.1,1190,36.54,43.11,True,False
310041304,Springfield Lakes,23526,8622,366.47,163.8,1014,36.53,40.52,False,False
403031068,Colonel Light Gardens,15842,8061,508.81,1635.7,910,36.5,40.28,True,False
801051051,Braddon,6383,6205,971.96,4990.3,1512,36.49,52.56,True,False
507021166,Fremantle - South,15372,7448,484.49,640.1,874,36.42,39.15,True,False
207021159,Templestowe,16966,7643,450.46,351.4,781,36.41,38.58,True,False
206031113,Ascot Vale,15191,8937,588.27,3421.8,1080,36.4,42.29,True,False
206011497,Coburg - East,12535,7090,565.57,1447.2,880,36.35,40.13,True,False
206021110,Alphington - Fairfield,8994,6042,671.71,1811.6,1098,36.3,40.67,True,False
212051324,Mount Waverley - South,19265,9168,475.86,2416.8,820,36.24,39.98,True,False
203031490,Ocean Grove,19394,7895,407.06,53.9,850,36.22,39.13,False,False
122031430,Manly Vale - Allambie Heights,17550,9329,531.54,3245.9,1112,36.12,41.68,True,False
214021382,Mount Martha,19846,7931,399.61,22.4,846,36.12,38.73,False,False
503011032,Cottesloe,7750,5200,670.88,990.5,1458,36.06,39.97,True,False
214011373,Frankston South,18801,7822,416.02,205.5,862,36.01,38.9,False,False
120011385,Drummoyne - Rodd Point,18366,11576,630.26,5718.1,1296,35.98,45.74,True,False
111031222,Adamstown - Kotara,16600,7689,463.16,804.7,937,35.96,39.59,True,False
111031225,Lambton - New Lambton,17343,7915,456.35,987.7,907,35.91,39.35,True,False
212011546,Beaconsfield - Officer,23632,8433,356.83,62.5,943,35.89,39.28,False,False
212051327,Wheelers Hill,20652,8504,411.76,1012.9,720,35.89,38.53,False,False
304031092,Chelmer - Graceville,7849,4959,631.72,193.9,1231,35.83,39.3,False,False
101061542,Yass Surrounds,12713,6439,506.45,14.5,1129,35.83,41.64,True,False
506031131,Willetton,19262,8046,417.69,601.3,755,35.8,38.59,False,False
121041689,Mosman - South,14565,9985,685.5,5268.5,1510,35.77,45.0,True,False
206031116,Moonee Ponds,16224,10199,628.6,4940.9,1113,35.77,43.93,True,False
801051061,Watson,6727,4595,682.97,598.5,1354,35.76,44.53,False,False
212051322,Glen Waverley - West,21036,9320,443.03,2354.1,713,35.75,39.25,True,False
303051073,Calamvale - Stretton,22845,8263,361.68,24.5,769,35.67,38.31,False,False
115011555,Castle Hill - North,12189,6433,527.73,441.7,929,35.65,38.56,True,False
128011529,Gymea - Grays Point,18156,8445,465.11,1820.8,1046,35.61,40.19,True,False
305021118,Norman Park,6857,4731,689.85,942.2,1319,35.59,39.85,False,False
127031524,Holsworthy - Wattle Grove,21129,8113,383.96,242.9,1027,35.59,40.83,False,False
118011347,Woollahra,7454,5593,750.23,2655.4,1635,35.58,41.6,True,True
207011152,Hawthorn East,15684,10957,698.57,5998.8,1228,35.55,45.33,True,False
209021429,Preston - West,12696,6725,529.65,876.2,902,35.53,39.31,True,False
206071139,Abbotsford,9088,7666,843.44,5179.5,1354,35.52,44.44,True,False
208011171,Highett (West) - Cheltenham,12439,6723,540.43,1047.7,1025,35.51,39.23,True,False
314011387,Samford Valley,12385,6320,510.25,78.2,978,35.5,38.91,True,False
506041133,Canning Vale - East,24415,8468,346.82,133.4,837,35.48,38.64,False,False
122021422,Newport - Bilgola,13681,7372,538.81,1753.0,1115,35.47,39.74,True,False
117021328,Sydenham - Tempe - St Peters,8278,5408,653.22,1279.6,1234,35.35,40.42,True,False
304021090,Kenmore,9438,5415,573.68,40.6,1032,35.35,38.69,True,False
401031012,Beaumont - Glen Osmond,10328,5780,559.59,289.8,984,35.32,38.38,True,False
107041148,Thirroul - Austinmer - Coalcliff,11957,6366,532.36,588.4,1014,35.31,39.22,True,False
126011720,Epping (East) - North Epping,14404,8794,610.48,3948.7,1025,35.28,41.33,True,False
107041146,Figtree - Keiraville,22773,8777,385.4,1273.6,746,35.12,38.77,False,False
117021636,Marrickville - North,12317,7901,641.42,3622.2,1160,35.11,41.86,True,False
801061131,Kingston (ACT),6579,6222,945.59,5253.5,1777,35.06,52.89,True,True
115011622,Kellyville - West,11375,6329,556.35,1085.0,1143,34.94,39.17,True,False
121011686,Lane Cove,15888,11015,693.25,6180.3,1361,34.93,45.73,True,False
206071142,Fitzroy,10431,8081,774.64,5078.8,1265,34.91,43.49,True,False
801051060,Turner,4470,3904,873.18,2869.3,1448,34.82,47.26,False,False
206041119,East Melbourne,4896,4273,872.58,3212.1,1532,34.77,41.42,False,False
314011383,Cashmere,19643,7607,387.24,39.9,1003,34.75,39.36,False,False
207011146,Ashburton (Vic.),7952,4824,606.56,133.1,1002,34.7,37.87,False,False
208021179,Elsternwick,11904,7815,656.45,3862.1,1193,34.7,41.23,True,False
302021031,Kedron - Gordon Park,14432,8306,575.49,3456.6,1134,34.56,41.08,True,False
303031064,Rochedale - Burbank,11020,5771,523.64,34.4,985,34.56,37.74,True,False
212051325,Mulgrave,19889,7590,381.6,30.3,746,34.52,37.55,False,False
126021498,Gladesville - Huntleys Point,15456,9425,609.76,4683.0,1198,34.51,42.41,True,False
212051323,Mount Waverley - North,16073,7851,488.43,2014.6,797,34.44,38.39,True,False
209011201,Ivanhoe East - Eaglemont,7740,4935,637.51,937.3,1167,34.37,38.43,False,False
207011519,Hawthorn - North,9890,6893,696.9,3673.3,1215,34.34,40.71,True,False
801051058,O'Connor (ACT),5917,4090,691.11,768.6,1261,34.33,42.61,False,False
203021487,Grovedale - Mount Duneed,24763,8203,331.25,83.5,784,34.3,37.9,False,False
302011023,Bridgeman Downs,10501,5577,531.04,32.9,1081,34.29,38.32,True,False
314011382,Albany Creek,16410,6984,425.57,132.3,954,34.21,38.58,False,False
503021043,Wembley - West Leederville - Glendalough,19102,10835,567.19,5372.2,1055,34.17,42.59,True,False
118011346,Rose Bay - Vaucluse - Watsons Bay,11924,7305,612.58,3193.5,1450,34.08,40.66,True,False
801061064,Griffith (ACT),5328,4147,778.19,2226.0,1572,34.06,46.0,False,False
119021662,Earlwood,17969,7728,430.05,1234.8,836,34.0,38.17,False,False
302021034,Wavell Heights,10344,5577,539.1,357.7,1154,33.91,38.61,True,False
801061129,Barton,1946,1763,905.5,1504.3,1775,33.88,48.68,False,False
404031107,Plympton,26480,10171,384.09,3211.4,794,33.83,39.58,False,False
303031063,Mount Gravatt,15873,7803,491.56,2270.7,948,33.83,38.99,True,False
506031129,Riverton - Shelley - Rossmoyne,14518,6552,451.27,189.0,791,33.82,37.08,True,False
206061138,Toorak,12953,8536,658.95,4756.5,1428,33.8,41.94,True,False
402031038,Windsor Gardens,22587,8414,372.5,1302.3,778,33.71,38.07,False,False
122021420,Avalon - Palm Beach,13052,6487,496.97,924.9,1058,33.7,37.91,True,False
121021404,Berowra - Brooklyn - Cowan,11790,5850,496.14,98.6,967,33.67,37.78,True,False
305041136,Red Hill (Qld),5975,4163,696.62,1269.1,1122,33.63,38.43,False,False
116011307,Lalor Park - Kings Langley,25373,8414,331.6,692.7,815,33.63,37.8,False,False
126011721,Epping (NSW) - West,18690,10361,554.33,5148.5,919,33.61,41.47,True,False
314021579,North Lakes,23030,7986,346.75,420.7,885,33.57,37.93,False,False
208021427,Bentleigh East - South,14057,6887,489.9,1376.7,934,33.53,37.88,True,False
126021499,Hunters Hill - Woolwich,9844,5580,566.79,1006.2,1244,33.52,38.1,True,False
801051124,Campbell,4588,3444,750.49,1321.6,1592,33.46,45.43,False,False
206031501,Essendon (West) - Aberfeldie,16042,8204,511.38,3081.1,1019,33.43,39.66,True,False
206071141,Collingwood,9179,7643,832.57,5774.7,1338,33.41,43.41,True,False
203021046,Newtown (Vic.),10445,5457,522.4,178.4,1001,33.36,37.33,True,False
211031266,Ringwood,18715,7888,421.46,1612.1,822,33.3,37.79,False,False
111011209,Glendale - Cardiff - Hillsborough,24588,8138,330.96,511.8,831,33.24,37.51,False,False
128011603,Caringbah South,13015,6050,464.81,47.6,1044,33.21,37.61,True,False
116021629,Marsden Park - Shanes Park,15524,6559,422.48,14.7,1142,33.17,38.07,False,False
503011034,Mosman Park - Peppermint Grove,10764,6095,566.19,1766.8,1079,33.16,37.76,True,False
211011260,Wantirna South,17942,7234,403.17,592.2,723,33.16,36.86,False,False
206051130,Port Melbourne,16192,10792,666.46,6431.2,1372,33.14,44.75,True,False
125021477,Ermington - Rydalmere,24641,9330,378.62,2663.2,803,33.07,38.62,False,False
305021114,Bulimba,7407,4947,667.79,1995.0,1402,33.07,38.91,False,False
209031215,Wattle Glen - Diamond Creek,14417,6307,437.44,8.4,961,33.02,37.63,True,False
208021176,Carnegie,18534,11016,594.34,6093.2,1011,32.96,42.93,True,False
122031429,Freshwater - Brookvale,21828,13482,617.62,7482.5,1295,32.95,47.01,True,False
401021007,Mount Barker,22113,7574,342.5,97.3,825,32.95,37.48,False,False
301031019,Wakerley,9446,5036,533.08,7.7,1220,32.93,37.77,False,False
206011107,Brunswick West,14318,8923,623.16,5020.5,1002,32.92,41.25,True,False
211051281,Mooroolbark,23146,7645,330.28,24.6,838,32.85,37.13,False,False
801071082,Kambah,15670,6605,421.48,225.4,1070,32.84,40.94,False,False
208021182,Ormond - Glen Huntly,13128,7681,585.04,3706.7,1013,32.84,39.41,True,False
125041493,Toongabbie - Constitution Hill,22853,8194,358.54,1232.1,807,32.83,37.45,False,False
505021097,Yokine - Coolbinia - Menora,17066,7959,466.34,2528.8,931,32.83,38.36,True,False
121011401,St Leonards - Naremburn,11903,10153,852.91,7392.9,1607,32.83,47.14,True,False
110011186,Armidale,23967,8163,340.58,909.2,730,32.83,36.93,False,False
210051246,Greenvale - Bulla,22095,7499,339.38,0.0,793,32.82,36.99,False,False
207021157,Doncaster,24814,10744,432.96,4599.0,721,32.81,39.46,False,False
506021123,Victoria Park - Lathlain - Burswood,15816,8447,534.05,3810.0,1057,32.81,39.7,True,False
404031108,Richmond (SA),17022,7416,435.65,1511.5,774,32.8,37.59,False,False
304011084,Seventeen Mile Rocks - Sinnamon Park,9716,5143,529.28,155.6,968,32.79,37.21,True,False
103041078,Orange - North,22895,7786,340.06,450.2,930,32.74,37.77,False,False
206051128,Albert Park,15825,11153,704.73,7002.9,1352,32.7,45.36,True,False
118011649,Bellevue Hill,14429,10109,700.55,6445.2,1594,32.68,44.49,True,False
505011075,Hillarys,11200,5526,493.35,126.1,983,32.63,36.98,True,False
303021059,Yeronga,10200,6103,598.27,2464.7,1083,32.62,38.47,True,False
107041150,Woonona - Bulli - Russell Vale,20761,8267,398.18,2014.3,843,32.61,38.09,False,False
124031460,Glenmore Park - Regentville,21002,7387,351.71,173.6,1009,32.61,38.05,False,False
505031105,Mindarie - Quinns Rocks - Jindalee,20764,7335,353.24,140.7,922,32.59,37.16,False,False
207021160,Templestowe Lower,14191,6204,437.15,81.3,753,32.58,36.28,True,False
403011057,Glenelg (SA),20522,9382,457.15,3855.1,925,32.57,39.42,True,False
401051017,Norwood (SA),10849,6119,563.96,2042.5,933,32.54,37.58,True,False
206061135,Armadale,9336,6733,721.11,4485.9,1361,32.54,40.43,True,False
303011049,Carina,11826,5934,501.73,866.6,1021,32.54,37.56,True,False
118011344,Dover Heights,11122,7042,633.1,3816.7,1319,32.53,39.52,True,False
208031190,Mentone,13197,6701,507.73,1899.3,981,32.5,37.89,True,False
212021553,Berwick - South East,17760,6810,383.42,3.3,883,32.49,36.87,False,False
305031120,Alderley,6593,4315,654.38,1346.1,1196,32.46,38.13,False,False
208021181,Murrumbeena,9369,5515,588.58,1789.4,1023,32.4,37.56,True,False
119031372,Peakhurst - Lugarno,20220,7825,386.97,1440.3,830,32.39,37.23,False,False
207021424,Doncaster East - North,15672,6800,433.87,957.6,704,32.32,36.23,False,False
120011383,Concord - Mortlake - Cabarita,23113,12212,528.34,6496.4,1056,32.31,43.27,True,False
206031502,Essendon - East,12191,7261,595.55,3686.1,1111,32.28,39.5,True,False
402031175,Northgate - Northfield,18188,7041,387.1,499.1,824,32.28,37.16,False,False
206011109,Pascoe Vale South,10390,5382,517.95,566.1,954,32.23,37.14,True,False
121041688,Mosman - North,13763,8820,640.8,5354.3,1464,32.23,41.87,True,False
212041566,Keysborough - South,15093,6311,418.11,82.6,890,32.2,36.29,False,False
120031681,Strathfield - West,9253,5120,553.27,851.7,961,32.18,36.4,True,False
506071146,Manning - Waterford,11653,5563,477.35,143.5,805,32.13,35.97,True,False
211011254,Knoxfield - Scoresby,16601,6546,394.29,29.4,791,32.1,36.19,False,False
211041271,Nunawading,12413,5775,465.2,242.2,839,32.09,36.43,True,False
211021262,Warrandyte - Wonga Park,10112,5104,504.7,14.1,930,32.09,36.27,True,False
305031129,Wilston,4031,2850,706.85,532.7,1253,32.07,37.14,False,False
119031371,Oatley - Hurstville Grove,12594,6195,491.86,1270.4,974,32.05,37.11,True,False
601051031,Sandy Bay,12326,6221,504.66,1534.3,887,31.99,37.1,True,False
503011030,City Beach,6805,4049,594.92,233.1,1228,31.98,36.55,False,False
507021164,East Fremantle,7819,4568,584.14,755.0,1075,31.97,36.74,False,False
303021052,Annerley,11935,7280,609.92,3988.0,960,31.97,38.99,True,False
304021087,Brookfield - Kenmore Hills,7020,4104,584.53,140.7,1059,31.94,36.28,False,False
209011199,Heidelberg West,14852,6419,432.17,630.8,782,31.91,36.4,False,False
801101136,Denman Prospect,2759,2079,753.26,377.3,1655,31.91,42.7,False,False
801051054,Dickson,3292,2532,768.9,1248.1,1303,31.9,43.16,False,False
116021633,Stanhope Gardens - Parklea,13034,5799,444.88,0.0,1035,31.9,36.8,True,False
117031330,Erskineville - Alexandria,19126,18113,946.99,10439.2,1669,31.89,60.43,True,False
115031300,Kurrajong Heights - Ebenezer,22161,7324,330.48,79.8,907,31.87,36.81,False,False
115041623,Box Hill - Nelson,10287,5122,497.86,28.0,1274,31.87,37.48,True,False
601051033,West Hobart,6397,4019,628.17,855.4,995,31.83,37.66,False,False
126021723,Eastwood,18974,8625,454.55,3494.9,762,31.74,37.65,True,False
206061516,South Yarra - South,9939,7765,781.19,6018.9,1329,31.71,41.96,True,False
211011446,Boronia,23560,7667,325.41,552.1,796,31.71,36.42,False,False
305021116,Hawthorne,5133,3447,671.41,899.5,1352,31.71,37.33,False,False
303021053,Coorparoo,17810,11156,626.35,6813.4,1129,31.67,43.58,True,False
209021526,Reservoir - South West,14090,6100,432.9,331.4,865,31.66,36.74,False,False
505021095,Tuart Hill - Joondanna,12820,6199,483.5,1364.3,991,31.6,37.07,True,False
305031123,Grange,4627,3070,663.35,315.7,1322,31.56,37.2,False,False
801061063,Forrest,1827,1470,804.16,628.6,1816,31.56,42.85,False,False
